Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
93,93,0,daff1c00eeff3000aeff3600dcffecffeca1465836b9e85f06fb383cc0331005
94,94,0,faff2e00200020003600e2ff4000ccffeaf6c63fb8270813105aa8ca005d90a6
95,95,0,1c002e005000deff5800c0fffcffccff96580acfd85f06acb83b2ca3b00460c3
96,96,0,1c00b8ff2000defff2ffaeffecffecff063f9ca1c812e6b948cb76fc30a6c033
97,97,0,eaffdaff10000000aeff3600ccff40002acebaf726ac58283ca3205ae0c3e05c
98,98,0,eaff1c00deff3000aeff4600dcff40001ca2b65886b9d85f16fc683a2034b004
99,99,0,faff3e0000002000040036000c00dcff2af8163f1828f812405ab8cae05c50a6
100,100,0,2e00faff5000deff3600aeff4000ccff7658daceb85ff6ab783b4ca3600560c3
101,101,0,3e00eaff30000000f2ffd0ffccffdcff963fdca1e81296b908cbd6fb40a62034
102,102,0,0c00eaffdeff3000c0ff3600ccff5000bace5af776ace8273ca3605a40c3505d
103,103,0,faff2e00eeff5000d0ff5800200040001ca2765846b9d85fb6fb283b2034a005
104,104,0,0c002e0000000000f2fff2ff4000ccffbaf7f63e8828d812205a08ca205d10a6
105,105,0,2e00faff200000005800d0ff6000dcff56587acec85fc6abd83b6ca3200480c3
106,106,0,2e00faff4000ceff0400c0ffccffdcffd63e1ca2f812b6b9d8ca06fd30a6c034
107,107,0,0c00b8ffdeff1000e2fff2ffbcff5000dacebaf706ac58280ca3405a70c3405d
108,108,0,0c003e00deff4000c0ff5800ecff30000ca2a65836b9d85f06fcd83a90340005
109,109,0,c8ff1c0010001000260036004000dcff1af8d63e88288812305ac8cae05c50a6
110,110,0,1c000c00200020004600d0ffdcffccff8658daceb85f36ace83b7ea3700480c3
111,111,0,3e00faff4000eeffe2ffd0ffdcfffcff063f0ca2881246b9b8ca46fc60a64034
112,112,0,faffdaffeeff2000c0ff0400acff5000bacefaf7e6ab88284ca3705ab0c3e05c
113,113,0,faff1c00deff4000d0ff5800ecfffcff1ca2865866b9c85fe6fb483bb034e004
114,114,0,eaff0c00000030000400e2ff5000ccffaaf7e63e68288812305a98cae05c50a6
115,115,0,2e00eaff300000004600e2ff4000ccffb6584acea85fd6ab383b4ca3e004a0c3
116,116,0,2e00eaff300000000400e2ffecffecff663ccca2f80266b946c026fd70a5b034
117,117,0,faffdaffdeffdeffc0fff2ffbcff50005ccceafac6a558357ea7f25dc0c4805c
118,118,0,daff0c00ceff2000d0ff68003000fcffbca2a659f6c3c85c2a08b4302036f002
119,119,0,daff3e00eeff2000f2ffe2ff6000fcff7afae63cd8343804925d16c1d05cb0a5
120,120,0,1c00faff400020004600e2ff6000ccff56593cccc85cf6a5b4317ea7700380c4
121,121,0,6000eaff3000ceff0400aeffbcffccffd63ccca23803b6c446c1fa08e0a5a035
122,122,0,0c00eaffeeffeeffaeff3600ccff50003ccc7afac6a5f8345ea7e25d70c4805c
123,123,0,a6fffaff00002000aeff5800fcfffcffbca2865926c4a85c8a0894317035e003
124,124,0,b8ff1c0010001000460004005000dcff4afa163d28353804d25d36c0b05ce0a5
125,125,0,0c000c00600000004600d0ff5000dcff86598cccd85ca6a5e6312ea7f00350c4
126,126,0,2e00a6ff3000defff2ffd0ffbcffccffa63dbca2580436c406c1da0870a53035
127,127,0,0c00eaffdeffceffc0ff3600bcff60002ccc7afad6a5d8342ea7d25d70c4b05c
128,128,0,c8ffeaffeeff4000c0ff3600dcff4000aca27659f6c3f85c4a0844316035a003
129,129,0,0c001c0010000000460004004000dcff6afae63c48353804a25d26c1b05cd0a5
130,130,0,0c000c002000beff4600d0ff4000ccff46599cccd85c06a6d6314ea7600430c4
131,131,0,4e00b8ff1000eefff2ffc0ffdcffecff563d7ca2c804f6c3a6c1ca08c0a55035
132,132,0,eaffeaff20002000e2ff0400ccff60005ccc3afab6a5b834fea6f25d60c4f05c
133,133,0,c8ff1c00eeff4000c0ff6800ecff40009ca27659f6c3d85cca07a431d0357003
134,134,0,eaff1c0020003000040004004000fcff4afa363da8341804d25db6c0b05cd0a5
135,135,0,1c000c005000deff4600d0ff4000dcff86598ccc885cd6a574310ea7300460c4
136,136,0,0c00eaff3000eefff2ffaeffdcffdcff563dbca2a80456c436c10a09e0a57035
137,137,0,eaffeaff00002000c0ff3600dcff60004ccc0afac6a5b8341ea7c25d90c4b05c
138,138,0,faff1c0010004000d0ff0400dcff50008ca2665966c3e85c1a083431a035a003
139,139,0,daff4e00300020004600d0ff6000ccfffaf9763d78343804c25d26c1c05cf0a5
140,140,0,1c000c00300000005800c0fffcffdcff96592cccf85c26a6a4318ea7500450c4
141,141,0,0c00a6ff3000defff2ffd0ffbcffdcffd63e7ca3e811c6c338c99a08a0a53035
142,142,0,0c00daffeeff0000e2fff2ffccff5000face8af746ac08280ca3405a90c3305d
143,143,0,eaff1c00eeff5000e2ff5800dcff0c00dca1865846b9b85f46fbb83bc0330006
144,144,0,0c002e0010003000e2ff46005000fcfffaf6b63f38284813f05988ca805d70a6
145,145,0,2e002e00400000005800e2ff4000ccff7658facea85f36acd83b3ca3f00480c3
146,146,0,3e00daff4000deff3600c0ffecffecffd63f0ca2081366b9a8cb86fc70a67034
147,147,0,eaffeaffeeff1000aeff3600ecff40004acfeaf646acc827fca2e05950c3405d
148,148,0,daff2e0000002000d0ff3600fcff0c00dca19658d6b9e85fe6fb183b80346005
149,149,0,eaff1c00100050003600f2ff5000dcffbaf7963f88282813005a38cb405d60a6
150,150,0,1c000c004000eeff3600c0fffcffbcff66580acec85f06acb83b4ca3900470c3
151,151,0,3e00daff3000eeffe2ffc0ffecff4000163feca1d81266b9f8ca56fc40a60034
152,152,0,2e00daffceffeeffaeff4600ccff80000acecaf7e6ab78282ca3605a70c3305d
153,153,0,eaff1c00deff3000c0ff5800300030002ca2b65856b9c85f16fcc83b70340005
154,154,0,eaff2e00100030000400e2ff4000ccff7af8e63e9828a812405ac8c9305d30a6
155,155,0,3e001c00300000004600d0ff4000dcff96583acec85fc6ab483b6ca3b004b0c3
156,156,0,3e00daff2000cefff2ffaefffcffdcff463f1ca2b81266b998ca36fd00a64034
157,157,0,0c00eaffeeff00008cff3600ccff40004ace9af7b6ab48283ca3505a10c4f05c
