Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
126,126,0,0e00f0ff4a00feff1a00beff1c00ccffaa5c36c24c562ea46e2f50a818f7b8cc
127,127,0,3c0000001c00fefffcffdcffdcffecff1e27b6ab74ee72d4eabb600d78a23841
128,128,0,00000000cefffefffcff2a00fcff0c0056b65016aea17a4734b0245ee8db0852
129,129,0,6eff2c00ceff1c00fcff0a001c001c0006b57a5ee2e41c4d761d681fb84c38e6
130,130,0,1e002c00ceff2c001a00fcff2c00ccff7e2610179c5152dd345ed4b0184888a1
131,131,0,1e001e001c000c00fcffccff1c00ecffea5c36acda413ea2000e1abb28d538ed
132,132,0,2c000e00eeff0c00ccffecffccff2c00600566c162cdc4f6e0a80e2fc8a30856
133,133,0,f0ff3c00c0ff3a00aeff7800ccff3c0056a54e363ea68c59a0c8f25a78ff183b
134,134,0,e0ff00000c001c00fcff0a003c00fcff04d04c589608ba33763d96fbd85b78c6
135,135,0,00000e00feff0c001a000a001c00ccffbc43d2f34c5d50bfe0543ea3582c78a9
136,136,0,2c00e0ff0c00deffecffecffdcffdcff1c50f6a1a8237ead30eb86d888b94810
137,137,0,e0ffe0ffceffeeffbeff1a00acff4c0092e192e090b3d8195ca1ac4988b2985e
138,138,0,e0ff0000ceff2c00beff7800dcffecff96a1fc4ec0b7dc5eaee89c4af821c81a
139,139,0,f0fff0fffeff0c000a000a00fcffecffd2f17c45382a36133053e8d9f85d98ae
140,140,0,0e00f0ff4a00eeff1a00fcffecffecff3c5704d27c5c6eaae63ecea2080ab8bd
141,141,0,1e00d2ff3a00cefffcffecffccff0c001e38b6a41601b0c4e0ca56fa58a7a831
142,142,0,2c00aaffeeffeeffccff1a00acff3c0004c340034ea44a39d0a7945a78cb185a
143,143,0,d2ff00000c002c00dcfffcfffcff0c0046ab9c5c72d36c56de0b30302840a8f8
144,144,0,f0fff0ff0c001c001a00ecff3c00ccff40153e285a4644ef265e4abc4852a8a2
145,145,0,4c00d2ff5a00a0ff1a00beff1c00ecffbc5eb6b6ac4dbea1c82094afa8e698db
146,146,0,0e007cff1c00deffecffecffccff1c00e017a6b4c2dd92e394b1761d78a1184c
147,147,0,1e000e00deff1c00dcff1a00ecff1c0086ac4e254ea2cc5018ba565e78ec8848
148,148,0,8cff3c00deff0c000a00fcff1c00dcffe4c03c5d74f57a423e2d400e485588d6
149,149,0,1e000e004a00eeff1a00ecff3c00dcff3e35d006cc58d2ce745b00a9f83bc8a3
