Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
3066,3066,0,-1808,-4820,1490,4926,-1162,-5014,818,5046,8,6,-12,10,-8,22,22,-4,-4956,1348,5094,-1170,-5108,748,5158,-458,8,-24,-26,12,8,-24,-10,-6,0
3067,3067,0,-528,-5126,236,5094,110,-5094,-430,5030,8,6,6,-20,-8,6,-12,-8,-5188,62,5206,208,-5156,-590,5158,902,72,-14,-26,-6,8,36,8,-6,0
3068,3068,0,788,-5000,-1046,4862,1402,-4788,-1722,4704,-8,22,-28,-24,-8,-10,6,10,-5092,-1260,5002,1586,-4940,-1944,4826,2162,8,-24,8,-6,8,4,-10,-6,0
3069,3069,0,2024,-4582,-2280,4414,2586,-4286,-2818,4080,8,22,-12,-4,24,-10,6,-4,-4668,-2498,4538,2790,-4334,-3078,4212,3362,40,36,-10,28,24,20,-10,-6,0
3070,3070,0,3134,-3854,-3356,3628,3590,-3406,-3794,3162,8,6,-12,26,24,22,22,26,-3966,-3598,3792,3826,-3512,-4030,3320,4312,24,4,-10,12,-56,-14,-10,-6,0
3071,3071,0,4020,-2890,-4230,2614,4410,-2338,-4566,2086,-24,-10,-12,10,8,6,-12,10,-2992,-4440,2718,4606,-2472,-4780,2144,4956,24,-14,42,-38,-24,20,8,-6,0
3072,3072,0,4698,-1848,-4838,1488,4930,-1206,-5014,864,-8,-10,-28,10,24,22,22,-4,-1860,-5030,1594,5120,-1234,-5220,916,5308,-8,4,24,-38,-8,-14,8,12,0
3073,3073,0,5042,-576,-5096,250,5106,66,-5152,-428,-8,-10,6,-4,-8,6,-12,26,-586,-5352,260,5324,52,-5352,-352,5292,8,-24,-26,-6,40,-42,8,12,0
3074,3074,0,5138,694,-5064,-1046,5010,1302,-4966,-1662,-8,6,-12,10,-8,6,6,-20,728,-5270,-1016,5226,1360,-5114,-1634,4988,8,4,-10,-6,-40,-14,8,-6,0
3075,3075,0,4810,1914,-4790,-2228,4602,2440,-4422,-2772,24,-26,-12,-4,-24,-10,-12,-4,1966,-4862,-2248,4742,2590,-4550,-2830,4394,-8,-24,-10,12,8,20,-26,12,0
3076,3076,0,4292,2984,-4050,-3288,3878,3480,-3644,-3752,-8,-10,6,-4,8,-10,6,-4,3124,-4144,-3322,3940,3644,-3730,-3824,3460,24,20,24,12,24,20,8,12,0
3077,3077,0,3414,3954,-3180,-4118,2874,4338,-2594,-4462,-8,-10,6,10,8,6,-12,26,4074,-3246,-4228,2992,4432,-2646,-4584,2392,24,-24,-10,-22,56,4,-10,12,0
3078,3078,0,2356,4592,-2048,-4736,1770,4834,-1466,-4932,-8,-26,-12,-4,-8,-10,6,10,4720,-2076,-4896,1718,5016,-1424,-5056,1090,8,20,-26,-6,24,4,8,-6,0
3079,3079,0,1170,5012,-806,-5044,500,5076,-206,-5076,24,-10,-44,-20,24,22,6,-20,5160,-754,-5168,406,5224,-152,-5216,-246,40,4,-26,-6,8,54,-10,-6,0
3080,3080,0,-160,5076,466,-5012,-778,4998,1064,-4900,8,22,6,10,-24,6,-12,-4,5208,528,-5152,-882,5144,1250,-5056,-1564,8,20,-10,-6,8,20,-10,28,0
3081,3081,0,-1402,4804,1666,-4704,-1984,4544,2250,-4398,-8,-42,22,-4,-8,6,-12,10,4968,1868,-4848,-2184,4688,2464,-4532,-2764,-8,4,-26,12,-8,-24,-26,-22,0
3082,3082,0,-2606,4240,2834,-4038,-3094,3854,3392,-3658,24,-26,6,10,-8,6,-12,10,4400,3048,-4176,-3312,3978,3580,-3760,-3792,8,-58,8,-6,-8,-24,-26,-22,0
3083,3083,0,-3614,3416,3824,-3152,-4020,2920,4292,-2644,8,6,-12,10,-24,-10,-12,10,3532,4106,-3290,-4258,3044,4456,-2752,-4630,8,4,8,-6,8,4,-10,-54,0
3084,3084,0,-4386,2360,4618,-2090,-4674,1772,4794,-1518,-40,-10,22,10,-8,6,22,-4,2478,4800,-2216,-4962,1870,5070,-1580,-5142,24,4,24,-22,-40,4,8,-6,0
