Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
1110,1110,0,-4990,978,5040,-670,-5086,324,5106,-20,24,22,6,-4,40,6,22,-4,952,5304,-640,-5346,314,5354,4,-5346,8,-24,-26,-6,-8,-14,-26,-6,0
1111,1111,0,-5150,-266,5122,570,-5134,-920,5024,1214,-8,-10,-12,10,-8,6,-12,10,-314,5354,684,-5256,-962,5222,1268,-5142,24,-14,-10,12,-24,4,-10,12,0
1112,1112,0,-4954,-1528,4858,1816,-4794,-2086,4650,2372,40,6,-12,-4,-8,6,22,-24,-1608,5038,1872,-4896,-2234,4752,2472,-4596,-8,-42,-44,28,-24,20,-26,28,0
1113,1113,0,-4466,-2618,4340,2956,-4132,-3196,3932,3436,8,-10,6,-8,-8,6,6,-8,-2792,4456,3080,-4226,-3336,3974,3600,-3726,-24,36,-10,-22,-40,20,24,-22,0
1114,1114,0,-3758,-3628,3512,3896,-3254,-4066,3000,4256,40,6,38,10,8,-10,22,-40,-3816,3480,4054,-3230,-4222,2950,4372,-2714,-8,20,8,-6,-24,-14,-26,-6,0
1115,1115,0,-2734,-4350,2496,4592,-2174,-4676,1866,4830,8,-26,6,-24,-8,-26,22,10,-4540,2382,4698,-2126,-4828,1770,4954,-1466,-56,4,42,-6,-40,-24,8,-22,0
1116,1116,0,-1562,-4870,1258,4982,-970,-5046,642,5078,24,-26,-12,10,24,-26,-28,10,-5044,1130,5110,-834,-5140,462,5174,-162,-24,-24,-10,28,8,36,-10,12,0
1117,1117,0,-336,-5062,28,5078,340,-5062,-630,4982,8,-26,22,10,8,-26,-12,26,-5204,-216,5206,524,-5156,-882,5142,1204,56,20,-10,44,-24,20,8,12,0
1118,1118,0,964,-4952,-1274,4862,1594,-4708,-1888,4624,8,-10,-12,-24,8,-10,6,-24,-5012,-1528,4938,1816,-4812,-2174,4714,2458,-40,4,8,-22,-24,4,-26,28,0
1119,1119,0,2200,-4462,-2472,4302,2730,-4128,-3014,3984,-8,-26,6,-4,-8,-10,6,10,-4588,-2760,4372,3042,-4174,-3328,4038,3558,-56,-42,8,12,-24,-14,8,12,0
1120,1120,0,3246,-3724,-3468,3516,3750,-3242,-3922,2988,24,6,6,-4,-8,-26,-12,-24,-3816,-3778,3584,4006,-3336,-4260,3112,4442,40,-42,-10,12,-8,-24,24,12,0
1121,1121,0,4148,-2728,-4374,2484,4490,-2196,-4662,1912,-24,6,-28,-24,8,22,6,10,-2776,-4632,2494,4808,-2234,-4912,1936,5020,-24,20,-26,12,-56,-24,-10,-6,0
1122,1122,0,4778,-1608,-4918,1310,4962,-1032,-5048,682,8,22,-12,-4,24,6,22,10,-1592,-5170,1268,5202,-994,-5318,684,5358,-40,-14,-10,-6,24,4,8,-6,0
1123,1123,0,5074,-330,-5128,42,5138,228,-5128,-570,8,22,-12,-24,24,-10,6,40,-268,-5368,-10,5340,330,-5352,-608,5258,-8,-24,-26,-22,-8,4,24,12,0
1124,1124,0,5106,852,-5048,-1228,4978,1508,-4886,-1836,-8,6,6,10,-40,6,-12,10,984,-5236,-1280,5120,1584,-4944,-1922,4856,8,-42,-10,12,-8,-42,-10,12,0
1125,1125,0,4762,2088,-4630,-2402,4490,2636,-4342,-2946,24,6,6,-4,-8,-10,22,10,2228,-4748,-2488,4558,2804,-4392,-3098,4212,-8,4,42,-6,-8,4,-44,-22,0
1126,1126,0,4132,3192,-3938,-3430,3718,3648,-3516,-3880,24,6,6,10,40,-26,-12,-40,3324,-3976,-3530,3776,3804,-3510,-4000,3280,-40,4,-26,-22,-24,20,-26,-6,0
1127,1127,0,3278,4082,-3030,-4256,2714,4386,-2456,-4572,8,-10,-12,10,-8,22,22,10,4218,-2962,-4372,2708,4560,-2404,-4728,2130,-56,-24,-26,-22,8,4,-26,-22,0
1128,1128,0,2168,4654,-1872,-4800,1578,4882,-1274,-4964,-8,6,-12,26,8,6,-12,-24,4816,-1792,-4976,1434,5048,-1178,-5104,786,-8,-42,-10,-22,-40,4,-10,-22,0
1129,1129,0,932,5044,-646,-5060,324,5092,28,-5076,-8,-10,22,26,8,38,22,-40,5208,-540,-5184,142,5176,198,-5216,-508,-8,20,58,-6,-8,-14,-26,-6,0
1130,1130,0,-320,5028,626,-4980,-986,4966,1306,-4852,8,6,22,10,56,6,-28,-4,5176,830,-5136,-1202,5064,1496,-4928,-1846,-72,4,-10,-38,-8,-14,8,-6,0
1131,1131,0,-1562,4740,1898,-4588,-2206,4480,2432,-4318,24,-10,-12,-20,-8,22,-12,-4,4832,2116,-4696,-2430,4560,2702,-4356,-3010,-24,-24,-26,12,8,4,8,-6,0
1132,1132,0,-2758,4128,2952,-3928,-3238,3696,3440,-3510,-8,6,6,-20,8,6,6,10,4202,3278,-4016,-3510,3804,3832,-3594,-4028,-8,-14,8,28,24,4,8,-22,0
1133,1133,0,-3742,3242,3932,-3026,-4148,2730,4356,-2514,-8,-26,-12,-4,8,-10,22,10,3340,4254,-3082,-4416,2836,4652,-2520,-4764,-40,20,-26,-6,-24,-24,-26,-6,0
1134,1134,0,-4514,2202,4602,-1916,-4778,1612,4858,-1340,8,22,22,-4,24,6,6,10,2196,4972,-1922,-5044,1600,5102,-1280,-5192,-40,-8,-10,-22,-8,-24,-10,-6,0
1135,1135,0,-4970,994,5024,-670,-5086,324,5122,-52,24,22,6,10,24,6,-12,10,984,5304,-664,-5306,314,5386,-10,-5330,-40,-42,8,12,-56,-24,8,-6,0
1136,1136,0,-5134,-218,5122,556,-5118,-936,5040,1182,-8,-26,-12,10,24,6,-12,-4,-394,5338,652,-5240,-994,5234,1252,-5142,-72,54,24,-6,24,4,-10,-22,0
1137,1137,0,-4970,-1512,4890,1832,-4754,-2134,4618,2372,24,6,-12,40,8,-10,38,10,-1608,5038,1872,-4880,-2218,4752,2510,-4580,-8,-58,-26,28,-40,20,-10,28,0
1138,1138,0,-4498,-2618,4340,2972,-4116,-3196,3948,3446,-8,-42,6,-4,8,22,-12,10,-2808,4456,3096,-4192,-3336,4006,3584,-3792,40,-24,-26,28,8,4,-10,12,0
1139,1139,0,-3742,-3596,3544,3864,-3294,-4082,2984,4256,-24,6,-12,-4,-8,-42,6,40,-3800,3448,4022,-3280,-4174,2982,4388,-2698,-72,-42,-10,28,-40,4,24,12,0
1140,1140,0,-2750,-4430,2480,4592,-2190,-4660,1914,4784,-8,-10,6,10,40,-10,6,10,-4588,2366,4666,-2076,-4796,1770,4938,-1466,-8,-14,-10,-22,8,-58,-10,-6,0
1141,1141,0,-1578,-4886,1258,4966,-1002,-5046,658,5062,8,6,22,10,8,-26,22,-40,-5044,1114,5110,-866,-5172,446,5190,-180,-72,-14,8,-6,-40,-14,8,28,0
1142,1142,0,-336,-5110,-6,5094,324,-5062,-662,4998,8,-10,22,-4,8,6,6,-4,-5188,-184,5222,492,-5156,-882,5126,1172,-8,-42,24,-6,-8,4,-26,-6,0
1143,1143,0,964,-4968,-1306,4830,1594,-4724,-1888,4608,-8,-26,22,10,-8,6,38,10,-5028,-1512,4954,1750,-4812,-2174,4682,2424,-40,-42,-26,-6,-40,4,8,-6,0
1144,1144,0,2184,-4462,-2472,4286,2730,-4144,-3014,3938,8,6,6,10,8,22,-12,-4,-4588,-2744,4420,3042,-4206,-3296,4054,3558,-72,-14,-10,12,-56,4,-10,-22,0
1145,1145,0,3278,-3708,-3516,3516,3766,-3258,-3922,3036,-24,6,6,10,8,-26,-12,10,-3816,-3762,3600,4022,-3352,-4260,3080,4410,-8,4,8,-6,8,-14,24,-6,0
1146,1146,0,4148,-2744,-4342,2484,4506,-2180,-4662,1896,-8,-10,-12,40,24,6,-28,-4,-2760,-4616,2510,4742,-2234,-4846,1936,5004,-8,4,-10,-6,-40,20,-10,-6,0
1147,1147,0,4778,-1622,-4918,1278,4962,-1032,-5064,698,8,-10,22,-4,8,-10,38,10,-1624,-5130,1316,5242,-994,-5286,684,5340,-8,-42,24,-6,-8,4,-44,-6,0
1148,1148,0,5106,-360,-5152,42,5122,244,-5112,-602,-8,22,6,-20,24,-10,-12,10,-330,-5368,20,5340,314,-5336,-640,5258,-8,-24,-26,-38,-40,4,-26,12,0
1149,1149,0,5106,898,-5064,-1244,5026,1492,-4902,-1852,-8,-10,6,-4,24,-26,22,-4,984,-5220,-1248,5102,1600,-4982,-1890,4890,-8,-42,-26,12,-24,4,-26,12,0
1150,1150,0,4746,2088,-4662,-2386,4490,2636,-4342,-2946,-24,-10,22,-40,-24,-26,22,10,2212,-4714,-2472,4542,2820,-4374,-3050,4196,8,-24,-26,12,-40,36,24,-6,0
1151,1151,0,4148,3160,-3938,-3414,3734,3664,-3516,-3896,8,-26,22,-40,-8,-10,6,10,3324,-4014,-3562,3776,3772,-3548,-3968,3296,-40,20,8,-6,24,-58,-26,28,0
1152,1152,0,3294,4034,-3046,-4240,2762,4450,-2472,-4542,24,-10,22,26,8,-26,6,-4,4202,-3012,-4356,2708,4592,-2404,-4712,2130,-8,-24,-10,-6,8,4,24,12,0
1153,1153,0,2152,4724,-1888,-4836,1610,4866,-1290,-4948,24,-26,-12,10,8,-10,-28,-4,4848,-1808,-4928,1434,5064,-1160,-5104,786,-24,-14,-26,-22,8,-14,-10,-6,0
1154,1154,0,948,5012,-614,-5044,340,5076,12,-5076,40,-10,-12,-4,8,-10,-12,-24,5208,-474,-5184,142,5208,166,-5200,-528,-8,-42,42,-22,8,-42,-60,-6,0
1155,1155,0,-336,5012,642,-4996,-986,4882,1290,-4822,-8,6,6,-4,24,-26,6,10,5160,846,-5120,-1236,5016,1464,-4976,-1830,-56,4,-10,-6,-40,-14,-10,-6,0
1156,1156,0,-1578,4740,1842,-4572,-2238,4450,2448,-4286,24,6,-12,10,-8,22,22,-4,4816,2082,-4728,-2448,4560,2702,-4372,-2992,-24,-42,-44,-38,-8,-24,-10,-38,0
1157,1157,0,-2790,4128,2952,-3928,-3238,3728,3480,-3494,8,22,-12,10,8,22,6,-4,4218,3230,-3984,-3558,3804,3816,-3578,-4028,-8,36,-26,-6,8,-24,-26,-6,0
1158,1158,0,-3742,3274,3964,-3042,-4148,2762,4388,-2498,-8,6,22,40,8,-10,6,-4,3340,4270,-3038,-4448,2836,4636,-2536,-4814,-40,20,-44,-22,-8,-24,-26,-6,0
1159,1159,0,-4498,2250,4634,-1900,-4770,1644,4874,-1292,-8,-26,6,10,8,-26,38,10,2244,4922,-1954,-5044,1616,5136,-1264,-5192,8,-74,-10,12,-8,4,8,-6,0
1160,1160,0,-4954,962,5024,-686,-5102,370,5090,-68,8,-26,-12,-24,8,6,6,10,968,5320,-640,-5306,314,5338,4,-5346,-40,4,8,-6,-24,4,-10,12,0
1161,1161,0,-5134,-234,5138,586,-5086,-920,5058,1214,8,6,6,-4,-8,6,54,-24,-346,5338,636,-5256,-994,5202,1300,-5126,-8,20,8,-6,-8,-24,-10,-6,0
1162,1162,0,-4986,-1512,4906,1816,-4794,-2086,4634,2388,8,6,6,10,8,-26,22,-24,-1624,4988,1888,-4928,-2218,4752,2472,-4580,8,-24,42,12,-72,4,-10,12,0
1163,1163,0,-4482,-2650,4372,2940,-4132,-3164,3980,3446,8,-26,38,10,-8,-10,-12,10,-2776,4438,3064,-4192,-3320,4024,3584,-3782,-24,-14,-10,-22,-24,-42,-26,-6,0
1164,1164,0,-3726,-3628,3512,3896,-3294,-4066,3000,4240,8,-10,6,10,8,6,22,10,-3784,3480,4022,-3280,-4206,2934,4356,-2714,8,-14,24,28,-8,-14,-10,12,0
1165,1165,0,-2750,-4398,2480,4608,-2190,-4692,1898,4784,8,22,6,-4,8,6,6,10,-4540,2382,4698,-2092,-4828,1754,4922,-1482,-24,4,8,28,-40,-58,-10,28,0
1166,1166,0,-1594,-4902,1322,4950,-986,-5046,690,5046,24,-10,22,10,24,-10,6,26,-5012,1098,5110,-882,-5172,412,5174,-162,-88,-42,-10,28,-72,-58,-10,12,0
1167,1167,0,-320,-5062,-6,5062,324,-5062,-582,4998,24,22,-12,-40,24,22,-12,-4,-5204,-200,5206,524,-5188,-882,5126,1188,-8,-24,24,-22,24,4,-10,12,0
1168,1168,0,964,-4984,-1274,4846,1594,-4708,-1888,4656,8,6,-12,-4,-24,-10,6,-4,-5044,-1528,4954,1816,-4796,-2158,4698,2458,-8,-42,24,-22,-24,4,8,-6,0
1169,1169,0,2164,-4462,-2440,4318,2730,-4144,-3014,3938,8,-10,38,10,8,22,-28,-4,-4588,-2760,4388,2992,-4222,-3296,4006,3542,-8,20,8,12,-72,20,8,-6,0
1170,1170,0,3262,-3708,-3484,3516,3734,-3274,-3922,3020,-8,6,22,26,8,6,-12,10,-3816,-3796,3584,3990,-3336,-4210,3096,4442,-24,-58,-10,12,8,4,8,-6,0
1171,1171,0,4148,-2760,-4342,2436,4538,-2212,-4598,1928,8,6,22,10,8,22,22,10,-2776,-4600,2504,4792,-2250,-4912,1936,5020,-8,-58,-10,28,-24,4,24,12,0
1172,1172,0,4762,-1622,-4902,1278,4978,-1032,-5048,682,24,-10,-12,10,8,-10,22,-20,-1608,-5188,1332,5258,-978,-5286,700,5324,-8,4,8,12,8,-14,-26,-22,0
1173,1173,0,5106,-330,-5128,42,5122,244,-5152,-606,8,6,6,10,8,-26,6,10,-346,-5368,20,5324,298,-5352,-664,5292,-8,4,8,-6,8,4,-10,12,0
1174,1174,0,5074,868,-5048,-1212,4994,1508,-4902,-1852,-8,6,38,-4,24,6,-12,-4,984,-5204,-1248,5136,1616,-4998,-1906,4938,8,4,24,-22,8,20,-10,-6,0
1175,1175,0,4746,2088,-4630,-2402,4490,2668,-4342,-2946,-8,-42,-12,-4,-8,-10,6,10,2244,-4748,-2504,4558,2772,-4392,-3066,4212,40,-42,-10,-22,8,4,8,-6,0
1176,1176,0,4148,3160,-3986,-3400,3718,3664,-3532,-3880,-8,6,6,-8,-8,22,22,-4,3324,-4030,-3562,3810,3772,-3582,-4000,3280,-56,4,-10,-6,8,-14,8,12,0
1177,1177,0,3262,4050,-3030,-4256,2730,4386,-2456,-4542,8,6,6,26,-8,6,6,-4,4218,-2962,-4372,2708,4544,-2388,-4712,2162,-8,20,8,-22,-40,20,8,-22,0
1178,1178,0,2200,4670,-1920,-4806,1594,4882,-1290,-4980,8,-10,38,10,-24,-26,6,-8,4832,-1826,-4976,1468,5080,-1178,-5120,836,8,4,-44,-6,-40,-14,24,-38,0
1179,1179,0,948,5044,-662,-5044,324,5092,12,-5076,24,-10,6,26,24,-10,6,40,5160,-506,-5184,176,5240,198,-5200,-544,-40,-14,-10,28,-56,20,8,-6,0
1180,1180,0,-336,5044,626,-4980,-1018,4934,1290,-4868,8,22,-12,-20,-8,-10,38,-4,5176,796,-5136,-1236,5064,1480,-4992,-1814,-56,4,-10,12,24,4,8,-6,0
1181,1181,0,-1578,4724,1882,-4588,-2190,4496,2448,-4302,8,-10,22,10,-8,6,-12,-20,4864,2132,-4744,-2430,4576,2702,-4404,-2976,-8,-58,8,-22,-24,20,-10,-22,0
1182,1182,0,-2750,4128,2984,-3928,-3238,3744,3472,-3494,-8,6,-12,-4,-8,22,-12,26,4218,3262,-4032,-3542,3820,3770,-3578,-4028,-56,36,-26,-6,-8,-42,24,-6,0
1183,1183,0,-3710,3306,3964,-3026,-4132,2714,4308,-2498,-8,6,-12,10,-8,22,6,-20,3356,4238,-3098,-4448,2836,4652,-2536,-4780,40,36,8,-6,-40,4,-10,-6,0
1184,1184,0,-4498,2218,4666,-1916,-4810,1628,4874,-1308,24,6,-12,-4,-24,6,-12,40,2212,4938,-1938,-5028,1600,5120,-1248,-5208,24,4,-10,12,-8,-14,8,12,0
1185,1185,0,-4938,994,5040,-654,-5086,386,5106,-36,-8,-10,-12,10,24,-10,-12,26,984,5288,-640,-5306,298,5354,-42,-5346,-24,20,8,-38,-40,-24,-10,12,0
1186,1186,0,-5150,-266,5106,586,-5102,-920,5040,1214,8,22,22,-4,8,-26,6,26,-346,5338,636,-5256,-962,5256,1236,-5110,-8,4,8,-6,-8,4,24,-6,0
1187,1187,0,-4954,-1496,4890,1832,-4738,-2070,4682,2356,-24,22,6,40,-8,-10,-28,-4,-1560,5038,1920,-4862,-2218,4752,2504,-4580,8,-58,-26,12,-8,-14,8,-6,0
1188,1188,0,-4514,-2650,4356,2956,-4148,-3164,3964,3446,-8,-10,22,-4,24,-10,22,10,-2760,4422,3080,-4192,-3320,3990,3568,-3766,-72,-24,8,-6,-24,-14,24,-6,0
1189,1189,0,-3742,-3612,3496,3912,-3254,-4082,2968,4270,40,-26,6,-24,-8,-26,38,-4,-3784,3514,4006,-3264,-4206,3016,4356,-2682,-8,-30,-10,-22,-24,-14,24,12,0
1190,1190,0,-2774,-4398,2480,4592,-2190,-4692,1882,4784,8,22,-12,-4,8,-10,6,26,-4572,2382,4666,-2142,-4828,1754,4938,-1514,8,-58,24,-6,-56,36,8,12,0
1191,1191,0,-1594,-4918,1274,4998,-1018,-5046,626,5078,-8,-26,6,10,8,-26,-12,10,-5060,1162,5142,-866,-5172,428,5190,-196,-72,4,-10,12,-24,-14,8,-6,0
1192,1192,0,-384,-5110,12,5046,308,-5046,-646,5030,8,-10,22,10,-8,6,-12,26,-5220,-168,5190,508,-5172,-872,5142,1156,8,20,8,-6,-40,4,24,28,0
1193,1193,0,932,-4968,-1274,4830,1594,-4692,-1872,4624,-24,-10,-12,26,8,-10,22,-4,-5044,-1546,4970,1784,-4860,-2142,4682,2424,-56,4,8,-6,-40,20,24,-22,0
1194,1194,0,2200,-4462,-2488,4334,2714,-4144,-3046,3954,8,6,-12,10,24,-26,-12,10,-4556,-2744,4404,3026,-4206,-3312,4022,3542,-24,20,-26,-6,-8,20,-10,28,0
1195,1195,0,3278,-3724,-3500,3516,3718,-3290,-3906,3052,8,-10,6,10,-8,-26,54,10,-3832,-3778,3616,4022,-3336,-4210,3112,4410,-72,4,24,12,8,-24,-10,-6,0
1196,1196,0,4148,-2760,-4326,2452,4474,-2196,-4662,1896,40,-10,-12,-40,8,-10,6,-4,-2824,-4582,2526,4726,-2250,-4896,1920,5038,-8,4,8,-6,-24,20,-26,-6,0
1197,1197,0,4746,-1654,-4902,1310,4978,-1032,-5048,698,-8,-10,-12,10,24,-10,-28,10,-1624,-5096,1300,5226,-1010,-5286,716,5292,-40,20,42,-6,-24,4,-26,12,0
1198,1198,0,5074,-346,-5168,42,5122,244,-5168,-556,24,6,6,10,8,-42,22,10,-346,-5336,4,5324,314,-5336,-624,5226,-8,-14,-26,-22,-8,-42,-10,12,0
1199,1199,0,5106,884,-5048,-1228,4962,1460,-4934,-1820,8,6,-12,-24,8,38,-12,10,952,-5204,-1248,5086,1584,-5030,-1874,4906,-8,-24,-10,-6,8,-24,42,-38,0
1200,1200,0,4730,2072,-4662,-2402,4506,2652,-4374,-2946,8,22,-12,10,24,-10,6,10,2196,-4748,-2488,4590,2788,-4408,-3006,4230,8,36,8,-6,-40,4,-10,28,0
1201,1201,0,4148,3144,-3938,-3414,3702,3648,-3516,-3880,24,6,6,10,24,22,6,-24,3340,-3976,-3562,3760,3756,-3526,-4000,3264,-56,-14,-10,-6,24,36,8,-6,0
1202,1202,0,3278,4034,-3030,-4240,2762,4402,-2504,-4542,24,-8,38,-4,8,8,38,26,4218,-2962,-4372,2708,4560,-2388,-4680,2130,8,-30,-10,12,-8,4,8,-22,0
1203,1203,0,2168,4654,-1856,-4822,1578,4866,-1290,-4980,-8,-8,-12,10,-8,-24,-12,10,4848,-1792,-4960,1468,5064,-1194,-5088,802,-24,20,-10,12,-56,4,8,-22,0
1204,1204,0,964,5012,-646,-5044,324,5060,-6,-5044,8,8,-12,10,8,8,-12,-4,5144,-506,-5184,142,5192,166,-5184,-508,-8,-24,-10,-6,-56,36,-10,-6,0
1205,1205,0,-336,5044,658,-4996,-986,4982,1274,-4836,8,-8,6,-4,24,-8,22,10,5192,862,-5120,-1202,5064,1480,-4960,-1798,-40,4,-26,-6,-56,-42,8,12,0
1206,1206,0,-1594,4724,1898,-4624,-2206,4480,2448,-4302,-8,8,6,10,8,-24,-12,10,4816,2116,-4696,-2430,4592,2718,-4388,-2992,-72,-42,-26,-6,-40,4,-10,-6,0
1207,1207,0,-2718,4160,3000,-3960,-3262,3758,3504,-3542,8,-8,-12,-4,-24,24,-12,10,4202,3278,-3984,-3510,3804,3876,-3594,-4044,-8,4,24,12,-72,20,-10,28,0
1208,1208,0,-3726,3274,3980,-3010,-4132,2794,4324,-2482,8,-40,22,10,-8,-8,-12,10,3356,4254,-3082,-4416,2836,4670,-2520,-4764,8,-14,-26,-6,-88,4,24,28,0
1209,1209,0,-4482,2218,4634,-1932,-4754,1644,4890,-1356,24,-8,6,-40,-24,-8,6,-4,2212,4938,-1890,-5028,1600,5168,-1296,-5192,-40,-42,-26,-6,8,20,-44,-6,0
1210,1210,0,-4970,978,5024,-670,-5134,402,5106,-20,24,8,6,-4,8,-8,6,-4,1000,5320,-680,-5290,298,5386,-26,-5346,-72,-24,8,12,-72,36,-44,-6,0
1211,1211,0,-5134,-234,5106,602,-5134,-904,5040,1214,-8,8,6,10,-8,-8,-12,40,-346,5354,652,-5256,-978,5202,1252,-5126,-24,-24,-26,-6,24,4,8,12,0
1212,1212,0,-4986,-1480,4890,1800,-4770,-2054,4666,2372,8,-8,-12,10,8,24,6,10,-1592,5054,1888,-4896,-2234,4768,2456,-4580,-40,-14,-26,12,-24,-14,-26,-6,0
1213,1213,0,-4514,-2618,4356,2940,-4148,-3132,4020,3436,-8,8,6,-4,-24,24,6,-4,-2776,4456,3064,-4192,-3304,4024,3536,-3760,-56,4,-10,12,-24,-30,8,28,0
1214,1214,0,-3710,-3596,3528,3896,-3310,-4066,3016,4270,-24,8,-12,-4,-8,8,6,10,-3784,3514,3990,-3230,-4206,2966,4372,-2714,-24,-14,8,12,-8,-58,-10,-6,0
1215,1215,0,-2774,-4382,2464,4576,-2190,-4676,1898,4830,8,-40,-12,10,8,-40,6,26,-4572,2316,4666,-2110,-4828,1754,4938,-1514,-24,-24,-10,-38,-40,20,-10,12,0
1216,1216,0,-1562,-4820,1306,4982,-1002,-5046,642,5046,8,-24,6,26,8,24,6,-4,-5044,1080,5094,-818,-5172,428,5206,-146,-40,4,-10,-22,-24,-58,8,28,0
1217,1217,0,-336,-5094,12,5062,340,-5062,-630,5014,40,24,38,10,-24,-8,-12,10,-5236,-152,5206,508,-5140,-930,5126,1140,24,4,8,-6,-40,20,8,12,0
1218,1218,0,932,-4952,-1306,4830,1594,-4724,-1904,4608,8,8,6,10,-8,-8,6,10,-5028,-1528,4938,1750,-4812,-2158,4698,2408,-56,36,-26,-22,8,4,-10,-22,0
1219,1219,0,2152,-4462,-2456,4334,2730,-4128,-3014,3938,8,-40,6,-40,8,-24,-12,10,-4572,-2760,4420,3010,-4190,-3262,4006,3542,-8,-14,-10,12,-40,4,-26,-6,0
1220,1220,0,3262,-3740,-3532,3500,3734,-3290,-3922,3020,8,-40,-12,10,24,-24,-12,-4,-3816,-3796,3600,4022,-3336,-4210,3112,4426,-8,20,-10,-6,-72,4,-10,-6,0
1221,1221,0,4148,-2744,-4374,2468,4474,-2196,-4646,1928,8,8,22,-4,-8,-8,-12,-40,-2792,-4616,2526,4742,-2218,-4862,1936,5004,-8,-14,-10,-22,8,-24,-26,-6,0
1222,1222,0,4730,-1622,-4918,1342,4994,-1032,-5048,698,24,-8,-12,10,8,-8,-12,26,-1624,-5080,1284,5168,-1026,-5286,732,5308,-40,-24,8,12,-24,20,8,-22,0
1223,1223,0,5090,-376,-5112,58,5106,212,-5144,-606,-8,-8,38,-4,-8,-24,-12,10,-378,-5352,36,5324,330,-5352,-592,5276,-72,4,-26,12,8,-14,-10,12,0
1224,1224,0,5122,852,-5048,-1212,4978,1492,-4934,-1820,24,24,-28,-4,8,-8,6,10,984,-5220,-1248,5070,1600,-4982,-1874,4906,-24,-24,-10,-6,-56,36,-10,-6,0
1225,1225,0,4730,2088,-4678,-2418,4506,2636,-4358,-2946,-8,8,38,10,24,24,-12,10,2196,-4764,-2472,4590,2788,-4408,-3038,4212,-40,20,-10,12,8,-14,8,12,0
1226,1226,0,4116,3144,-3922,-3414,3750,3648,-3532,-3864,8,-24,-12,10,40,8,6,10,3324,-4030,-3530,3776,3772,-3476,-3984,3330,24,4,-26,12,-72,4,-26,-6,0
1227,1227,0,3278,4018,-3062,-4256,2762,4402,-2472,-4542,-8,40,22,10,-24,-24,-12,-4,4218,-3012,-4340,2724,4512,-2438,-4696,2146,-24,4,24,-6,-24,-14,8,-22,0
1228,1228,0,2216,4654,-1904,-4822,1626,4882,-1306,-4996,8,8,-12,10,8,24,6,40,4816,-1792,-4944,1450,5016,-1178,-5104,836,-40,-14,-10,-22,-40,4,-10,-38,0
1229,1229,0,980,5028,-646,-5060,324,5092,-6,-5044,-8,8,6,10,-24,-8,-44,-4,5192,-474,-5184,158,5224,198,-5200,-492,-40,4,-10,-22,-8,-42,24,12,0
1230,1230,0,-304,5060,610,-5012,-970,4966,1290,-4868,8,-8,22,10,40,8,22,-4,5160,830,-5152,-1170,5080,1480,-4960,-1830,-56,-14,-26,12,-56,4,8,-6,0
1231,1231,0,-1594,4740,1858,-4640,-2174,4464,2448,-4302,24,8,6,-4,40,-8,-28,-4,4832,2132,-4744,-2382,4560,2702,-4404,-2976,-24,20,-26,-6,24,4,-10,12,0
1232,1232,0,-2758,4144,2936,-3944,-3262,3728,3472,-3494,24,24,-12,10,-8,-24,-12,-4,4218,3214,-4000,-3510,3804,3782,-3594,-4028,24,4,24,-38,-56,20,-44,-22,0
1233,1233,0,-3726,3274,3964,-3010,-4132,2762,4340,-2482,-8,-8,-12,10,-8,-24,38,-24,3356,4254,-3098,-4432,2820,4636,-2536,-4748,-24,4,-10,-6,-24,-24,8,12,0
1234,1234,0,-4498,2218,4650,-1916,-4754,1628,4890,-1276,8,-8,-12,10,-24,8,-12,10,2244,4938,-1938,-4994,1616,5152,-1296,-5192,-40,36,-26,-6,-40,4,8,-22,0
1235,1235,0,-4970,994,5024,-702,-5086,386,5138,-52,-24,-8,-12,26,24,-8,-28,10,1016,5304,-696,-5290,346,5354,-26,-5346,-8,4,-10,-6,-24,-14,-10,-6,0
