Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/adc_en_vio_3
15,15,0,-23994,-24942,-23484,-19850,-14382,-7328,80,7460,-14,-10,-8,14,18,24,-40,-4,0
16,16,0,14140,19632,23032,24492,23664,20526,15412,8450,-14,24,-8,-4,18,8,10,14,0
17,17,0,526,-7814,-14930,-20528,-24010,-24958,-23500,-19866,2,-26,42,-20,2,8,10,-36,0
18,18,0,-14382,-7360,64,7540,14156,19648,23032,24460,34,-10,10,14,2,-10,-24,-4,0
19,19,0,23680,20510,15444,8546,510,-7830,-14898,-20592,2,8,26,-36,18,8,10,-4,0
20,20,0,-23978,-24958,-23566,-19882,-14366,-7360,32,7572,-30,-10,-24,-4,-14,24,-8,30,0
21,21,0,14124,19616,23076,24492,23648,20526,15428,8482,18,-26,10,-20,-30,-10,-8,14,0
22,22,0,526,-7830,-14930,-20544,-23978,-24974,-23516,-19866,18,-10,42,14,-14,8,26,30,0
23,23,0,-14430,-7296,64,7508,14156,19568,23000,24444,2,8,-8,-4,-14,8,-24,30,0
24,24,0,23664,20510,15444,8514,510,-7814,-14914,-20576,2,-10,10,-20,-14,-10,10,-4,0
25,25,0,-24010,-24974,-23598,-19866,-14414,-7360,96,7540,-14,-26,-8,62,2,-26,10,-20,0
26,26,0,14172,19600,22968,24476,23664,20478,15412,8418,-14,-10,-8,-4,2,-10,-8,14,0
27,27,0,558,-7798,-14930,-20576,-24042,-24990,-23500,-19850,34,24,-24,-36,2,-10,-24,-36,0
28,28,0,-14398,-7312,64,7540,14156,19648,23076,24492,50,8,-24,30,2,8,10,-4,0
29,29,0,23648,20510,15380,8450,510,-7782,-14914,-20592,18,8,26,14,-14,8,26,-4,0
30,30,0,-23994,-24990,-23516,-19914,-14366,-7328,80,7540,2,8,-8,-4,-14,-10,-24,-36,0
31,31,0,14172,19584,23016,24476,23664,20526,15412,8450,34,-10,-24,-20,2,-26,-8,-20,0
32,32,0,542,-7782,-14978,-20560,-24010,-24974,-23532,-19882,34,8,10,14,34,-26,-8,-4,0
33,33,0,-14414,-7328,64,7556,14156,19584,22968,24428,2,-10,10,-4,-14,-10,10,30,0
34,34,0,23632,20510,15428,8386,494,-7830,-14882,-20576,2,48,10,14,2,-26,42,-36,0
35,35,0,-24042,-24990,-23548,-19882,-14398,-7328,64,7524,2,-10,-24,14,18,24,10,-4,0
36,36,0,14140,19552,23016,24444,23584,20446,15380,8434,-14,-10,10,-4,50,-10,-24,-20,0
37,37,0,494,-7830,-14978,-20592,-23978,-24990,-23548,-19898,18,-26,10,14,18,-10,-8,-20,0
38,38,0,-14366,-7312,32,7540,14218,19584,23048,24460,2,-10,26,-20,-30,-26,-40,-4,0
39,39,0,23648,20494,15476,8450,510,-7878,-14930,-20592,2,-42,-24,-20,2,-42,-24,14,0
40,40,0,-24058,-25006,-23566,-19882,-14382,-7344,64,7524,2,-10,10,-4,2,-10,10,-20,0
41,41,0,14124,19584,22952,24460,23616,20462,15396,8482,-30,8,-24,-36,18,-10,26,14,0
42,42,0,510,-7878,-14898,-20592,-24026,-24990,-23484,-19850,-30,-26,-24,-4,18,-26,10,-20,0
43,43,0,-14382,-7344,32,7508,14172,19584,23016,24444,18,-10,-8,-4,34,-10,10,-4,0
44,44,0,23648,20494,15444,8450,542,-7814,-14946,-20592,-14,8,10,14,-14,-10,-8,-36,0
45,45,0,-23946,-24942,-23532,-19866,-14366,-7312,112,7540,18,-26,10,-4,-14,-10,-8,-4,0
46,46,0,14124,19616,23016,24476,23600,20494,15412,8434,-46,-10,-8,-20,-30,-10,-40,-20,0
47,47,0,510,-7878,-14914,-20576,-24010,-24990,-23452,-19898,2,-26,10,-20,-14,8,26,14,0
48,48,0,-14366,-7328,80,7524,14108,19632,23000,24444,18,-10,-24,14,2,8,10,-36,0
49,49,0,23648,20526,15428,8450,526,-7798,-14898,-20544,2,-42,10,30,2,-10,10,-4,0
50,50,0,-23994,-24974,-23532,-19914,-14318,-7312,48,7540,-14,24,-24,-4,18,8,26,-4,0
51,51,0,14172,19600,23016,24492,23632,20478,15444,8434,18,-10,-8,30,-14,8,-40,30,0
52,52,0,494,-7766,-14914,-20576,-24042,-25022,-23468,-19898,18,-10,-24,-20,34,8,26,14,0
53,53,0,-14382,-7280,96,7572,14108,19648,22968,24444,2,-42,10,14,18,-42,-24,14,0
54,54,0,23632,20494,15412,8482,510,-7798,-14962,-20576,-14,48,-8,-4,-14,-26,-8,14,0
55,55,0,-24026,-25006,-23532,-19802,-14318,-7296,64,7572,18,8,-24,-36,2,-10,26,-4,0
56,56,0,14156,19648,22984,24508,23664,20510,15332,8482,18,-10,-8,30,18,-26,10,-36,0
57,57,0,526,-7814,-14882,-20576,-24026,-24974,-23500,-19866,-14,-10,-24,-20,2,-10,10,-20,0
58,58,0,-14366,-7328,64,7508,14186,19616,23016,24460,2,-10,10,-4,18,8,-8,-4,0
59,59,0,23648,20478,15428,8434,542,-7878,-14962,-20592,18,8,10,-20,-14,-10,42,14,0
60,60,0,-23994,-24958,-23532,-19866,-14350,-7312,128,7508,18,-26,-24,30,34,24,10,-20,0
61,61,0,14140,19616,23016,24460,23616,20446,15428,8466,18,-26,26,-20,2,-26,10,-36,0
62,62,0,510,-7830,-14930,-20576,-23962,-25006,-23532,-19818,-14,24,10,14,18,-10,-8,14,0
63,63,0,-14366,-7392,80,7556,14092,19584,23000,24476,2,8,26,14,2,-10,10,30,0
64,64,0,23664,20430,15428,8418,446,-7798,-14914,-20592,2,8,-8,14,18,24,-8,-36,0
65,65,0,-23978,-24974,-23532,-19882,-14366,-7360,80,7540,2,8,10,-4,2,8,10,14,0
66,66,0,14186,19648,23016,24492,23632,20478,15428,8450,2,-10,10,-36,2,8,-24,30,0
67,67,0,478,-7814,-14946,-20640,-23978,-24942,-23548,-19898,-14,8,26,-20,2,-42,-8,14,0
68,68,0,-14398,-7296,112,7508,14140,19600,23092,24476,50,-26,26,-4,34,-10,-8,-4,0
69,69,0,23664,20526,15380,8418,510,-7830,-14946,-20560,2,8,26,30,2,8,10,-20,0
70,70,0,-24026,-25006,-23468,-19834,-14366,-7296,96,7540,2,-10,10,14,-14,-10,-24,-4,0
71,71,0,14218,19648,23092,24508,23648,20526,15460,8450,-30,8,-40,-4,18,8,10,-4,0
72,72,0,494,-7830,-14946,-20592,-23994,-24958,-23532,-19866,2,8,10,-52,2,-26,10,-20,0
73,73,0,-14334,-7328,96,7508,14172,19616,23000,24460,2,-10,26,-4,18,-26,10,14,0
74,74,0,23616,20494,15396,8418,494,-7862,-14930,-20560,34,8,-8,-20,2,8,10,-36,0
75,75,0,-24026,-25006,-23548,-19882,-14382,-7312,64,7556,2,-10,-40,30,18,-10,10,-4,0
76,76,0,14202,19680,23000,24492,23632,20494,15460,8418,-14,8,-24,-20,18,8,-8,-4,0
77,77,0,510,-7830,-14914,-20592,-24010,-24942,-23484,-19882,2,-26,10,-4,-14,-26,26,-20,0
78,78,0,-14382,-7312,64,7556,14124,19632,23032,24476,34,-10,-24,-20,18,-10,26,-4,0
79,79,0,23680,20462,15396,8466,510,-7910,-14962,-20592,18,-26,-24,-4,-30,-10,26,14,0
80,80,0,-24026,-25022,-23566,-19850,-14366,-7312,80,7508,2,24,-8,-4,18,8,-24,-36,0
81,81,0,14172,19632,23016,24476,23648,20494,15460,8418,-46,-26,42,-4,18,8,-8,14,0
82,82,0,510,-7846,-14946,-20624,-23994,-24990,-23468,-19866,18,-10,26,14,18,-26,-24,14,0
83,83,0,-14350,-7360,128,7540,14156,19616,23000,24492,18,-42,-8,-4,34,-10,10,-20,0
84,84,0,23648,20510,15396,8402,494,-7830,-14994,-20560,34,24,-24,14,-14,-10,10,-4,0
85,85,0,-23978,-25006,-23500,-19866,-14366,-7280,112,7540,-46,-10,26,-20,-14,24,-8,30,0
86,86,0,14156,19648,23000,24428,23680,20494,15396,8418,-14,-26,-24,-20,2,-10,10,-4,0
87,87,0,526,-7798,-14962,-20592,-23978,-24990,-23548,-19850,2,8,10,-4,34,24,10,14,0
88,88,0,-14366,-7328,128,7540,14140,19616,23016,24476,2,8,10,-20,-14,-10,10,14,0
89,89,0,23632,20478,15380,8450,542,-7910,-14946,-20592,2,-10,10,-20,2,-10,-24,-4,0
90,90,0,-23994,-24958,-23500,-19898,-14382,-7280,80,7540,18,-26,10,-20,34,-10,-24,14,0
91,91,0,14124,19648,23032,24444,23632,20462,15444,8418,-30,-10,-24,30,34,8,-24,-4,0
92,92,0,510,-7878,-14962,-20576,-23962,-24974,-23532,-19850,18,-10,26,14,34,-10,10,-4,0
93,93,0,-14350,-7344,64,7508,14202,19648,23048,24460,2,24,-8,14,2,24,10,-4,0
94,94,0,23600,20430,15428,8418,526,-7862,-14962,-20576,18,8,10,14,34,-10,10,-20,0
95,95,0,-24026,-24974,-23516,-19834,-14318,-7296,128,7524,2,8,-8,-4,34,-10,10,14,0
96,96,0,14124,19632,23032,24476,23632,20478,15428,8482,18,8,10,-4,18,-10,-24,14,0
97,97,0,494,-7878,-14946,-20544,-23962,-24958,-23500,-19834,2,8,10,-4,2,-10,-8,46,0
98,98,0,-14398,-7296,80,7540,14124,19584,23016,24476,18,-26,26,-4,2,48,-8,14,0
99,99,0,23664,20446,15444,8450,526,-7782,-14930,-20624,18,8,10,-52,-14,-42,-24,-4,0
100,100,0,-23978,-24974,-23548,-19882,-14318,-7328,96,7508,18,-26,26,-36,18,24,-8,14,0
101,101,0,14186,19648,23000,24508,23616,20494,15380,8434,2,8,-24,14,2,24,10,30,0
102,102,0,494,-7862,-14914,-20624,-24010,-24974,-23532,-19866,2,8,-8,-4,18,32,10,14,0
103,103,0,-14334,-7328,128,7556,14140,19600,22984,24476,18,-10,-24,14,2,8,-8,-4,0
104,104,0,23664,20446,15380,8450,526,-7878,-14930,-20576,2,8,10,-20,2,24,10,-20,0
105,105,0,-23978,-24990,-23500,-19834,-14302,-7296,112,7524,18,-26,-8,-36,-14,-10,10,-4,0
106,106,0,14156,19632,23092,24476,23616,20446,15396,8386,-14,8,-24,14,2,24,10,-4,0
107,107,0,526,-7862,-14978,-20592,-24010,-24942,-23500,-19850,2,8,-8,30,18,8,-8,30,0
108,108,0,-14366,-7312,144,7572,14234,19664,22968,24444,-14,48,10,-4,18,-10,-8,-4,0
109,109,0,23664,20446,15412,8434,526,-7846,-14930,-20624,18,32,10,14,18,-10,10,-36,0
110,110,0,-24010,-24926,-23468,-19802,-14382,-7296,112,7556,2,24,-8,-4,18,8,26,14,0
111,111,0,14124,19600,22984,24508,23600,20430,15380,8386,18,8,26,14,2,-10,26,-36,0
112,112,0,510,-7830,-14962,-20544,-24026,-24990,-23532,-19834,2,24,10,-20,2,-10,10,-20,0
113,113,0,-14318,-7280,96,7572,14202,19616,22984,24428,18,-26,-24,-4,18,24,-24,14,0
114,114,0,23648,20414,15396,8434,478,-7862,-14914,-20560,2,-10,10,-4,18,-26,26,-36,0
115,115,0,-23994,-24942,-23532,-19882,-14382,-7280,96,7604,-14,-10,10,-4,2,-10,10,14,0
116,116,0,14156,19648,23032,24524,23616,20494,15396,8450,18,8,-8,-4,2,-10,26,-20,0
117,117,0,494,-7894,-14946,-20576,-23994,-24958,-23548,-19850,2,48,26,30,2,-26,26,14,0
118,118,0,-14350,-7264,80,7524,14186,19616,23032,24508,-14,24,10,14,18,-26,10,-4,0
119,119,0,23648,20446,15380,8402,526,-7894,-14978,-20592,2,48,-8,14,18,-26,10,14,0
120,120,0,-24010,-25006,-23468,-19850,-14382,-7312,144,7572,18,-10,-8,-36,-14,8,10,-20,0
121,121,0,14140,19600,23016,24476,23696,20446,15396,8434,2,-10,26,30,2,8,10,-4,0
122,122,0,510,-7910,-14898,-20560,-24042,-25038,-23500,-19866,-14,-10,10,-4,2,-10,10,-36,0
123,123,0,-14366,-7312,80,7556,14108,19648,23076,24492,18,8,-24,-20,2,8,10,-4,0
124,124,0,23648,20462,15332,8418,494,-7878,-14978,-20560,-14,-10,-8,14,18,-10,10,-36,0
125,125,0,-24026,-24974,-23516,-19866,-14366,-7360,80,7540,-14,-10,-8,14,18,8,-24,14,0
126,126,0,14156,19584,23016,24444,23648,20446,15396,8402,18,-10,10,30,2,8,10,-20,0
127,127,0,494,-7862,-14994,-20640,-24010,-24974,-23500,-19834,34,-26,10,-36,18,-10,10,-4,0
128,128,0,-14350,-7296,64,7540,14124,19616,23016,24460,2,8,26,-4,2,-10,26,14,0
129,129,0,23600,20430,15396,8450,478,-7814,-14962,-20608,-14,-10,26,-4,18,8,10,-20,0
130,130,0,-24026,-24974,-23516,-19866,-14350,-7296,112,7572,2,-26,26,46,-46,-10,-24,-4,0
131,131,0,14156,19616,23000,24460,23616,20526,15412,8418,2,-26,-40,14,18,-26,10,30,0
132,132,0,526,-7846,-14978,-20576,-23994,-25022,-23532,-19834,18,-10,10,14,18,-26,26,14,0
133,133,0,-14350,-7280,96,7588,14218,19648,23016,24492,2,8,-8,14,2,48,26,-4,0
134,134,0,23584,20462,15380,8434,494,-7862,-14946,-20544,18,-42,-24,-36,18,-10,-8,-4,0
135,135,0,-23962,-24958,-23548,-19866,-14350,-7264,64,7524,-30,-42,-24,14,18,-10,-24,-36,0
136,136,0,14156,19600,22984,24444,23632,20478,15364,8370,2,-10,10,14,18,-10,10,-36,0
137,137,0,462,-7894,-14962,-20560,-23962,-24990,-23532,-19834,-30,8,10,30,-14,-10,-24,-20,0
138,138,0,-14350,-7248,112,7572,14202,19616,22984,24524,2,8,10,-36,2,-26,-8,14,0
139,139,0,23648,20414,15412,8434,446,-7862,-14946,-20576,18,-42,10,-20,2,-10,10,-20,0
140,140,0,-24010,-24926,-23532,-19834,-14302,-7296,112,7604,-14,-10,42,-4,18,8,26,14,0
141,141,0,14156,19648,23000,24524,23632,20414,15396,8418,-14,-10,10,30,-14,24,10,-4,0
142,142,0,462,-7814,-14946,-20560,-23994,-24974,-23500,-19850,2,24,10,14,-14,-10,10,-4,0
143,143,0,-14366,-7312,144,7572,14172,19616,22984,24492,-14,-26,-8,-36,2,-10,10,-20,0
144,144,0,23648,20446,15364,8434,510,-7878,-14978,-20592,2,8,10,30,2,8,-24,-20,0
145,145,0,-24026,-24974,-23532,-19882,-14318,-7264,144,7572,2,-10,-24,14,18,-26,10,30,0
146,146,0,14156,19616,22984,24444,23584,20446,15380,8402,18,-26,26,-36,-14,8,26,-36,0
147,147,0,494,-7910,-14962,-20544,-24010,-24990,-23500,-19834,18,-26,-24,-20,2,8,-8,-4,0
148,148,0,-14382,-7328,96,7540,14140,19600,23032,24460,2,8,10,-4,18,8,42,-4,0
149,149,0,23632,20462,15364,8402,494,-7894,-14962,-20592,2,-26,26,-20,2,-10,10,14,0
150,150,0,-24010,-24974,-23566,-19866,-14334,-7280,112,7540,-30,8,-8,-20,34,8,-8,-4,0
151,151,0,14172,19696,23032,24524,23632,20430,15364,8402,2,8,10,14,18,-10,26,14,0
152,152,0,478,-7878,-15010,-20592,-24026,-25006,-23500,-19834,-46,8,26,-4,2,8,10,-52,0
153,153,0,-14398,-7280,112,7572,14156,19632,23032,24476,50,8,10,14,-14,8,-8,-20,0
154,154,0,23600,20398,15380,8418,510,-7878,-15010,-20624,2,24,-8,-4,2,-10,-8,-20,0
155,155,0,-24010,-24958,-23516,-19834,-14334,-7280,112,7556,18,8,-8,-36,-14,8,10,-36,0
156,156,0,14218,19712,23016,24508,23664,20478,15348,8418,-14,8,10,-20,34,-10,10,-36,0
157,157,0,494,-7878,-14946,-20592,-24010,-24942,-23532,-19866,-30,-26,-8,-20,18,8,-24,14,0
158,158,0,-14334,-7296,128,7588,14234,19632,23032,24460,34,8,10,14,18,24,26,-4,0
159,159,0,23600,20446,15412,8418,478,-7862,-14898,-20624,18,-10,26,-36,2,-10,-8,14,0
160,160,0,-24010,-24942,-23500,-19818,-14334,-7296,128,7572,18,-42,26,14,2,8,-8,14,0
161,161,0,14156,19584,22984,24460,23584,20414,15380,8418,2,-10,10,-4,2,8,10,-20,0
162,162,0,462,-7830,-14946,-20592,-23978,-25038,-23566,-19850,2,8,-24,-4,-30,8,10,-4,0
163,163,0,-14350,-7312,96,7540,14202,19632,23016,24460,34,8,-8,14,-14,-26,-24,-4,0
164,164,0,23632,20462,15380,8418,446,-7894,-14962,-20592,-30,-26,-40,-4,34,8,-24,-36,0
165,165,0,-24026,-25006,-23500,-19866,-14350,-7264,112,7540,-14,-10,-24,14,2,-10,-8,14,0
166,166,0,14156,19632,22968,24460,23600,20430,15396,8386,2,8,-8,-36,-30,-10,10,-4,0
167,167,0,478,-7910,-14994,-20640,-23978,-24974,-23532,-19850,18,-10,10,-4,18,-26,-8,14,0
168,168,0,-14430,-7264,80,7524,14124,19664,23016,24492,-30,-26,26,-4,-14,-10,26,14,0
169,169,0,23584,20430,15364,8402,414,-7894,-15026,-20640,2,8,-24,30,34,-26,10,30,0
170,170,0,-23978,-24974,-23532,-19850,-14334,-7248,80,7604,18,-10,26,-20,-14,8,10,-4,0
171,171,0,14202,19584,23032,24460,23552,20430,15348,8370,34,24,-8,-20,34,8,10,-4,0
172,172,0,478,-7878,-14994,-20624,-23994,-24958,-23548,-19834,18,-26,10,-4,18,-10,10,-4,0
173,173,0,-14350,-7328,96,7540,14156,19584,22984,24460,18,32,-8,-4,2,-10,26,-36,0
174,174,0,23632,20494,15364,8354,478,-7894,-14978,-20576,-30,8,10,-4,2,-10,-8,-20,0
175,175,0,-24010,-25006,-23516,-19850,-14334,-7296,112,7572,2,-10,26,14,2,-10,10,-20,0
176,176,0,14124,19632,23076,24476,23664,20430,15380,8418,2,-10,10,14,18,8,10,-4,0
177,177,0,430,-7894,-14994,-20576,-24010,-25006,-23532,-19834,2,8,10,30,18,-10,26,-52,0
178,178,0,-14366,-7312,112,7556,14202,19616,22968,24428,2,-10,10,30,18,-10,10,-4,0
179,179,0,23568,20478,15380,8402,510,-7878,-14978,-20608,2,-42,10,14,34,8,26,30,0
180,180,0,-24074,-25022,-23484,-19802,-14366,-7328,144,7604,18,-10,10,14,-14,-26,42,-4,0
181,181,0,14172,19632,23000,24460,23648,20430,15396,8434,-14,24,-8,-20,2,8,42,-4,0
182,182,0,494,-7910,-15010,-20590,-23978,-24974,-23598,-19818,18,8,10,-20,2,-26,26,-4,0
183,183,0,-14318,-7248,96,7588,14172,19632,23076,24460,-14,-26,26,30,2,24,-8,-4,0
184,184,0,23600,20430,15380,8386,446,-7958,-14994,-20622,-14,-26,26,-4,2,-26,-8,-20,0
185,185,0,-24026,-24958,-23484,-19882,-14350,-7296,144,7524,-14,-10,-8,14,18,-10,10,14,0
186,186,0,14202,19664,23016,24524,23616,20446,15380,8418,2,24,10,-4,2,-26,10,30,0
187,187,0,462,-7894,-14994,-20590,-24082,-25006,-23548,-19834,2,-10,-24,14,2,48,-8,-36,0
188,188,0,-14334,-7312,96,7572,14202,19632,23000,24444,-30,8,42,-36,2,8,10,-4,0
189,189,0,23648,20462,15348,8370,446,-7862,-14962,-20638,-14,-26,10,-4,-14,24,42,14,0
190,190,0,-24010,-24974,-23484,-19834,-14350,-7280,144,7556,2,24,42,14,-14,8,-8,14,0
191,191,0,14140,19600,23000,24492,23648,20414,15412,8418,18,8,-24,-36,18,-10,-8,-4,0
192,192,0,542,-7910,-14994,-20638,-23978,-24974,-23566,-19850,18,8,10,-4,2,-10,-8,-4,0
193,193,0,-14334,-7312,128,7588,14172,19632,23092,24508,2,24,-24,-4,2,24,-8,-4,0
194,194,0,23664,20494,15380,8450,478,-7894,-15010,-20558,2,-10,26,-36,-14,8,10,-20,0
195,195,0,-24010,-24926,-23484,-19834,-14382,-7264,112,7572,-46,-42,-24,-20,34,8,-24,-36,0
196,196,0,14140,19632,23076,24508,23664,20462,15348,8402,18,8,-24,-4,-46,-10,-8,14,0
197,197,0,462,-7830,-14914,-20590,-23994,-24942,-23548,-19834,-14,8,10,14,2,48,-24,-4,0
198,198,0,-14350,-7312,112,7604,14218,19648,23076,24476,18,-26,10,-36,2,8,-8,-4,0
199,199,0,23616,20382,15364,8402,478,-7926,-14994,-20638,2,24,26,14,-14,8,-24,30,0
200,200,0,-24010,-24958,-23516,-19834,-14334,-7244,144,7524,2,8,26,14,-46,-10,-8,-4,0
201,201,0,14202,19664,23032,24460,23600,20398,15380,8370,18,-26,10,-4,18,24,42,14,0
202,202,0,478,-7894,-14962,-20622,-24026,-24974,-23500,-19818,2,-26,26,-20,-30,-26,10,-4,0
203,203,0,-14350,-7296,112,7572,14250,19664,23048,24508,18,-26,26,-4,2,24,-8,-4,0
204,204,0,23616,20446,15412,8402,478,-7894,-14978,-20574,2,-26,-8,-20,2,8,-24,-4,0
205,205,0,-24010,-24942,-23548,-19850,-14350,-7248,112,7588,2,-10,-24,-20,2,8,-24,14,0
206,206,0,14218,19616,23092,24492,23632,20462,15396,8370,2,24,-8,-4,34,8,-8,-20,0
207,207,0,510,-7894,-15010,-20638,-24026,-24942,-23500,-19866,2,-10,10,14,2,32,10,-4,0
208,208,0,-14318,-7280,128,7572,14202,19648,23016,24476,18,-26,10,-36,2,8,-40,-4,0
209,209,0,23696,20430,15380,8370,510,-7878,-14978,-20590,2,-42,10,14,2,24,10,-36,0
210,210,0,-24026,-24878,-23500,-19850,-14318,-7228,192,7604,-30,-10,10,-20,-30,8,-8,-4,0
211,211,0,14218,19664,23092,24524,23664,20462,15396,8386,-46,-42,-8,14,2,8,10,-4,0
212,212,0,526,-7894,-15010,-20590,-24026,-24990,-23484,-19834,18,-10,10,-4,2,-10,-40,-52,0
213,213,0,-14318,-7248,96,7636,14234,19632,23048,24460,2,24,26,-20,-30,-26,-24,-4,0
214,214,0,23648,20462,15364,8386,478,-7894,-14946,-20558,-14,32,10,-4,-30,-42,-8,-4,0
215,215,0,-23978,-24958,-23516,-19802,-14334,-7264,112,7588,2,-26,26,46,18,8,10,-36,0
216,216,0,14156,19712,23016,24460,23616,20462,15364,8386,-14,8,10,-4,18,-10,-8,-4,0
217,217,0,478,-7894,-14946,-20590,-24042,-24990,-23532,-19802,2,8,26,-36,-14,48,10,-20,0
218,218,0,-14334,-7280,112,7572,14218,19600,23048,24460,-46,8,10,-20,18,8,-40,-20,0
219,219,0,23632,20446,15364,8322,478,-7878,-14978,-20590,18,-10,42,-20,-14,24,10,-36,0
220,220,0,-24026,-24926,-23532,-19818,-14350,-7296,160,7588,2,8,10,-20,2,-10,-8,-4,0
221,221,0,14172,19648,23032,24460,23632,20398,15364,8434,2,-26,-24,-4,-14,-10,-8,14,0
222,222,0,510,-7926,-14946,-20590,-24010,-24974,-23516,-19818,2,-10,-8,-4,-14,48,-24,-36,0
223,223,0,-14318,-7264,144,7572,14234,19648,23032,24492,-30,-10,10,-4,2,-10,10,14,0
224,224,0,23648,20462,15412,8402,446,-7846,-14994,-20638,2,8,-8,-20,2,-26,-24,-36,0
225,225,0,-24026,-24926,-23484,-19818,-14334,-7264,160,7588,-30,-10,10,-4,-46,8,26,-4,0
226,226,0,14218,19616,23000,24492,23632,20446,15396,8386,2,-42,-8,-4,-30,8,-8,30,0
227,227,0,462,-7926,-14994,-20590,-24026,-24990,-23500,-19802,18,8,10,-4,2,-10,10,14,0
228,228,0,-14334,-7280,96,7556,14218,19632,22984,24460,-14,8,-24,30,-14,-26,10,30,0
229,229,0,23632,20494,15364,8386,414,-7846,-15026,-20654,-14,8,10,30,2,-26,-24,30,0
230,230,0,-24010,-24958,-23468,-19834,-14398,-7280,144,7556,2,-10,26,-20,2,8,-8,30,0
231,231,0,14156,19648,23092,24508,23616,20430,15348,8402,-14,8,42,-4,-30,-26,10,-4,0
232,232,0,462,-7878,-14978,-20622,-24026,-24974,-23532,-19850,18,8,-8,-4,2,8,-24,14,0
233,233,0,-14334,-7208,144,7572,14250,19600,22984,24476,-30,-26,10,-52,2,-10,10,-20,0
234,234,0,23632,20462,15324,8370,462,-7926,-15010,-20654,2,-10,-8,14,2,8,10,-20,0
235,235,0,-24026,-24990,-23532,-19834,-14318,-7280,96,7636,-14,8,26,14,2,-26,10,30,0
236,236,0,14202,19632,22952,24508,23616,20446,15348,8370,-14,8,-8,14,2,-10,-24,-4,0
237,237,0,462,-7862,-15010,-20622,-23994,-24974,-23500,-19754,18,-10,-24,-4,-14,-10,10,-20,0
238,238,0,-14350,-7248,160,7652,14234,19664,23092,24508,2,-10,-24,-36,2,8,-8,-4,0
239,239,0,23696,20446,15332,8370,478,-7910,-14962,-20590,2,24,10,62,2,24,-8,-20,0
240,240,0,-24010,-24974,-23500,-19802,-14302,-7176,144,7604,-14,-26,-8,-4,-30,8,26,-36,0
