Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/adc_en_vio_2
1184,1184,0,22076,17870,11630,4318,-3922,-11544,-18112,-22542,24,38,14,4,-8,6,-20,36,0
1185,1185,0,-24568,-24208,-21650,-17000,-10612,-3378,4242,11106,8,38,14,20,8,6,14,20,0
1186,1186,0,17070,21452,23900,24086,22044,17886,11646,4270,24,6,-20,-30,8,38,-4,4,0
1187,1187,0,-3970,-11630,-18144,-22476,-24600,-24224,-21596,-16948,-8,-12,-4,-30,-36,6,-4,-14,0
1188,1188,0,-10628,-3362,4306,11154,17166,21500,23884,24086,8,6,14,4,24,6,14,-14,0
1189,1189,0,22060,17870,11630,4286,-3986,-11528,-18112,-22574,-8,-12,14,20,-8,-12,-20,20,0
1190,1190,0,-24616,-24256,-21596,-16884,-10596,-3362,4258,11106,8,22,14,36,8,22,30,-30,0
1191,1191,0,17166,21452,23884,24070,22076,17822,11646,4286,24,22,-4,20,24,-12,14,-30,0
1192,1192,0,-3922,-11598,-18128,-22526,-24600,-24208,-21596,-16984,8,-28,-4,20,-8,38,14,4,0
1193,1193,0,-10596,-3378,4290,11106,17134,21452,23884,24086,8,-12,-4,-14,8,22,14,4,0
1194,1194,0,22060,17854,11630,4238,-3970,-11528,-18160,-22558,8,6,-4,-14,8,-28,-20,20,0
1195,1195,0,-24584,-24240,-21580,-16984,-10580,-3432,4194,11106,8,54,-4,4,8,6,-4,36,0
1196,1196,0,17134,21452,23820,24086,22060,17838,11630,4270,-52,22,30,20,24,6,14,-14,0
1197,1197,0,-3890,-11528,-18112,-22510,-24616,-24208,-21628,-16968,-8,6,-20,-14,8,38,-4,4,0
1198,1198,0,-10612,-3314,4242,11050,17118,21516,23932,24002,-8,6,-20,4,8,-12,30,36,0
1199,1199,0,22060,17902,11646,4302,-3954,-11598,-18080,-22542,8,6,14,4,-8,-12,-4,36,0
1200,1200,0,-24600,-24240,-21628,-17016,-10612,-3330,4290,11106,8,6,30,4,8,22,-4,20,0
1201,1201,0,17150,21484,23916,24102,22076,17870,11614,4286,-8,38,-4,4,8,22,-20,20,0
