Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/adc_en_vio_2
2247,2247,0,-4288,-11886,-18304,-22670,-24632,-24096,-21372,-16724,-52,6,-20,-14,8,-12,14,4,1
2248,2248,0,-10324,-3006,4584,11394,17326,21612,23916,24070,8,6,-20,-14,-36,38,14,4,1
2249,2249,0,21932,17662,11286,3908,-4336,-11854,-18336,-22702,8,22,14,-30,8,22,-20,4,1
2250,2250,0,-24600,-24144,-21436,-16708,-10294,-3022,4584,11394,8,6,-4,4,-8,22,-4,-30,1
2251,2251,0,17342,21628,23884,24054,21948,17630,11342,3908,24,22,14,-30,-8,22,14,4,1
2252,2252,0,-4432,-11886,-18304,-22702,-24632,-24144,-21452,-16692,8,-12,-4,4,24,-28,-4,4,1
2253,2253,0,-10278,-3038,4536,11362,17342,21612,23852,24002,-8,22,-4,4,-8,-12,14,36,1
2254,2254,0,21900,17646,11270,3908,-4304,-11918,-18304,-22702,8,-28,-4,20,-8,6,-4,4,1
2255,2255,0,-24616,-24144,-21436,-16660,-10262,-3038,4552,11394,-8,-12,14,4,-8,6,-4,-14,1
2256,2256,0,17342,21628,23916,24086,21964,17630,11270,3924,40,6,-4,4,-8,6,30,-48,1
2257,2257,0,-4368,-11886,-18352,-22654,-24616,-24160,-21404,-16708,-8,-12,14,4,24,22,-4,-30,1
2258,2258,0,-10294,-3086,4584,11410,17374,21708,23916,23954,24,22,14,20,8,6,-4,4,1
2259,2259,0,21948,17678,11302,3908,-4400,-11918,-18336,-22670,-8,6,-4,-14,-8,-28,-4,20,1
2260,2260,0,-24600,-24192,-21484,-16708,-10310,-3038,4584,11378,8,6,30,4,-8,22,-4,-14,1
2261,2261,0,17342,21628,23948,23970,21948,17678,11342,3860,-8,22,14,-48,-52,-12,30,-30,1
2262,2262,0,-4400,-11854,-18368,-22638,-24552,-24160,-21436,-16692,24,6,-4,-30,24,-12,-4,-14,1
2263,2263,0,-10324,-2958,4568,11410,17326,21660,23932,24054,-52,22,-4,-14,-36,6,-20,-14,1
2264,2264,0,21900,17646,11270,3940,-4336,-11918,-18336,-22654,-52,-12,-4,20,8,-12,14,-14,1
2265,2265,0,-24616,-24112,-21420,-16692,-10294,-3054,4568,11394,24,22,14,4,8,-12,-4,36,1
2266,2266,0,17342,21660,23932,24034,21900,17630,11286,3908,24,6,-20,-48,24,22,14,-14,1
2267,2267,0,-4320,-11902,-18304,-22702,-24632,-24192,-21420,-16724,-8,6,-4,4,-8,-12,-4,20,1
2268,2268,0,-10278,-3006,4584,11410,17358,21596,23932,24070,-52,-12,-4,4,24,6,14,-48,1
2269,2269,0,21900,17662,11302,3876,-4352,-11886,-18352,-22686,-8,6,-36,4,8,-12,30,-30,1
2270,2270,0,-24632,-24096,-21436,-16708,-10388,-3038,4568,11394,8,-28,-4,20,-8,6,14,-30,1
2271,2271,0,17342,21612,23884,24018,21964,17594,11286,3892,-52,22,-4,-14,8,22,-4,4,1
2272,2272,0,-4368,-11902,-18352,-22686,-24678,-24144,-21500,-16692,8,6,-4,4,24,22,-20,4,1
2273,2273,0,-10278,-3038,4616,11362,17358,21628,23916,24038,-52,6,14,20,-52,-12,14,-14,1
2274,2274,0,21916,17678,11326,3876,-4352,-11870,-18368,-22686,-8,22,-20,-14,-8,22,14,-14,1
2275,2275,0,-24710,-24192,-21436,-16724,-10262,-3038,4616,11394,-8,22,-4,4,8,6,14,4,1
2276,2276,0,17342,21612,23980,23986,21916,17630,11374,3908,-8,-12,14,-48,-24,22,14,4,1
2277,2277,0,-4336,-11934,-18304,-22638,-24568,-24112,-21436,-16692,24,-12,14,20,-8,22,-4,-14,1
2278,2278,0,-10278,-3038,4616,11378,17358,21628,23884,24086,-52,22,30,20,24,22,30,-30,1
2279,2279,0,21900,17678,11238,3844,-4368,-11870,-18352,-22718,-8,6,14,-30,8,-12,14,-30,1
2280,2280,0,-24710,-24160,-21452,-16660,-10324,-3006,4600,11410,-8,6,-4,-30,-8,22,14,20,1
2281,2281,0,17374,21628,23948,24070,21900,17662,11302,3908,-8,-12,-20,-30,-8,6,-4,-14,1
2282,2282,0,-4352,-11886,-18384,-22670,-24616,-24144,-21404,-16676,-8,6,14,-14,24,6,14,4,1
2283,2283,0,-10262,-3038,4584,11378,17326,21644,23884,24070,24,38,-4,36,8,38,-4,20,1
2284,2284,0,21948,17594,11254,3844,-4368,-11886,-18368,-22702,-8,6,14,4,8,6,14,-30,1
2285,2285,0,-24726,-24176,-21420,-16724,-10324,-3054,4536,11362,-52,22,14,4,-36,38,30,20,1
2286,2286,0,17342,21628,23932,24038,21932,17610,11270,3908,40,22,-4,-30,-8,6,14,36,1
2287,2287,0,-4336,-11886,-18352,-22654,-24632,-24160,-21468,-16708,24,-12,30,4,8,6,14,-14,1
2288,2288,0,-10262,-2990,4584,11394,17358,21580,23852,24054,-8,-12,-4,4,-8,-28,-4,-14,1
2289,2289,0,21932,17630,11270,3892,-4336,-11902,-18352,-22718,8,22,-4,4,-8,6,-4,4,1
2290,2290,0,-24678,-24144,-21436,-16676,-10246,-3038,4568,11362,24,-12,14,20,-8,22,-4,-14,1
2291,2291,0,17342,21612,23900,24018,21916,17646,11270,3892,-52,-12,-4,4,24,38,-4,4,1
2292,2292,0,-4368,-11950,-18320,-22638,-24648,-24176,-21452,-16692,24,-28,-4,20,-8,6,30,-14,1
2293,2293,0,-10294,-2990,4616,11394,17438,21580,23916,24086,8,6,-4,20,-8,-12,-20,36,1
2294,2294,0,21948,17594,11270,3876,-4384,-11886,-18352,-22670,-8,-12,14,4,8,6,-4,4,1
2295,2295,0,-24678,-24144,-21356,-16676,-10262,-2990,4552,11362,24,6,30,-30,8,38,-4,4,1
2296,2296,0,17358,21644,23932,24054,21900,17630,11238,3892,8,22,-4,4,-8,-12,-4,4,1
2297,2297,0,-4384,-11902,-18336,-22670,-24616,-24160,-21484,-16724,8,-12,-4,20,-8,38,-4,4,1
2298,2298,0,-10324,-3054,4568,11410,17374,21612,23916,24034,8,-60,14,4,-8,38,-20,4,1
2299,2299,0,21900,17662,11286,3940,-4336,-11886,-18320,-22670,-8,38,-4,4,-8,22,-4,4,1
2300,2300,0,-24648,-24144,-21388,-16660,-10278,-3022,4648,11362,24,-12,30,4,-8,-12,-20,-14,1
2301,2301,0,17326,21628,23948,24034,21868,17610,11270,3908,8,-12,30,4,-52,22,14,4,1
2302,2302,0,-4352,-11918,-18352,-22686,-24694,-24144,-21468,-16724,24,-12,-4,4,24,6,14,-30,1
2303,2303,0,-10262,-3006,4616,11378,17342,21628,23900,24002,8,6,14,-48,24,6,-4,4,1
2304,2304,0,21916,17630,11254,3860,-4368,-11886,-18352,-22702,-8,6,-4,-30,-8,54,-4,-30,1
2305,2305,0,-24600,-24176,-21468,-16740,-10262,-2974,4568,11410,-8,6,30,20,40,6,-4,20,1
2306,2306,0,17358,21644,23884,24038,21916,17614,11326,3892,8,-12,-20,4,-8,22,-20,20,1
2307,2307,0,-4432,-11918,-18336,-22718,-24616,-24160,-21388,-16708,-8,-12,-4,-30,-8,6,-4,4,1
2308,2308,0,-10294,-2990,4584,11362,17326,21628,23916,24054,-8,6,30,20,24,6,14,-14,1
2309,2309,0,21884,17630,11270,3860,-4336,-11918,-18352,-22638,8,-28,-4,4,-8,22,-4,-14,1
2310,2310,0,-24632,-24192,-21420,-16644,-10340,-2974,4600,11394,8,6,14,-14,8,6,14,-14,1
2311,2311,0,17390,21660,23916,24070,21932,17578,11358,3876,8,-28,-4,4,8,6,-4,20,1
2312,2312,0,-4352,-11918,-18336,-22638,-24616,-24176,-21468,-16676,-8,6,14,-30,8,-12,14,-14,1
2313,2313,0,-10262,-2958,4632,11410,17358,21660,24004,24054,-36,-12,-4,4,-8,22,46,4,1
2314,2314,0,21852,17594,11286,3876,-4352,-11870,-18368,-22670,24,-12,-4,-14,8,-44,14,-30,1
2315,2315,0,-24616,-24176,-21404,-16724,-10278,-2958,4584,11394,-36,6,-4,20,-8,38,14,-14,1
2316,2316,0,17374,21676,23916,24038,21948,17610,11238,3876,8,-12,14,-48,-52,22,-4,4,1
2317,2317,0,-4352,-11934,-18368,-22638,-24600,-24176,-21436,-16660,24,22,14,-14,-8,-12,-4,-14,1
2318,2318,0,-10262,-3022,4616,11394,17406,21676,23916,24070,40,22,-4,-14,8,-12,14,4,1
2319,2319,0,21932,17578,11254,3876,-4352,-11870,-18336,-22744,24,6,14,4,24,-12,-20,-48,1
2320,2320,0,-24632,-24112,-21484,-16708,-10278,-3006,4632,11378,8,6,-4,-14,-8,22,30,-14,1
2321,2321,0,17310,21676,23900,24002,21900,17630,11270,3908,24,6,14,4,-8,22,14,20,1
2322,2322,0,-4352,-11918,-18368,-22670,-24600,-24128,-21436,-16708,-8,6,30,-30,24,22,30,4,1
2323,2323,0,-10246,-3006,4584,11394,17326,21644,23900,24070,24,-12,14,20,8,6,-20,-30,1
2324,2324,0,21948,17594,11238,3876,-4336,-11918,-18368,-22702,8,22,-4,4,-52,-12,-4,-14,1
2325,2325,0,-24584,-24144,-21404,-16708,-10262,-2910,4584,11394,-52,-12,-20,4,24,22,-20,4,1
2326,2326,0,17406,21612,23884,24038,21948,17630,11270,3876,8,22,-4,4,8,22,14,4,1
2327,2327,0,-4336,-11902,-18400,-22718,-24632,-24144,-21404,-16660,24,-28,14,-30,24,6,14,20,1
2328,2328,0,-10294,-3054,4648,11410,17358,21596,23884,24018,8,6,-4,-14,40,6,-4,-14,1
2329,2329,0,21932,17594,11238,3892,-4352,-11870,-18400,-22686,8,6,30,-30,-8,6,14,4,1
2330,2330,0,-24616,-24192,-21452,-16692,-10246,-2990,4632,11378,8,-12,-20,-30,-8,22,14,4,1
2331,2331,0,17406,21628,23916,24034,21916,17562,11254,3892,-8,22,-4,-14,-52,6,-20,-30,1
2332,2332,0,-4336,-11902,-18384,-22702,-24678,-24176,-21436,-16708,8,-12,-4,-30,-8,6,-4,-48,1
2333,2333,0,-10278,-2958,4600,11410,17468,21628,23900,24086,-8,6,-20,20,8,6,14,20,1
2334,2334,0,21964,17662,11286,3844,-4336,-11870,-18384,-22670,24,22,30,36,24,22,14,-30,1
2335,2335,0,-24632,-24144,-21420,-16676,-10294,-2974,4600,11378,-36,-44,14,-14,40,6,-4,4,1
2336,2336,0,17358,21612,23948,24070,21900,17578,11286,3892,24,22,-20,4,-24,-44,-4,-30,1
2337,2337,0,-4432,-11918,-18400,-22686,-24632,-24224,-21404,-16708,-8,22,-20,36,8,22,30,-30,1
2338,2338,0,-10262,-2990,4616,11426,17422,21628,23932,24070,24,6,14,4,-8,22,-20,-30,1
2339,2339,0,21964,17562,11302,3908,-4288,-11902,-18320,-22670,40,22,-4,-30,-8,38,-4,20,1
2340,2340,0,-24632,-24192,-21436,-16724,-10246,-2974,4664,11410,8,22,-4,-14,24,6,14,4,1
2341,2341,0,17406,21612,23932,24070,21916,17594,11270,3876,8,22,-4,20,-8,-12,-4,36,1
2342,2342,0,-4336,-11886,-18352,-22686,-24600,-24144,-21420,-16724,8,6,14,4,-8,-12,-4,4,1
2343,2343,0,-10262,-2990,4616,11378,17390,21676,23948,24070,8,22,-4,4,8,6,30,4,1
2344,2344,0,21900,17594,11238,3844,-4384,-11870,-18320,-22670,-8,-12,-4,20,-36,-28,-20,20,1
2345,2345,0,-24568,-24144,-21404,-16692,-10246,-2974,4616,11346,-36,22,-4,-14,8,22,14,20,1
2346,2346,0,17406,21660,23932,24070,21932,17594,11358,3892,24,-28,-4,20,-52,-28,-20,4,1
2347,2347,0,-4384,-11918,-18384,-22718,-24584,-24176,-21436,-16708,24,22,14,-14,-8,22,-20,4,1
2348,2348,0,-10278,-2990,4632,11378,17374,21676,23916,24038,-8,-28,14,4,8,-28,-4,4,1
2349,2349,0,21900,17562,11238,3828,-4352,-11902,-18320,-22702,8,6,30,20,8,6,-4,4,1
2350,2350,0,-24616,-24112,-21436,-16708,-10262,-2974,4616,11394,8,6,-20,4,8,22,-4,-14,1
2351,2351,0,17390,21676,23884,24070,21964,17610,11286,3892,-68,22,-4,4,8,6,-4,4,1
2352,2352,0,-4400,-11934,-18384,-22702,-24632,-24144,-21420,-16708,8,22,14,4,24,54,14,36,1
2353,2353,0,-10262,-2942,4632,11426,17468,21628,23900,24070,24,-12,-4,20,24,38,30,4,1
2354,2354,0,21900,17614,11254,3860,-4368,-11950,-18368,-22686,8,-12,-20,4,-8,6,14,4,1
2355,2355,0,-24600,-24144,-21404,-16676,-10278,-2926,4648,11410,-8,-12,-4,20,-36,22,14,20,1
2356,2356,0,17358,21676,23900,24102,21868,17678,11254,3908,40,22,14,-14,-8,-12,-4,4,1
2357,2357,0,-4336,-11934,-18352,-22702,-24632,-24144,-21420,-16724,-24,22,30,4,-8,-28,-4,4,1
2358,2358,0,-10278,-2974,4616,11426,17358,21708,23948,24086,24,6,-20,36,24,6,-4,-14,1
2359,2359,0,21916,17614,11238,3796,-4368,-11886,-18384,-22728,8,6,-36,-14,-8,6,-20,-30,1
2360,2360,0,-24726,-24176,-21420,-16708,-10324,-2974,4616,11426,8,6,-20,20,24,22,-4,4,1
2361,2361,0,17406,21660,23948,24034,21900,17646,11374,3908,-8,-12,-20,20,-24,-12,-20,4,1
2362,2362,0,-4368,-11918,-18352,-22654,-24616,-24176,-21388,-16676,-52,6,-20,20,24,38,14,20,1
2363,2363,0,-10246,-2958,4632,11442,17390,21644,23900,24054,8,54,14,-30,-8,38,14,20,1
2364,2364,0,21948,17646,11254,3844,-4320,-11902,-18384,-22760,-8,6,-4,-30,24,-12,14,4,1
2365,2365,0,-24648,-24208,-21404,-16676,-10246,-2974,4648,11426,24,22,14,-14,8,38,30,4,1
2366,2366,0,17390,21644,23868,24002,21932,17630,11238,3892,-36,-12,14,-14,-8,-28,-20,-14,1
2367,2367,0,-4384,-11966,-18352,-22670,-24600,-24144,-21420,-16708,24,22,-4,4,24,6,-4,-30,1
2368,2368,0,-10278,-2974,4584,11394,17390,21628,23948,24070,8,-12,-4,20,-52,-28,-4,4,1
2369,2369,0,21948,17578,11254,3860,-4336,-11902,-18368,-22702,40,6,-4,4,-36,6,-20,-30,1
2370,2370,0,-24584,-24192,-21404,-16708,-10246,-3038,4632,11410,24,-44,-4,20,24,22,-20,4,1
2371,2371,0,17374,21580,23868,24070,21884,17562,11254,3860,-8,-12,-20,-30,-52,-28,-20,4,1
2372,2372,0,-4384,-11950,-18448,-22702,-24648,-24176,-21436,-16740,24,6,-4,20,-8,22,14,-14,1
2373,2373,0,-10278,-2974,4616,11410,17358,21612,23900,24018,-8,-12,-36,-14,-8,6,14,4,1
2374,2374,0,21900,17594,11254,3876,-4384,-11918,-18416,-22718,8,22,-4,-48,-68,-12,-4,-14,1
2375,2375,0,-24616,-24240,-21404,-16740,-10278,-2974,4616,11378,8,-12,30,4,8,38,-20,4,1
2376,2376,0,17358,21596,23868,24038,21900,17630,11238,3892,-8,-12,-20,4,8,-12,-36,-14,1
2377,2377,0,-4336,-11918,-18384,-22702,-24678,-24160,-21404,-16708,8,22,14,-14,8,22,-4,-14,1
2378,2378,0,-10278,-2990,4616,11410,17422,21644,23916,24054,8,38,14,20,-8,22,-20,4,1
2379,2379,0,21868,17578,11270,3876,-4336,-11934,-18400,-22686,24,6,-4,36,-8,6,-4,4,1
2380,2380,0,-24694,-24096,-21404,-16676,-10278,-3006,4584,11362,-8,22,-4,-14,-8,-12,-4,4,1
2381,2381,0,17390,21612,23900,24002,21932,17578,11222,3892,8,6,-20,4,8,22,-20,-30,1
2382,2382,0,-4352,-11918,-18352,-22702,-24632,-24176,-21452,-16740,24,-28,-4,36,24,6,46,20,1
2383,2383,0,-10262,-2990,4632,11394,17390,21644,23916,24002,24,-12,14,20,-8,22,-20,4,1
2384,2384,0,21900,17594,11222,3796,-4400,-11918,-18336,-22734,8,6,14,4,-8,6,-20,20,1
2385,2385,0,-24694,-24160,-21404,-16676,-10230,-3022,4648,11410,24,-12,-4,-14,-8,6,-36,4,1
2386,2386,0,17406,21644,23932,24086,21932,17630,11254,3812,-8,22,-4,4,-8,-12,-4,20,1
2387,2387,0,-4400,-11934,-18368,-22686,-24694,-24144,-21452,-16708,-52,6,-4,4,40,22,-4,20,1
2388,2388,0,-10262,-2990,4600,11394,17326,21628,23852,24054,-8,-12,-4,20,-8,6,-20,20,1
2389,2389,0,21916,17578,11238,3844,-4384,-11934,-18384,-22744,-8,22,14,20,24,22,-4,-30,1
2390,2390,0,-24664,-24144,-21436,-16708,-10214,-2974,4680,11378,40,22,-4,4,8,-12,14,4,1
2391,2391,0,17358,21644,23948,24002,21948,17578,11238,3860,24,22,14,4,-36,6,30,-30,1
2392,2392,0,-4368,-11934,-18320,-22670,-24600,-24128,-21436,-16660,8,22,-4,4,-8,-28,-4,4,1
2393,2393,0,-10294,-3006,4616,11410,17406,21612,23932,24018,24,38,-20,4,24,-12,-4,4,1
2394,2394,0,21932,17578,11270,3876,-4400,-11902,-18416,-22686,-8,-12,-4,20,-8,-28,-4,4,1
2395,2395,0,-24600,-24112,-21452,-16708,-10262,-2942,4568,11394,-8,22,-4,4,-52,-12,-20,20,1
2396,2396,0,17390,21660,23900,24086,21884,17578,11238,3860,24,6,14,4,8,6,14,-30,1
2397,2397,0,-4384,-11966,-18416,-22702,-24678,-24144,-21468,-16676,-52,6,14,20,8,-12,14,-30,1
2398,2398,0,-10246,-2990,4584,11426,17374,21644,23900,24038,-8,22,14,4,-8,38,-4,-14,1
2399,2399,0,21900,17562,11254,3876,-4400,-11902,-18384,-22686,8,38,30,-14,8,22,-4,-14,1
2400,2400,0,-24710,-24144,-21484,-16708,-10246,-3006,4648,11378,8,-12,-4,-30,8,-12,-4,20,1
2401,2401,0,17406,21660,23980,24086,21884,17614,11286,3860,-8,22,30,20,-8,6,-4,20,1
2402,2402,0,-4384,-11902,-18400,-22654,-24616,-24192,-21468,-16708,-8,22,-4,20,-8,22,-20,4,1
2403,2403,0,-10198,-2942,4648,11426,17422,21644,23916,23986,-8,22,-20,20,24,-12,-4,-14,1
2404,2404,0,21868,17594,11238,3860,-4400,-11934,-18368,-22670,-8,-12,-4,-30,8,54,14,-48,1
2405,2405,0,-24726,-24176,-21436,-16676,-10278,-2958,4664,11426,-52,6,-4,4,-8,-28,-4,-30,1
2406,2406,0,17390,21676,23948,24038,21884,17578,11270,3844,-8,-12,-4,-30,8,22,-20,4,1
2407,2407,0,-4400,-11950,-18400,-22686,-24632,-24192,-21436,-16644,-8,22,-4,20,24,38,-4,4,1
2408,2408,0,-10262,-2990,4664,11426,17438,21612,23948,24070,8,-12,-20,36,8,-12,14,4,1
2409,2409,0,21948,17662,11222,3876,-4400,-11982,-18368,-22670,8,-12,14,4,40,-12,14,-14,1
2410,2410,0,-24726,-24112,-21420,-16724,-10278,-2942,4664,11394,8,6,-4,4,8,6,-36,36,1
2411,2411,0,17406,21628,23932,24054,21900,17630,11342,3844,8,22,14,36,8,-12,-4,4,1
2412,2412,0,-4416,-11918,-18416,-22686,-24694,-24176,-21436,-16644,24,-44,-4,4,8,-12,14,20,1
2413,2413,0,-10262,-3006,4616,11442,17438,21596,23916,23938,24,6,-4,4,24,6,14,36,1
2414,2414,0,21884,17662,11286,3844,-4400,-11966,-18368,-22718,-8,6,-20,-30,8,-12,-4,-14,1
2415,2415,0,-24694,-24160,-21468,-16644,-10278,-2942,4680,11394,8,6,-4,-14,-8,6,-4,20,1
2416,2416,0,17374,21644,23932,24018,21852,17530,11222,3860,8,-12,-4,4,-8,6,14,4,1
2417,2417,0,-4416,-11950,-18400,-22776,-24632,-24144,-21468,-16724,-52,22,-20,20,8,6,-20,-30,1
2418,2418,0,-10278,-2990,4632,11410,17342,21644,23916,24002,-36,-12,-20,-14,8,22,14,-30,1
2419,2419,0,21868,17562,11238,3828,-4416,-11918,-18400,-22702,-8,6,-4,-14,8,-12,-36,-14,1
2420,2420,0,-24616,-24144,-21436,-16708,-10230,-2942,4648,11410,8,6,-4,4,-52,6,-4,4,1
2421,2421,0,17390,21644,23900,24054,21900,17630,11222,3860,24,-12,-4,4,8,6,14,20,1
2422,2422,0,-4384,-11950,-18368,-22702,-24710,-24176,-21388,-16708,-36,-12,14,36,24,-60,30,4,1
2423,2423,0,-10262,-2958,4600,11394,17374,21644,23916,24038,24,22,-20,20,-8,-12,14,-30,1
2424,2424,0,21868,17578,11206,3796,-4400,-11886,-18368,-22824,-8,-28,30,4,8,-12,-36,20,1
2425,2425,0,-24742,-24192,-21420,-16692,-10278,-3022,4632,11426,8,6,-20,-14,-8,-28,-4,4,1
2426,2426,0,17358,21628,23948,23986,21932,17578,11222,3828,40,-12,-4,36,-8,6,-20,-48,1
2427,2427,0,-4384,-11950,-18416,-22702,-24694,-24192,-21404,-16660,56,6,30,20,24,22,30,4,1
2428,2428,0,-10262,-2974,4632,11410,17390,21692,23916,24002,8,6,14,-30,-52,6,14,20,1
2429,2429,0,21884,17578,11254,3860,-4432,-11934,-18384,-22718,8,6,-4,4,-8,-12,-20,4,1
2430,2430,0,-24678,-24192,-21436,-16692,-10230,-2958,4616,11394,24,-12,-20,-14,24,6,-4,20,1
2431,2431,0,17390,21628,23900,23986,21868,17546,11270,3828,8,-12,14,4,-8,6,-4,-48,1
2432,2432,0,-4432,-11998,-18416,-22702,-24662,-24208,-21452,-16708,-8,22,14,4,-8,22,14,4,1
2433,2433,0,-10262,-2942,4584,11394,17358,21628,23900,24054,24,-12,30,36,-8,22,14,4,1
2434,2434,0,21900,17562,11174,3780,-4400,-11950,-18416,-22824,8,-12,14,-30,8,6,-4,4,1
2435,2435,0,-24616,-24144,-21452,-16708,-10294,-2974,4648,11426,24,-12,14,20,-8,22,14,4,1
2436,2436,0,17390,21628,23900,24018,21900,17562,11254,3844,24,6,14,4,24,22,-20,-48,1
2437,2437,0,-4432,-11918,-18368,-22702,-24632,-24160,-21436,-16708,24,22,-4,4,8,22,-4,4,1
2438,2438,0,-10262,-2974,4632,11394,17374,21596,23932,24034,-52,-28,-4,20,24,-12,14,4,1
2439,2439,0,21868,17530,11238,3860,-4384,-11998,-18368,-22702,8,-12,-4,-14,8,-12,-20,-30,1
2440,2440,0,-24662,-24176,-21452,-16676,-10246,-2974,4616,11378,8,-28,46,-14,40,-12,-20,-14,1
2441,2441,0,17454,21660,23916,23922,21852,17578,11270,3828,24,-28,30,20,8,6,14,20,1
2442,2442,0,-4448,-11934,-18416,-22670,-24600,-24144,-21436,-16692,24,-12,-4,4,-52,-12,-4,20,1
2443,2443,0,-10230,-2974,4616,11458,17342,21660,23916,24018,24,6,-4,-14,8,38,14,4,1
2444,2444,0,21868,17594,11238,3828,-4384,-11950,-18416,-22760,-8,6,14,20,40,22,14,-14,1
2445,2445,0,-24616,-24112,-21420,-16724,-10230,-2990,4632,11410,24,6,-20,36,24,6,-4,20,1
2446,2446,0,17390,21644,23932,24018,21868,17546,11270,3844,24,22,30,4,8,-28,14,-14,1
2447,2447,0,-4432,-11918,-18400,-22670,-24710,-24144,-21404,-16724,24,22,14,4,-8,-28,-20,-14,1
2448,2448,0,-10230,-2990,4680,11442,17390,21596,23868,24054,40,22,14,20,24,-12,14,4,1
2449,2449,0,21900,17578,11222,3812,-4432,-11934,-18400,-22686,8,22,-4,-14,-8,38,-4,-30,1
2450,2450,0,-24678,-24128,-21404,-16708,-10230,-2990,4648,11410,24,6,-20,-30,24,-12,14,4,1
2451,2451,0,17406,21628,23964,24002,21852,17546,11206,3860,24,-12,14,20,8,22,-20,20,1
2452,2452,0,-4368,-12014,-18448,-22702,-24600,-24128,-21468,-16676,40,38,-4,4,8,6,14,36,1
2453,2453,0,-10246,-2974,4664,11458,17406,21676,23948,24002,24,-12,14,4,-36,6,30,-30,1
2454,2454,0,21852,17578,11222,3812,-4384,-11934,-18400,-22702,8,22,-20,4,-8,6,14,4,1
2455,2455,0,-24584,-24176,-21372,-16644,-10310,-2990,4600,11426,24,6,-4,-30,8,-12,30,4,1
2456,2456,0,17390,21628,23884,24054,21868,17562,11238,3812,8,6,-4,4,8,38,-20,20,1
2457,2457,0,-4448,-11950,-18448,-22760,-24694,-24128,-21436,-16692,24,6,-20,4,8,22,30,4,1
2458,2458,0,-10246,-2958,4648,11458,17468,21724,23948,24054,24,22,-4,-14,8,-28,14,4,1
2459,2459,0,21916,17594,11238,3876,-4400,-11966,-18384,-22718,-8,38,-20,-48,-24,6,-4,4,1
2460,2460,0,-24632,-24144,-21436,-16644,-10278,-3006,4648,11442,-8,-28,14,4,-8,-44,14,20,1
2461,2461,0,17390,21660,23948,24018,21932,17630,11254,3860,-8,-12,-4,36,24,-12,14,4,1
2462,2462,0,-4400,-11966,-18384,-22702,-24678,-24176,-21404,-16724,8,6,14,-14,8,-28,30,4,1
2463,2463,0,-10246,-2958,4584,11394,17374,21644,23884,24038,-8,-28,-20,-14,-52,-12,-4,4,1
2464,2464,0,21900,17578,11222,3844,-4432,-12034,-18432,-22702,40,38,-20,4,-8,6,-36,4,1
2465,2465,0,-24616,-24144,-21436,-16676,-10246,-2974,4648,11378,24,-12,-20,-14,8,22,-4,-30,1
2466,2466,0,17454,21644,23884,24002,21900,17546,11174,3796,24,22,-20,4,24,-44,-4,-30,1
2467,2467,0,-4416,-11934,-18432,-22718,-24632,-24208,-21436,-16660,-8,-12,-20,20,-52,-28,-4,4,1
2468,2468,0,-10246,-2990,4648,11458,17422,21676,23964,24002,8,22,-4,4,-8,22,30,-14,1
2469,2469,0,21900,17562,11238,3796,-4400,-11934,-18400,-22744,-8,6,-4,-30,-8,6,14,20,1
2470,2470,0,-24694,-24176,-21420,-16676,-10246,-2942,4648,11426,-8,-12,-36,4,24,6,-20,36,1
2471,2471,0,17470,21644,23932,23986,21884,17594,11222,3780,8,6,14,-30,8,-28,-4,20,1
2472,2472,0,-4400,-11998,-18400,-22702,-24678,-24160,-21436,-16724,-8,6,-4,-30,24,22,14,-30,1
2473,2473,0,-10150,-2958,4648,11426,17374,21676,23948,24002,-8,-12,-20,-30,24,6,-4,4,1
2474,2474,0,21900,17646,11222,3828,-4416,-11982,-18400,-22654,-8,22,14,-30,-8,-12,-4,4,1
2475,2475,0,-24632,-24176,-21436,-16692,-10246,-2894,4648,11442,24,6,-4,20,-8,-12,-4,4,1
2476,2476,0,17406,21628,23948,24054,21900,17578,11206,3860,-52,-12,-4,-14,8,-12,14,4,1
2477,2477,0,-4432,-11966,-18416,-22744,-24616,-24112,-21452,-16692,8,-12,-4,4,8,38,14,20,1
2478,2478,0,-10246,-2974,4600,11442,17374,21644,23916,23970,8,-12,14,20,-84,-28,14,4,1
2479,2479,0,21884,17562,11206,3812,-4400,-11934,-18432,-22744,-8,-12,30,-30,8,-12,-4,-30,1
2480,2480,0,-24694,-24144,-21420,-16676,-10214,-2942,4616,11410,8,22,-4,-30,24,22,-4,20,1
2481,2481,0,17406,21644,23932,24102,21916,17610,11238,3812,24,6,-20,-14,8,6,-4,-14,1
2482,2482,0,-4432,-11918,-18416,-22702,-24584,-24160,-21404,-16644,40,-12,-20,4,-8,-12,-4,-14,1
