Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
107,107,0,e0ff4200baff1c00c2ff3c000400f4ff9eae105f56dbb85186158a24824862ea
108,108,0,02002200dafffaff3c00f0ff5800c4ff76155425284806eaee5ec8b7f25102a1
109,109,0,3200f0ff2c00daff5a00d2ff1400d4ff205fccb7b851c6a03c2524ae82eaf2da
110,110,0,4200d0ff1c00cafff0ffe0ffc4ff2400c4244eaee6e9f6dac8b7a615f2a06248
111,111,0,12000200eaffeaffb2ff2c00b4ff58001cb84615c6a0684824ae1e5fe2da7251
112,112,0,e0ff2200bafffafff0ff4c00f4ff58009eae005f56dbe85176150c256248f2e9
113,113,0,120042000c001c004c00f0ff2400f4ffc615d424284836ea0e5f38b7825102a1
114,114,0,120012000c00eaff2c00c2ff1400d4ff105f0cb8b851d6a05c2504ae62ea82da
115,115,0,2200e0ff0c00caff2c00f0fff4ff140004253eaea6e976dbb8b79616b2a03248
116,116,0,2200e0ffeaffeaffc2ff3c00e4ff34000cb87615f6a0584814aefe5e62dbb251
117,117,0,c0ff1200eaff2c00e0ff5a00140004001eae305f66dbb85136157a24324812ea
118,118,0,120032001c001c002c002c005800e4ff76156425a848c6e9fe5e88b78251f2a0
119,119,0,f0ff02001c00caff4c00d2ff0400d4ff105fdcb79851a6a01c2504af32ea82db
120,120,0,2200c0ff0c00cafff0ffe0ffd4ff040064246eae06ea66dbb8b7961502a16248
121,121,0,f0ff0200baff2c00b2ff5a00e4ff24005cb81615c6a02848f4ad1e5f82dac251
122,122,0,d0ff2200daff2c00e0ff4c00240034002eaef05e46dbe85116150c25e24772ea
123,123,0,020022001c000c003c00d2fff4ffb4ff7615e4241848d6e90e5fa8b7d251d2a0
124,124,0,f0ff12002c00caff2c00c2ff24000400105fecb7a851d6a03c2534ae02ea12db
125,125,0,3200f0ff0c00caffd2ffe0ffb4ff240024254eaec6e976db78b7961602a16248
126,126,0,1200d0ffdaff1c00d2ff3c00e4ff2400ecb73615c6a0284834ae1e5fd2dac251
127,127,0,02002200caff2c00d2ff3c00f4ff14002eae005f66dba85166158a24f24772ea
128,128,0,12003200faff0c003c0000006800e4fff61594243848c6e9fe5e08b8b25102a1
129,129,0,020002001c00eafff0ffc2ff2400d4fff05e0cb8d851d6a0fc24e4ae22ea32db
130,130,0,4200e0ff0c00cafff0ffe0fff4ff240014255eaea6e9d6db08b81616f2a05248
131,131,0,f0fff0ffdafffaffb2ff4c00c4ff14001cb88615d6a0984834ae0e5f12dbd251
132,132,0,f0ff2200caff1c00d2ff2c00240024003eae205f86dba8516615dc245248e2e9
133,133,0,120022000c00eafff0fff0ff2400c4ffa615f424884816ea1e5f38b77251e2a0
134,134,0,320032001c00daff3c00e0ff0400d4ff205ffcb7a851e6a03c25b4aee2eae2da
135,135,0,2200f0ff1c00caff0000d2ffb4ff0400c4244eae36ea76db08b84616e2a09248
136,136,0,e0ff0200caff0c00c2ff2c00d4ff68000cb89615d6a0384814aefe5e52db9251
137,137,0,02003200caff0c00e0ff3c00040004005eaef05e56dbb85156152a24e24722ea
138,138,0,f0ff1200eaffeaff3c00d2ff5800e4ff7615b424384876e9fe5eb8b7b251e2a0
139,139,0,120002001c00daff5a00d2ff0400b4ff305fbcb79851d6a0ec24d4ae52ead2da
140,140,0,4200c0fffaffcaffe0fff0ffe4fff4fff4248eae76e996db98b7161602a15248
141,141,0,1200f0ffdaff2c00d2ff2c00f4ff24001cb8a615a6a01848e4ad1e5f42db6251
142,142,0,e0ff3200caff3c00e0ff3c00040004003eae105f46dbb85166150c25624872ea
143,143,0,020022000c002c002c00e0ff5800e4ffa615c4240848f6e91e5f08b7b251e2a0
144,144,0,220022003c00caff2c00c2ff2400c4ff005f2cb89851c6a05c2534ae32ea22db
145,145,0,220002000c00eaff1e002c00e4ff0400c4245eae86e956db58b7b616f2a03248
146,146,0,12002200baffeaffc2ff4c00a4ff6800ccb7b615d6a0684804ae1e5f32dba251
147,147,0,02002200daff1c00d2ff5a00040004003eae105f76db985146152c25224802ea
148,148,0,f0ff32000c00daff4c00d2ff6800e4ff06166425284806eaee5ef8b7d25122a1
149,149,0,320012002c00daff0000c2fff4ffc4ff105fccb75851b6a04c25a4ae62ea12db
150,150,0,4200e0ff1c00caffe0ff3c00e4ff1400b4244eaeb6e996db08b8c615f2a04248
151,151,0,1200f0ffcaff1c00d2ff2c00c4ff24000cb8a615a6a0484814aefe5e22dbf251
152,152,0,e0ff4200eaff2c00e0ff0000040004001eae005ff6dac85176151c25124832ea
153,153,0,120042001c00faff4c00f0ff2400d4ffc61514255848f6e9fe5e48b77251f2a0
154,154,0,320002001c00daff2c00b2ff1400c4ff105fccb7c851c6a01c25b4aed2e9f2da
155,155,0,2200f0ff0c00eaff1e00f0ffe4ff040004252eaec6e986db38b8c615f2a06248
156,156,0,2200f0ffdaff0c0094ff1e00e4ff14000cb89615c6a0284834aeee5ee2dae251
157,157,0,d0ff3200baff2c00e0ff3c00040004004eae105f86db6851a615ea23624822ea
158,158,0,020052002c000c003c00e0ff2400d4ffc615b4243848f6e9fe5e28b77251e2a0
159,159,0,f0ff02002c00baff4c00b2ff1400f4ff205f0cb87851c6a00c25a4aef2e902db
160,160,0,4200f0ff1c00dafff0ffd2ffe4ff240074249eaee6e996dbb8b72616a2a01248
161,161,0,22001200caff1c00c2ff4c00f4ff1400dcb76615e6a0a84804ae2e5f02dba251
162,162,0,d0ff2200caff2c0000004c0024003400deae005f26dc385126163a244248b2e9
163,163,0,e0ff32002c00faff2c00f0ff1400e4ff26169424a84876e9fe5e28b7a251e2a0
164,164,0,220002002c00daff5a00c2ff0400d4ff205ffcb75851c6a03c2544ae92ead2da
165,165,0,2200d0ff1c00cafff0ffd2ffe4ff5800c4246eae86e9a6dbb8b7d616d2a06248
166,166,0,02001200eaffeaffe0ff3c00e4ff5800dcb71616e6a0484824ae0e5f42db7251
167,167,0,d0ff2200dafffafff0ff3c00040024008eae105f86db78516616ca23524882ea
168,168,0,f0ff3200daffeaff2c002c002400f4ffa615e424384826ea1e5f38b7e251e2a0
169,169,0,120002000c00caff4c00d2ff2400d4ff305ffcb79851a6a0bc2414afc2e902db
170,170,0,4200d0ff2c00caffd2ffe0ffd4ff2400a4245eaec6e906dc68b7d61602a16248
171,171,0,22000200eaff1c00c2ff3c00e4ff24001cb87615c6a0384894ae1e5f02db9251
172,172,0,d0ff1200caff2c00e0ff5a00040024006eae405f06dc88511616ac241248c2e9
173,173,0,e0ff0200faff0c003c0000005800e4ffa6158424784836e90e5f08b7825102a1
174,174,0,3200f0ff1c00eaff2c00c2fff4fff4ff005fccb75851c6a0dc2444aed2e922db
175,175,0,2200b0ff2c00caffe0ffe0ffe4ff040014258eaec6e9a6dbe8b70617e2a08248
176,176,0,0200f0ffdaff0c00c2ff4c00e4ff24008cb71616d6a0784834ae0e5f52db7251
177,177,0,d0ff0200daff0c00d2ff3c00040058005eae705fd6db88513615ac245248d2e9
178,178,0,f0ff42000c00faff2c00e0ff6800d4ff0616a4244848c6e90e5f38b7b251b2a0
179,179,0,420002002c00caff4c00d2ff1400c4ff205fbcb79851d6a09c2524afd2e902db
180,180,0,3200d0ff0c00dafff0ffd2ff040024004424aeaec6e846db98b7b615e2a0d248
181,181,0,f0fff0ffcaffeaffb2ff3c00d4ff6800bcb72616d6a0a84884ae1e5f82db8251
182,182,0,e0ff1200caff2c00f0ff5a00140024003eae105f46db98512615ec24424812ea
183,183,0,f0ff22002c00eaff4c00f0ff5800e4ffc615e424784876ea0e5f08b70252f2a0
184,184,0,1200e0ff0c00eaff4c00c2ff2400d4ff005fdcb77851d6a09a2434ae72e962db
185,185,0,42000200faffcaff0000f0fff4ff0400d4248eae76e996db88b72617f2a01248
186,186,0,f0fff0ffbaff0c00e0ff0000c4ff58008cb79615f6a0484884ae1e5f82dbd251
187,187,0,f0ff3200caff1c00d2ff3c00240004008eaee05e06dc985176156a246248c2e9
188,188,0,f0ff2200eafffaff4c002c002400e4ff56168424c84866e90e5f58b79251e2a0
189,189,0,2200f0ff1c00daff4c00c2ff2400f4ff605fbcb78851c6a04c25e4ae82e902db
190,190,0,02000200faffcafff0ffe0ffe4ff2400c424aeae76e9e6dba8b70616a2a07248
191,191,0,02001200caffdaffb2ff2c00c4ff5800fcb7861596a0684884aefe5e22db8251
