Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0]
115,115,0,f8ffd8ff2e00ccff0200b0ffd0ffc0ff76572ca99237e2a8aa02c2cacacbfafe
116,116,0,0a00d8ff0e00bcffe0fff0fff0ff00000206d2c6fece9efb8eaa4e32caa7ea55
117,117,0,f8ff3a00ccff2e00c0ff0200e0ff60000caccc2f12a7ca5452c47458faf75a3a
118,118,0,c8ff4a00dcff2e00e0ff320010006000a2c168592cf4f23c7e2c2a0a2a53fad1
119,119,0,1a000a00ecffdcff0200d0ff7000c0ff7c29040dea5100d5e45910adca3f3aa6
120,120,0,3a00e8ff4e00ccff4200c0fff0ffc0ff885a1cafb441a2a57a10d2be7ad8aaf0
121,121,0,4a00e8ff1e00ecffd0ff1200e0ff5000961320bdd2da0aee10b1ce264aa57a50
122,122,0,d8ffe8ffccff0e00d0ff2200c0ff10004eb26a23c2a4e84e80ba345bbaea8a44
123,123,0,c8ff2a00ecff3e00f0fff0fff0ff100080b8185bc8e786461c206c16ca4c4ade
124,124,0,f8ff1a001e00fcff1200f0ff6000e0ff381d181a284b64e1545b80b49a48caa4
125,125,0,1a00b8ff2e00ecff2200d0ff1000d0ff685b4eb6584a92a41c1e90b63ae5dae3
126,126,0,1a00d8ff1e000e00d0fff0ffe0fff0ff0a211eb488e864e090b89c189aa45a48
127,127,0,f8ffe8ffccff1e00d0ff1200d0ff5000c0ba1616b2a4a64620b2645b3addea4c
128,128,0,c8ff5c00dcff2e0002004200200050008eb0185b52da484edc12ae243a448aeb
129,129,0,d8ff1a000e002e002200f0ff50000000f40f1a271442faeea45a82bc6a500aa5
130,130,0,2a00f8ff1e00bcfff0ffe0ff1000d0ff085af0be4a5172a53e2a90aeeaf10ad7
131,131,0,2a00f8ff2e00dcffe0fff0ffe0ff00009c2c7cadfcf440d4d2c19a0c4aa6ba3f
132,132,0,0a00f8ffbcff0e00d0ff2200e0ff7000d2c30409f2a6843de0abb459cad03a53
133,133,0,d8ff1a00ccff1e00d0ff1200e0ff0000fcaab8587ece1a548a059e2f6a3a6af9
134,134,0,d8fff8ff0e000e001200e0ff7000d0ff8202ae3292388efc245802c70a56baa7
135,135,0,3a004a003e00ecff2200d0ff5000c0ffe656d4c91c57b2a82036aea96a009acb
136,136,0,2a00d8ff0e00ccffe0ff0200e0fff0ff50382ca840038cc832ccd8fddaa9ba34
137,137,0,e8ffe8ffdcfffcffc0fff0ffc0ff500054cfd0fa34ab60326ea72456cac50a58
138,138,0,0a002a00dcff2e00f0ff220020001000baa686548cc38c5868f7603b1a2f0a07
139,139,0,e8ff3a00ecff1e0032001200600020000ef4703dbe2c320a525374d10a5a7aac
140,140,0,f8fff8ff2e00bcff0200c0ff2000b0ff865186d53c5ac4ad6040cea5ca0d5ac0
141,141,0,3a00c8ff1e00dcff1200f0ffd0ffe0ffb2427aa5a410eabe34d838f13aaf0a29
142,142,0,0a00f8ffdcfffcffd0fff0fff0ff2000f8dabcedc6b0fc262ea51250cabbca5a
143,143,0,c8fff8ffccff0e00d0ff2200f0ff6000caa4444e18baec5a16ea52445a231a14
144,144,0,c8fff8ffecff2e00d0ffd0ff7000f0ffdae6f2460a20d617824ca6de2a5b8ab2
145,145,0,2a002a002e00ccff3200e0ff6000c0ffe44aeae19e5b46b442499ea40a1b3ab7
146,146,0,3a00e8ff2e00ccfff0fff0ff00000000644b9aa4281e66b5c6e456e39ab68a1c
147,147,0,e8ffb8ffccffdcffd0ff0200b0ff2000cce80ae0a8b878198ea402493ab34a5b
148,148,0,e8ffe8ffdcff1e00e0ff320000002000daa4624616b25c5bb4dc624d6a152a22
149,149,0,e8ff4a00fcff3e00120002002000f0ff98d9e44e06136a244044c6ea0a5bfaba
150,150,0,0a000a00ecffccff0200b0ff5000d0ffc2413cef7c5aa8bc92505ea5ca27eaaf
151,151,0,1a00c8ff0e00ccfff0ffb0ffd0ffd0ffd6517aa51e2b44ae08f214d78abf9a0e
152,152,0,2a00d8ffecffccfff0ff0200f0ff20005ef576d3fac1740c5ea6703feaacea59
153,153,0,c8ff1a00ecff4e00d0ff5200d0ff50001aa7d03cb4ab9c5954d092530a085a2e
154,154,0,c8fff8ffccff2e00d0fff0ff20001000c4cdb654a0044e30903ab8f99a58aac4
155,155,0,1a000a003e00dcff0200d0ff5000d0ff9e3740fcbc57dcc654568ea73a332aaa
156,156,0,1a00e8ff4e00ecff1200e0ff1000c0ff36577ca8203672a90a0072cafac9da01
157,157,0,1a00d8ffdcffdcffd0ff0200c0ff1000820324c85ecc3efebea990350aa89a56
158,158,0,e8ffe8ffccff0e00f0ff0200b0ff30006cabae3152a78c5552c56458faf93a39
159,159,0,e8ff2a00fcff4e00e0ff12006000000052c318593cf8b23b9e2f4a064a544acf
160,160,0,d8ff3a002e00ecff1200e0ff5000d0ff2c2c340aca5240d2045a50ac2a3eaaa6
161,161,0,0a00e8ff0e00dcff0200f0ff0000d0ff885adcadc440a2a5fa0d32c18ad58af3
162,162,0,3a00e8ff0e00dcff0200f0ffe0ff1000b61020be32d8caf0d0afbe283aa56a51
163,163,0,f8ff0a00ccff3e00e0ff4200d0ff20002eb1ca2512a5da4f70bbc45aeaec6a43
164,164,0,c8ff2a00bcff3e00f0fff0ff0000200070b9185b48eaf644be229c14fa4d7adb
165,165,0,f8ff0a001e00dcff2200d0ff5000c0ffd81fb617184cf4dd745ba0b2da47baa4
166,166,0,5c000a004e00dcff2200d0ff0000c0ff685b1eb5984982a41c1b10b74ae2aae6
167,167,0,0a00e8ff1e00dcffe0ff2200b0ff2000f81d2eb5b6e446e310b71c1d7aa42a4a
168,168,0,c8ffe8ffccfffcffd0ff2200d0ff300010b9481970a4064850b3945b3ae08a4b
169,169,0,a8ff2a00dcff2e00020012001000f0ff7eb1285b64ddb84dbc154c20fa45bae8
170,170,0,0a000a000e002e00120002003000e0ffc6129a24c64398ebe45ab0bb3a4f3aa5
