Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync,adc2_sync,adc3_sync,adc4_sync
944,944,0,0,fff0ff10,daffcaff,0,ff0e001e,0,0,e4ff0400,1,1,1,1
945,945,0,1,ff2000fc,0a00faff,0,fffeffee,0,0,24001400,1,1,1,1
946,946,0,0,000000e0,0a00faff,0,ff1e00fc,1,0,0400c4ff,1,1,1,1
947,947,0,1,fff0fffc,eaffdaff,0,fffeffee,0,0,04001400,1,1,1,1
948,948,0,1,001000fc,baff1a00,0,ff0e00fc,1,2,1400fc00,1,1,1,1
949,949,0,1,001000fc,3a002a00,0,ff0e00fe,0,0,1400c4ff,1,1,1,1
950,950,0,1,000000fc,dafffc00,2,ff0e00fe,0,0,d4ff2400,1,1,1,1
951,951,0,0,00000010,0a00caff,0,fffeffde,0,0,f4ff1400,1,1,1,1
952,952,0,1,000000fc,faffdaff,0,007cfffc,5,2,3400fcff,1,1,1,1
953,953,0,1,00e0fffc,fcffeaff,8,00fc000e,4,0,0400f4ff,1,1,1,1
954,954,0,0,00100000,caffdaff,0,ffeeff0e,0,0,04001400,1,1,1,1
955,955,0,0,ffe0ff00,0a00daff,0,ffdefffe,0,2,1400fc00,1,1,1,1
956,956,0,0,001000f0,faff1a00,0,fffcfffe,4,0,f4ffe4ff,1,1,1,1
957,957,0,0,00f0ff00,1a000a00,0,ffdefffe,0,0,f4ff1400,1,1,1,1
958,958,0,4,fffc0000,1a002a00,0,00eefffe,0,0,f4ff0400,1,1,1,1
959,959,0,0,002000d0,faff0a00,0,fffc000e,4,2,0400fcff,1,1,1,1
960,960,0,0,00000010,0a00caff,0,002e00ee,0,2,0400fc00,1,1,1,1
961,961,0,0,fff0ff10,2a003a00,0,00eeff0e,0,0,44001400,1,1,1,1
962,962,0,1,00f0fffc,eafffaff,0,ffeeff0e,0,0,1400f4ff,1,1,1,1
963,963,0,0,fff0ff10,cafffaff,0,000e00de,0,2,e4fffc00,1,1,1,1
964,964,0,1,001000fc,1a000a00,0,ffeeff2e,0,0,14000400,1,1,1,1
965,965,0,0,00000020,fcfffaff,8,ff0e00fc,1,0,d4fff4ff,1,1,1,1
966,966,0,1,ffe0fffc,1a002a00,0,fffeffde,0,0,f4ff1400,1,1,1,1
967,967,0,4,00fcfff0,0a00daff,0,fffeffee,0,0,0400e4ff,1,1,1,1
968,968,0,4,00fc0000,1a00faff,0,ff0e00de,0,0,e4ff1400,1,1,1,1
969,969,0,0,fff0ff10,faff2a00,0,fffcffee,4,8,fc000400,1,1,1,1
970,970,0,0,fff0ffe0,1a00caff,0,fffcfffe,4,0,0400f4ff,1,1,1,1
971,971,0,0,ff0000e0,2a00fc00,2,000e00fe,0,8,fcffe4ff,1,1,1,1
972,972,0,0,00e0fff0,eafffaff,0,fffefffc,1,0,f4ff0400,1,1,1,1
973,973,0,0,00000010,fc001a00,8,fffefffc,1,0,14000400,1,1,1,1
974,974,0,0,00f0ff10,0a001a00,0,ffdefffc,1,0,0400f4ff,1,1,1,1
975,975,0,0,fff0ff20,0a001a00,0,fffeffee,0,0,e4ff2400,1,1,1,1
976,976,0,1,ff0000fc,3a001a00,0,00fcffde,4,0,24000400,1,1,1,1
977,977,0,0,001000e0,faff0a00,0,fffeff0e,0,0,1400f4ff,1,1,1,1
978,978,0,4,fffc0000,fcffeaff,8,ffdeffee,0,0,f4ff0400,1,1,1,1
979,979,0,0,ff0000f0,0a00faff,0,fffcffee,4,0,2400e4ff,1,1,1,1
980,980,0,0,ff0000d0,eafffc00,2,fffcfffe,4,8,fcffe4ff,1,1,1,1
981,981,0,0,00e0fff0,faff1a00,0,ff1e00de,0,0,f4ff1400,1,1,1,1
982,982,0,4,00fc0000,baff0a00,0,ffdefffe,0,0,14000400,1,1,1,1
983,983,0,0,00f0ff10,1a003a00,0,ff0e00fe,0,8,fcfff4ff,1,1,1,1
984,984,0,4,00fc0010,1a00faff,0,fffcffee,4,0,04001400,1,1,1,1
985,985,0,4,fffc0000,faff0a00,0,fffcffee,4,8,fc001400,1,1,1,1
986,986,0,0,ff2000f0,0a001a00,0,00fcfffe,4,0,1400e4ff,1,1,1,1
987,987,0,0,000000f0,1a00eaff,0,fffeff0e,0,0,0400f4ff,1,1,1,1
988,988,0,4,fffc0010,daff0a00,0,000e00fc,1,8,fcfff4ff,1,1,1,1
989,989,0,0,000000f0,1a000a00,0,00eefffc,1,0,0400d4ff,1,1,1,1
990,990,0,1,000000fc,daff3a00,0,ffdeff0e,0,2,f4fffc00,1,1,1,1
991,991,0,1,001000fc,2a00faff,0,fffcfffe,4,0,04001400,1,1,1,1
992,992,0,4,fffc0000,0a00eaff,0,00feffee,0,8,fc001400,1,1,1,1
993,993,0,4,00fcfff0,faffdaff,0,ffdeff0e,0,0,f4ff0400,1,1,1,1
994,994,0,4,fffc0000,0a002a00,0,00deffee,0,8,fc000400,1,1,1,1
995,995,0,4,00fcfff0,caffeaff,0,fffeff0e,0,0,e4ff0400,1,1,1,1
996,996,0,0,00e0ff10,fc002a00,8,00feffde,0,0,f4ff1400,1,1,1,1
997,997,0,0,fff0ff00,1a002a00,0,ffeeff0e,0,0,f4ff0400,1,1,1,1
998,998,0,1,ff0000fc,fcfffaff,8,fffcffde,4,0,f4ff0400,1,1,1,1
999,999,0,0,ff1000f0,0a001a00,0,000e00fe,0,8,fc000400,1,1,1,1
1000,1000,0,0,ffe0fff0,2a00caff,0,ffeefffc,1,0,04002400,1,1,1,1
1001,1001,0,4,fffcfff0,1a004a00,0,00fefffc,1,2,0400fc00,1,1,1,1
1002,1002,0,4,00fcfff0,1a00faff,0,fffeff0e,0,0,0400f4ff,1,1,1,1
1003,1003,0,4,00fc0000,faff3a00,0,000e00fc,1,0,0400e4ff,1,1,1,1
1004,1004,0,4,fffc0000,faff0a00,0,fffefffc,1,2,f4fffc00,1,1,1,1
1005,1005,0,0,002000f0,eaff0a00,0,00fefffc,1,0,14000400,1,1,1,1
1006,1006,0,0,00200010,4a00faff,0,fffeff0e,0,0,e4ff0400,1,1,1,1
1007,1007,0,0,00000010,cafffaff,0,ffdefffc,1,0,04001400,1,1,1,1
1008,1008,0,0,ffe0ff20,caff1a00,0,000e00fe,0,8,fcffe4ff,1,1,1,1
1009,1009,0,0,000000f0,0a00eaff,0,000e00fc,1,0,0400f4ff,1,1,1,1
1010,1010,0,1,001000fc,eaff1a00,0,ffdefffc,1,0,0400f4ff,1,1,1,1
1011,1011,0,0,ff200000,fc002a00,8,ff1e00fc,1,0,f4ff1400,1,1,1,1
1012,1012,0,0,001000f0,fc001a00,8,007cffee,4,0,34001400,1,1,1,1
1013,1013,0,0,00100000,0a001a00,0,fffc000e,4,0,e4ff0400,1,1,1,1
1014,1014,0,4,00fc0000,caff1a00,0,ffdeffce,0,0,f4ff1400,1,1,1,1
1015,1015,0,0,ff100000,fc000a00,8,001e00fe,0,0,0400e4ff,1,1,1,1
1016,1016,0,4,00fcfff0,fc002a00,8,ffdeff0e,0,0,e4ff1400,1,1,1,1
1017,1017,0,4,00fc0010,2a00faff,0,fffcfffe,4,0,04001400,1,1,1,1
1018,1018,0,0,00100000,1a00eaff,0,ffdeffee,0,0,0400f4ff,1,1,1,1
1019,1019,0,0,fff0ff00,2a00caff,0,fffefffc,1,0,d4ff1400,1,1,1,1
1020,1020,0,1,ff0000fc,daff1a00,0,ff1e00fc,1,0,f4ff0400,1,1,1,1
1021,1021,0,0,001000e0,2a00eaff,0,00feffde,0,8,fc000400,1,1,1,1
1022,1022,0,0,ffe0ff00,1a000a00,0,ffeeff1e,0,0,04001400,1,1,1,1
1023,1023,0,1,ff0000fc,1a004a00,0,00fefffc,1,0,04001400,1,1,1,1
