Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
10,10,0,-8158,12360,342,-12508,7388,7952,-12210,-230,-9306,12880,1248,-13662,7216,9152,-12918,-1072,12,-40,-26,12,-4,24,-10,12,0,0,0,0,0,0,0,0,0
11,11,0,12458,-7696,-7808,12428,-86,-12444,7736,7608,13554,-7404,-8996,13062,906,-13524,7604,8780,-36,8,-10,-6,28,-24,24,-56,0,0,0,0,0,0,0,0,0
12,12,0,-12482,140,12364,-7940,-7428,12600,-366,-12268,-13098,-678,13452,-7804,-8626,13182,488,-13370,-4,-24,-26,-56,12,8,-10,-22,0,0,0,0,0,0,0,0,0
13,13,0,8002,7218,-12504,582,12212,-8244,-7198,12668,7918,8436,-13230,-162,13378,-8182,-8278,13324,12,8,8,12,-20,8,-10,12,0,0,0,0,0,0,0,0,0
14,14,0,-860,-12178,8380,6882,-12744,880,12190,-8574,-20,-13236,8324,8130,-13322,166,13276,-8464,-36,-72,8,-38,-36,-72,-10,12,0,0,0,0,0,0,0,0,0
15,15,0,-6806,12814,-1302,-11954,8724,6572,-12662,1458,-7996,13438,-452,-13162,8660,7702,-13510,600,28,-24,-10,-6,28,-8,-10,12,0,0,0,0,0,0,0,0,0
16,16,0,11882,-8814,-6432,12880,-1698,-11806,8942,6206,13130,-8834,-7520,13564,-904,-12958,9048,7364,12,-24,-26,12,-4,-24,8,-56,0,0,0,0,0,0,0,0,0
17,17,0,-12856,1774,11818,-9236,-6128,12942,-2254,-11614,-13586,1176,12948,-9132,-7214,13650,-1316,-12814,-20,-24,-26,12,28,24,-10,-6,0,0,0,0,0,0,0,0,0
18,18,0,9322,5838,-12726,2204,11476,-9536,-5720,12992,9354,6962,-13646,1558,12756,-9502,-6800,13734,-36,-24,8,-6,28,-40,-10,12,0,0,0,0,0,0,0,0,0
19,19,0,-2528,-11502,9612,5472,-12984,2574,11458,-9784,-1746,-12580,9664,6598,-13778,1906,12556,-9842,-68,8,-10,-6,12,-8,-10,-22,0,0,0,0,0,0,0,0,0
20,20,0,-5306,13038,-2978,-11246,9856,5098,-12926,3008,-6408,13810,-2214,-12442,9944,6208,-13854,2426,28,-24,-26,-6,12,8,8,12,0,0,0,0,0,0,0,0,0
21,21,0,11078,-10036,-5082,13088,-3290,-11060,10064,4696,12370,-10168,-6044,13910,-2662,-12244,10260,5786,28,-8,-26,12,-4,-40,-10,-6,0,0,0,0,0,0,0,0,0
22,22,0,-13032,3402,10954,-10274,-4588,13128,-3826,-10786,-13890,2846,12136,-10354,-5634,13996,-3124,-12058,-36,-24,-26,28,28,24,-10,12,0,0,0,0,0,0,0,0,0
23,23,0,10366,4244,-12894,3866,10638,-10496,-4294,13104,10526,5430,-13966,3222,11948,-10706,-5222,14006,44,-24,24,-6,-20,-8,8,-6,0,0,0,0,0,0,0,0,0
24,24,0,-4042,-10608,10580,3962,-13048,4164,10302,-10722,-3438,-11764,10850,5072,-13970,3730,11650,-10976,-4,-24,8,-38,-4,-40,-10,-22,0,0,0,0,0,0,0,0,0
25,25,0,-3786,13054,-4470,-10338,10854,3626,-12942,4680,-4826,13980,-3940,-11602,11118,4644,-13982,4130,-52,-72,-26,-22,-20,-40,-42,-6,0,0,0,0,0,0,0,0,0
26,26,0,10168,-10980,-3566,13072,-4844,-10084,11332,3072,11518,-11222,-4376,14006,-4316,-11238,11370,4210,-4,-24,-10,-6,12,-8,-10,-22,0,0,0,0,0,0,0,0,0
27,27,0,-12984,5050,9868,-11214,-3006,13054,-5290,-9768,-14002,4596,11194,-11554,-3974,13996,-4750,-10992,28,-24,-10,12,12,-24,-10,-6,0,0,0,0,0,0,0,0,0
28,28,0,11332,2718,-12806,5384,9578,-11422,-2604,13008,11646,3794,-13966,5008,10894,-11700,-3620,14006,-20,8,24,-6,12,-24,-26,-22,0,0,0,0,0,0,0,0,0
29,29,0,-5698,-9536,11658,2284,-12936,5790,9150,-11550,-5186,-10754,11842,3286,-13970,5350,10570,-12042,-36,8,24,-56,-20,-8,-10,-22,0,0,0,0,0,0,0,0,0
30,30,0,-2026,12974,-5996,-9236,11620,1912,-12726,6132,-3166,13980,-5638,-10454,12140,2932,-13934,5770,44,8,-10,-22,-36,-40,-10,-22,0,0,0,0,0,0,0,0,0
31,31,0,9052,-11806,-1786,12928,-6336,-8962,11928,1490,10350,-12244,-2716,13910,-5938,-10216,12278,2458,12,-40,-10,12,-4,-40,-26,12,0,0,0,0,0,0,0,0,0
32,32,0,-12760,6476,8656,-11986,-1306,12862,-6686,-8574,-13874,6144,10070,-12426,-2232,13842,-6362,-9858,-36,8,-26,-38,-36,-40,-26,-6,0,0,0,0,0,0,0,0,0
33,33,0,12010,1050,-12582,6834,8468,-12114,-866,12700,12450,1954,-13838,6558,9752,-12564,-1842,13798,-20,-24,-10,-22,-36,-8,-10,-22,0,0,0,0,0,0,0,0,0
34,34,0,-6998,-8308,12284,630,-12594,7106,8108,-12268,-6774,-9604,12668,1622,-13730,6898,9384,-12798,-4,24,-10,-56,-36,-8,-26,12,0,0,0,0,0,0,0,0,0
35,35,0,-406,12654,-7420,-8004,12410,336,-12456,7508,-1410,13682,-7144,-9212,12922,1176,-13606,7348,-52,8,-10,28,-36,-56,-26,-22,0,0,0,0,0,0,0,0,0
36,36,0,7842,-12370,-56,12540,-7676,-7712,12460,-150,9058,-12944,-892,13564,-7516,-8866,13076,712,-20,-8,-42,-38,-4,-8,-26,-22,0,0,0,0,0,0,0,0,0
37,37,0,-12354,7856,7546,-12492,380,12376,-8062,-7360,-13538,7702,8736,-13178,-600,13438,-7808,-8544,-4,-56,-10,12,-36,-24,-10,-6,0,0,0,0,0,0,0,0,0
38,38,0,12602,-512,-12132,8210,7054,-12622,586,12162,13242,330,-13358,8066,8340,-13252,-94,13388,-36,-40,8,-22,-68,-56,-42,12,0,0,0,0,0,0,0,0,0
39,39,0,-8398,-6996,12688,-1010,-12050,8426,6736,-12726,-8226,-8182,13340,-162,-13258,8390,8010,-13418,12,8,24,-56,-36,56,-42,-22,0,0,0,0,0,0,0,0,0
40,40,0,1186,12110,-8642,-6644,12762,-1378,-11892,8790,348,13230,-8620,-7836,13458,-614,-13102,8748,-20,8,-42,12,-20,-8,-10,12,0,0,0,0,0,0,0,0,0
41,41,0,6486,-12814,1622,11890,-8980,-6294,12864,-1824,7616,-13476,880,13062,-8928,-7452,13580,-1024,28,-24,8,-22,-36,-24,-42,12,0,0,0,0,0,0,0,0,0
42,42,0,-11778,9022,6094,-13006,1928,11790,-9340,-5882,-12938,9036,7228,-13646,1250,12928,-9204,-7040,12,8,8,-22,12,-8,8,-22,0,0,0,0,0,0,0,0,0
43,43,0,12962,-2182,-11600,9374,5774,-12978,2250,11544,13682,-1496,-12774,9376,6870,-13730,1710,12718,12,24,-10,12,12,-8,-10,-22,0,0,0,0,0,0,0,0,0
44,44,0,-9522,-5586,13006,-2570,-11410,9676,5378,-13070,-9578,-6724,13796,-1910,-12604,9732,6486,-13878,12,40,-26,-6,12,24,-26,-6,0,0,0,0,0,0,0,0,0
45,45,0,2798,11300,-9918,-5222,12994,-2950,-11154,9906,2038,12560,-9946,-6210,13872,-2332,-12384,10046,-4,8,8,-22,-20,24,-10,-38,0,0,0,0,0,0,0,0,0
46,46,0,4942,-13026,3326,11104,-10130,-4770,13038,-3382,6064,-13890,2570,12318,-10186,-5878,13908,-2804,12,40,8,-6,-36,8,-10,-56,0,0,0,0,0,0,0,0,0
47,47,0,-10952,10216,4586,-13206,3640,10796,-10370,-4356,-12166,10318,5724,-13990,3014,12110,-10462,-5434,28,-8,-42,-6,12,40,8,12,0,0,0,0,0,0,0,0,0
48,48,0,13058,-3780,-10626,10412,4238,-13058,4056,10556,13952,-3164,-11964,10622,5330,-13954,3454,11882,12,24,-42,-22,-20,8,-10,-6,0,0,0,0,0,0,0,0,0
49,49,0,-10610,-4004,13022,-4180,-10546,10668,3874,-13102,-10830,-5086,14026,-3680,-11638,10938,4892,-14022,44,8,-42,12,12,40,-74,-38,0,0,0,0,0,0,0,0,0
50,50,0,4334,10328,-10720,-3626,13026,-4478,-10190,10976,3852,11620,-11036,-4630,14032,-4046,-11428,11210,-4,8,8,-22,-4,-24,-10,12,0,0,0,0,0,0,0,0,0
51,51,0,3448,-13042,4810,10050,-11048,-3216,13022,-4958,4498,-14002,4258,11290,-11334,-4304,13956,-4486,28,-40,8,-38,-84,-40,8,-38,0,0,0,0,0,0,0,0,0
52,52,0,-10034,11036,3150,-13086,5146,9820,-11266,-2846,-11214,11508,4098,-14054,4682,11136,-11524,-3824,-36,-24,24,-6,-36,-40,8,-22,0,0,0,0,0,0,0,0,0
53,53,0,13042,-5410,-9674,11360,2566,-12946,5578,9518,14000,-4922,-10940,11700,3692,-14002,5108,10718,-36,8,24,-22,-68,-40,8,-56,0,0,0,0,0,0,0,0,0
54,54,0,-11442,-2432,12960,-5738,-9458,11594,2090,-12990,-11852,-3450,13940,-5216,-10640,11982,3270,-14022,12,8,8,-56,-20,24,-26,-38,0,0,0,0,0,0,0,0,0
55,55,0,5918,9288,-11680,-1968,12882,-6054,-9048,11842,5458,10508,-12060,-2948,13936,-5676,-10366,12168,12,40,56,-6,-20,-40,-10,12,0,0,0,0,0,0,0,0,0
56,56,0,1720,-12862,6252,8934,-11858,-1634,12800,-6468,2790,-13890,5938,10238,-12230,-2584,13844,-6034,12,-24,-10,12,-20,-40,-26,12,0,0,0,0,0,0,0,0,0
57,57,0,-8804,11966,1264,-12790,6630,8686,-11972,-1196,-10090,12432,2322,-13878,6326,9950,-12496,-2118,-36,-8,-42,28,12,40,-10,12,0,0,0,0,0,0,0,0,0
58,58,0,12730,-6768,-8498,12130,932,-12702,6862,8322,13888,-6490,-9770,12590,1920,-13778,6724,9594,-4,-8,-58,12,-52,-24,-26,12,0,0,0,0,0,0,0,0,0
59,59,0,-12226,-772,12640,-7184,-8254,12296,426,-12540,-12652,-1656,13732,-6880,-9434,12784,1496,-13662,44,8,-10,78,12,24,-10,-56,0,0,0,0,0,0,0,0,0
60,60,0,7340,8042,-12210,-342,12474,-7534,-7904,12428,7064,9280,-12822,-1252,13650,-7276,-9092,12998,-4,-24,84,-56,12,-8,24,12,0,0,0,0,0,0,0,0,0
61,61,0,42,-12444,7688,7736,-12514,28,12412,-7812,1058,-13540,7452,8924,-13034,-822,13484,-7652,-4,-8,8,-6,12,-40,-10,12,0,0,0,0,0,0,0,0,0
62,62,0,-7540,12504,-302,-12332,7970,7418,-12472,470,-8768,13118,616,-13482,7806,8566,-13166,-342,-4,-8,-10,-6,12,40,-10,-6,0,0,0,0,0,0,0,0,0
63,63,0,12266,-8148,-7308,12636,-684,-12210,8220,7010,13410,-8038,-8390,13308,188,-13332,8170,8226,-68,-8,-26,28,-4,24,-10,-6,0,0,0,0,0,0,0,0,0
64,64,0,-12658,832,12204,-8430,-6950,12734,-962,-12034,-13290,6,13292,-8268,-8092,13422,-286,-13242,-20,72,-26,-6,12,24,8,-6,0,0,0,0,0,0,0,0,0
65,65,0,8660,6652,-12614,1246,11914,-8750,-6494,12848,8484,7840,-13454,384,13162,-8722,-7664,13532,-4,8,-26,-38,-4,-8,-10,-38,0,0,0,0,0,0,0,0,0
66,66,0,-1538,-11870,8752,6302,-12824,1662,11864,-9082,-712,-13024,8896,7566,-13586,928,13028,-9036,-4,-40,-42,-6,-20,-40,-26,-38,0,0,0,0,0,0,0,0,0
67,67,0,-6256,12942,-2056,-11646,9196,6024,-12758,2060,-7310,13650,-1116,-12878,9210,7170,-13646,1382,44,-72,-42,-56,-20,8,-26,12,0,0,0,0,0,0,0,0,0
68,68,0,11572,-9392,-5964,12976,-2362,-11534,9414,5572,12858,-9350,-6968,13718,-1586,-12736,9568,6726,-52,24,-10,-22,-20,-8,8,-6,0,0,0,0,0,0,0,0,0
69,69,0,-12952,2476,11642,-9604,-5386,13038,-2834,-11310,-13746,1842,12588,-9674,-6536,13794,-2008,-12574,-4,-40,-26,-6,12,-8,-10,-22,0,0,0,0,0,0,0,0,0
70,70,0,9776,5258,-12822,2832,11158,-9872,-5226,13072,9816,6404,-13854,2170,12386,-10004,-6186,13910,12,8,8,12,-4,40,24,28,0,0,0,0,0,0,0,0,0
71,71,0,-3006,-11076,9930,4856,-13048,3238,11188,-10152,-2456,-12260,10166,5982,-13922,2672,12200,-10290,-20,-8,-10,12,-4,8,8,-6,0,0,0,0,0,0,0,0,0
72,72,0,-4732,13086,-3694,-10854,10334,4440,-12942,3644,-5746,13906,-2916,-12186,10446,5590,-13934,3142,-68,-8,-26,28,-20,-56,-10,12,0,0,0,0,0,0,0,0,0
73,73,0,10718,-10432,-4406,13072,-3914,-10640,10414,4058,11980,-10600,-5374,14006,-3310,-11844,10786,5184,12,-24,-10,-6,-4,-24,-10,12,0,0,0,0,0,0,0,0,0
74,74,0,-13032,4036,10430,-10626,-3882,13176,-4470,-10434,-13970,3528,11730,-10838,-5018,14028,-3796,-11714,12,-40,-42,-22,-4,-24,8,-6,0,0,0,0,0,0,0,0,0
75,75,0,10750,3658,-12942,4484,10270,-10916,-3710,13072,11006,4756,-13966,4034,11566,-11142,-4590,14006,-36,8,-58,-6,-36,-24,-26,-6,0,0,0,0,0,0,0,0,0
76,76,0,-4700,-10182,11252,3272,-13000,4830,9900,-11102,-4172,-11366,11258,4322,-13986,4420,11258,-11344,-4,-8,8,12,-4,-24,-26,-6,0,0,0,0,0,0,0,0,0
77,77,0,-3194,13160,-5226,-9832,11222,2830,-12838,5240,-4134,14028,-4606,-11088,11550,3938,-14014,4812,-36,56,-10,-22,-4,-24,-10,-22,0,0,0,0,0,0,0,0,0
78,78,0,9738,-11342,-2834,13072,-5450,-9648,11578,2480,10974,-11620,-3764,13974,-4954,-10882,11762,3566,-4,8,8,-6,-20,-8,-10,-56,0,0,0,0,0,0,0,0,0
79,79,0,-12904,5678,9398,-11550,-2282,13006,-5964,-9332,-13970,5202,10722,-11978,-3230,14028,-5406,-10550,-4,-8,8,-22,-68,-24,8,-6,0,0,0,0,0,0,0,0,0
80,80,0,11556,2088,-12774,5956,9196,-11710,-2008,12912,11996,3124,-13934,5610,10398,-12036,-2916,13942,-20,-24,-10,12,-20,-40,-10,44,0,0,0,0,0,0,0,0,0
81,81,0,-6320,-9082,11896,1650,-12808,6344,8768,-11874,-5794,-10296,12200,2658,-13890,5984,10102,-12346,-4,-8,-26,28,-20,24,-10,12,0,0,0,0,0,0,0,0,0
82,82,0,-1386,12862,-6542,-8702,11930,1274,-12646,6690,-2392,13842,-6234,-9970,12450,2146,-13870,6382,-84,-8,-42,-22,-20,-24,8,12,0,0,0,0,0,0,0,0,0
83,83,0,8628,-12082,-1206,12732,-6886,-8478,12220,838,9848,-12550,-2040,13798,-6600,-9684,12588,1766,-20,8,-10,12,-68,-24,-10,12,0,0,0,0,0,0,0,0,0
84,84,0,-12642,6988,8204,-12178,-604,12718,-7372,-8068,-13730,6740,9536,-12718,-1602,13698,-7000,-9276,28,40,-26,12,44,-8,8,-22,0,0,0,0,0,0,0,0,0
85,85,0,12266,432,-12504,7356,7954,-12306,-238,12524,12804,1320,-13622,7188,9210,-12896,-1100,13644,-4,24,-10,-6,-4,-24,-10,12,0,0,0,0,0,0,0,0,0
86,86,0,-7644,-7856,12476,34,-12498,7728,7624,-12460,-7342,-8994,12940,924,-13570,7510,8864,-13080,12,-40,8,-22,-20,-24,-10,-6,0,0,0,0,0,0,0,0,0
87,87,0,122,12408,-7968,-7520,12538,-352,-12180,8040,-712,13486,-7712,-8640,13162,490,-13406,7918,12,-40,8,-22,-20,8,-58,-72,0,0,0,0,0,0,0,0,0
88,88,0,7260,-12588,506,12258,-8334,-7230,12640,-834,8468,-13172,-254,13404,-8092,-8328,13308,48,-68,-56,8,-6,12,-24,-26,-22,0,0,0,0,0,0,0,0,0
89,89,0,-12146,8346,7044,-12674,996,12126,-8562,-6808,-13274,8242,8200,-13386,220,13278,-8406,-7980,-4,8,8,-56,-36,-24,-10,-22,0,0,0,0,0,0,0,0,0
90,90,0,12714,-1154,-11972,8678,6646,-12782,1432,11922,13458,-396,-13182,8562,7822,-13460,680,13180,-36,-8,8,12,-20,56,-10,-22,0,0,0,0,0,0,0,0,0
91,91,0,-8852,-6464,12784,-1648,-11858,8894,6220,-12910,-8784,-7602,13516,-848,-13018,8924,7404,-13630,-20,8,-42,-6,-36,8,8,-38,0,0,0,0,0,0,0,0,0
92,92,0,1784,11854,-9080,-6058,12898,-1974,-11680,9206,1058,12944,-9124,-7168,13618,-1274,-12838,9312,-36,-8,24,12,12,-24,-92,-6,0,0,0,0,0,0,0,0,0
93,93,0,5902,-12946,2090,11608,-9474,-5746,12960,-2442,7064,-13666,1496,12814,-9498,-6884,13764,-1750,-68,8,-10,-6,-20,-24,-10,-22,0,0,0,0,0,0,0,0,0
94,94,0,-11490,9564,5530,-13022,2654,11332,-9802,-5302,-12652,9540,6692,-13742,1904,12624,-9770,-6390,28,8,-26,-38,-68,-8,-58,-22,0,0,0,0,0,0,0,0,0
95,95,0,12978,-2822,-11298,9810,5208,-12994,3166,11168,13810,-2236,-12416,9898,6246,-13874,2322,12430,-20,56,-42,12,28,-24,-26,12,0,0,0,0,0,0,0,0,0
96,96,0,-10002,-4914,12974,-3222,-11000,10070,4794,-13134,-10058,-6154,13860,-2538,-12262,10206,5906,-13974,-36,-24,-26,-6,-4,-40,-42,-38,0,0,0,0,0,0,0,0,0
97,97,0,3464,10876,-10158,-4500,13042,-3568,-10752,10300,2790,12190,-10382,-5594,13936,-3002,-12028,10542,-20,-40,-42,-6,-4,-8,-10,12,0,0,0,0,0,0,0,0,0
98,98,0,4366,-13090,3842,10672,-10466,-4084,13070,-3978,5490,-13970,3202,11962,-10672,-5246,13956,-3400,-20,-40,-10,12,-4,-56,8,12,0,0,0,0,0,0,0,0,0
99,99,0,-10578,10620,4088,-13118,4238,10424,-10688,-3754,-11836,10828,5076,-14070,3660,11732,-10956,-4848,-4,8,-10,-22,-36,-24,-26,-22,0,0,0,0,0,0,0,0,0
100,100,0,13026,-4366,-10370,10768,3560,-13058,4602,10146,14000,-3850,-11508,11082,4714,-13970,4098,11434,-4,-8,8,-22,-36,-8,40,28,0,0,0,0,0,0,0,0,0
101,101,0,-11000,-3328,13022,-4830,-10098,10988,3326,-13134,-11166,-4400,14026,-4292,-11246,11338,4312,-14054,-4,40,-10,-6,-36,-40,-26,12,0,0,0,0,0,0,0,0,0
102,102,0,4910,9964,-11202,-2998,12962,-5218,-9786,11328,4498,11248,-11460,-3968,14016,-4714,-11036,11604,-36,-24,24,-6,-36,-24,8,-38,0,0,0,0,0,0,0,0,0
103,103,0,2750,-12978,5482,9666,-11426,-2546,12960,-5558,3836,-13954,4892,10902,-11742,-3626,13956,-5072,-68,-8,-26,-56,-52,40,-26,12,0,0,0,0,0,0,0,0,0
104,104,0,-9538,11530,2486,-13022,5758,9384,-11616,-2186,-10782,11844,3398,-14038,5314,10652,-11980,-3124,-20,-24,24,-38,-4,-8,-26,-22,0,0,0,0,0,0,0,0,0
105,105,0,12914,-5990,-9260,11730,1912,-12878,6094,9046,13936,-5596,-10478,12072,2934,-13922,5756,10334,-4,8,-10,-6,-20,24,8,12,0,0,0,0,0,0,0,0,0
106,106,0,-11762,-1798,12832,-6260,-8980,11902,1480,-12926,-12182,-2760,13860,-5922,-10170,12352,2538,-13894,-4,-24,-42,-22,-20,-8,-10,-56,0,0,0,0,0,0,0,0,0
107,107,0,6470,8798,-11940,-1356,12762,-6624,-8578,12066,6166,9998,-12400,-2282,13840,-6362,-9914,12510,12,40,-10,-6,-36,-24,-10,12,0,0,0,0,0,0,0,0,0
108,108,0,1154,-12718,6720,8434,-12130,-972,12672,-7040,2134,-13842,6502,9722,-12620,-1916,13780,-6630,-36,24,-10,-6,-4,-24,8,-22,0,0,0,0,0,0,0,0,0
109,109,0,-8430,12280,570,-12588,7244,8170,-12180,-534,-9610,12736,1640,-13726,6870,9460,-12774,-1470,12,-24,8,-22,12,24,-10,-6,0,0,0,0,0,0,0,0,0
110,110,0,12602,-7358,-8062,12380,332,-12508,7594,7880,13698,-7132,-9268,12902,1250,-13634,7292,9104,-20,24,8,-22,-4,-8,8,-22,0,0,0,0,0,0,0,0,0
111,111,0,-12386,-102,12460,-7680,-7772,12472,-174,-12396,-12970,-970,13564,-7460,-8912,13070,760,-13498,12,8,8,-38,-4,8,-10,-38,0,0,0,0,0,0,0,0,0
112,112,0,7762,7550,-12456,290,12314,-8020,-7500,12620,7632,8710,-13134,-518,13506,-7826,-8572,13292,12,24,-10,12,-36,-8,24,-6,0,0,0,0,0,0,0,0,0
113,113,0,-572,-12226,8172,7164,-12610,640,12252,-8286,348,-13364,8026,8354,-13258,-172,13340,-8188,12,24,-10,-22,-20,24,24,-22,0,0,0,0,0,0,0,0,0
114,114,0,-7030,12750,-882,-12050,8532,6860,-12694,1014,-8242,13374,-78,-13242,8372,8016,-13374,272,-20,-8,24,-6,-36,-24,-10,12,0,0,0,0,0,0,0,0,0
115,115,0,11946,-8670,-6702,12880,-1306,-12002,8672,6462,13226,-8568,-7890,13500,-490,-13140,8752,7662,-36,24,8,44,-36,8,-10,-6,0,0,0,0,0,0,0,0,0
116,116,0,-12808,1486,11976,-8954,-6368,12894,-1770,-11778,-13490,736,13028,-8908,-7516,13554,-1020,-12926,12,40,-42,28,-20,8,8,-22,0,0,0,0,0,0,0,0,0
117,117,0,9036,6072,-12726,1874,11636,-9312,-5980,12960,9074,7218,-13622,1228,12890,-9254,-7096,13734,28,8,24,-22,-4,24,8,-56,0,0,0,0,0,0,0,0,0
118,118,0,-2170,-11630,9366,5748,-12936,2248,11690,-9524,-1458,-12768,9384,6912,-13714,1650,12636,-9594,-4,40,8,12,28,-8,-10,12,0,0,0,0,0,0,0,0,0
119,119,0,-5570,13038,-2668,-11422,9674,5418,-12806,2736,-6742,13778,-1842,-12574,9752,6500,-13822,2074,-4,-8,8,-6,-4,8,8,-6,0,0,0,0,0,0,0,0,0
120,120,0,11254,-9792,-5322,13040,-2944,-11256,9820,4984,12546,-9876,-6346,13846,-2296,-12390,10006,6142,12,8,-10,12,-4,-8,24,-6,0,0,0,0,0,0,0,0,0
121,121,0,-13064,3108,11252,-10040,-4908,13070,-3582,-10950,-13874,2544,12278,-10162,-5922,13874,-2732,-12202,-4,8,-26,-56,-36,8,-10,-6,0,0,0,0,0,0,0,0,0
122,122,0,10184,4686,-12926,3448,10782,-10278,-4550,13120,10366,5776,-13966,2934,12060,-10456,-5622,13926,-36,8,-26,-22,-20,40,-10,-6,0,0,0,0,0,0,0,0,0
