Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync
250,250,0,0,06002600,1
251,251,0,0,f6ff1600,1
252,252,0,0,1600e6ff,1
253,253,0,0,f6ffe6ff,1
254,254,0,2,f6fffcff,1
255,255,0,2,1600fcff,1
256,256,0,0,f6ff0600,1
257,257,0,0,16000600,1
258,258,0,0,16000600,1
259,259,0,0,16000600,1
260,260,0,0,e6fff6ff,1
261,261,0,8,7c000600,1
262,262,0,0,e6ff0600,1
263,263,0,8,fc000600,1
264,264,0,0,f6ff1600,1
265,265,0,8,fc000600,1
266,266,0,0,f6ff1600,1
267,267,0,0,f6ff0600,1
268,268,0,8,fc000600,1
269,269,0,8,fcfff6ff,1
270,270,0,0,f6ff3c00,1
271,271,0,8,fc000600,1
272,272,0,8,fc000600,1
273,273,0,8,fcfff6ff,1
274,274,0,0,16000600,1
275,275,0,0,26000600,1
276,276,0,0,06001600,1
277,277,0,2,0600fc00,1
278,278,0,2,0600fc00,1
279,279,0,2,0600fc00,1
280,280,0,2,f6fffc00,1
281,281,0,0,06001600,1
282,282,0,2,0600fc00,1
283,283,0,2,f6fffc00,1
284,284,0,8,fc000600,1
285,285,0,0,f6ff1600,1
286,286,0,0,d6ff0600,1
287,287,0,8,fc000600,1
288,288,0,0,f6ff0600,1
289,289,0,2,f6fffcff,1
290,290,0,8,fc000600,1
291,291,0,0,06002600,1
292,292,0,0,1600f6ff,1
293,293,0,0,f6ff2600,1
294,294,0,2,1600fcff,1
295,295,0,2,1600fc00,1
296,296,0,0,f6ff0600,1
297,297,0,0,f6ff0600,1
298,298,0,0,06001600,1
299,299,0,2,0600fc00,1
300,300,0,0,06001600,1
301,301,0,2,2600fc00,1
302,302,0,0,06001600,1
303,303,0,0,f6ff2600,1
304,304,0,0,06001600,1
305,305,0,0,06001600,1
306,306,0,8,7c001600,1
307,307,0,0,0600f6ff,1
308,308,0,2,0600fc00,1
309,309,0,8,fcfff6ff,1
310,310,0,0,16000600,1
311,311,0,8,fc000600,1
312,312,0,0,16000600,1
313,313,0,0,0600f6ff,1
314,314,0,2,1600fc00,1
315,315,0,2,f6fffc00,1
316,316,0,2,f6fffcff,1
317,317,0,0,06001600,1
318,318,0,2,1600fc00,1
319,319,0,8,fc000600,1
320,320,0,0,06001600,1
321,321,0,0,f6ff2600,1
322,322,0,2,f6fffcff,1
323,323,0,0,f6ff0600,1
324,324,0,8,fc000600,1
325,325,0,0,06001600,1
326,326,0,2,2600fc00,1
327,327,0,0,f6ff0600,1
328,328,0,2,1600fcff,1
329,329,0,8,fc000600,1
330,330,0,8,fc000600,1
331,331,0,8,fcfff6ff,1
332,332,0,0,06001600,1
333,333,0,0,0600f6ff,1
334,334,0,2,f6fffc00,1
335,335,0,0,06002600,1
336,336,0,0,f6ff2600,1
337,337,0,2,f6fffcff,1
338,338,0,0,f6ff0600,1
339,339,0,2,f6fffcff,1
340,340,0,0,d6ff0600,1
341,341,0,8,fc001600,1
342,342,0,8,fc001600,1
343,343,0,0,1600d6ff,1
344,344,0,0,26000600,1
345,345,0,8,fcfff6ff,1
346,346,0,0,0600f6ff,1
347,347,0,2,f6fffc00,1
348,348,0,2,e6fffcff,1
349,349,0,0,06001600,1
350,350,0,2,1600fc00,1
351,351,0,8,7c000600,1
352,352,0,8,fcfff6ff,1
353,353,0,0,f6ff0600,1
354,354,0,2,f6fffcff,1
355,355,0,0,e6ff1600,1
356,356,0,0,f6ff0600,1
357,357,0,2,0600fcff,1
358,358,0,0,e6ff1600,1
359,359,0,8,fc000600,1
360,360,0,0,f6ff0600,1
361,361,0,2,1600fcff,1
362,362,0,8,fcfff6ff,1
363,363,0,0,e6ff1600,1
364,364,0,2,0600fcff,1
365,365,0,8,fcfff6ff,1
366,366,0,0,f6ff1600,1
367,367,0,2,f6fffcff,1
368,368,0,0,f6ff1600,1
369,369,0,2,0600fcff,1
370,370,0,0,0600f6ff,1
371,371,0,8,fcfff6ff,1
372,372,0,0,f6ff1600,1
373,373,0,0,2600e6ff,1
374,374,0,0,f6ff0600,1
375,375,0,0,06001600,1
376,376,0,8,fcfff6ff,1
377,377,0,0,e6ff1600,1
378,378,0,2,0600fcff,1
379,379,0,0,f6ff1600,1
380,380,0,0,06001600,1
381,381,0,0,f6ff1600,1
382,382,0,2,f6fffcff,1
383,383,0,8,fc000600,1
384,384,0,0,0600f6ff,1
385,385,0,0,06001600,1
386,386,0,8,fcfff6ff,1
387,387,0,0,0600e6ff,1
388,388,0,0,0600f6ff,1
389,389,0,8,fcfff6ff,1
390,390,0,0,f6ff1600,1
391,391,0,8,fc000600,1
392,392,0,0,06001600,1
393,393,0,0,e6fff6ff,1
394,394,0,0,16000600,1
395,395,0,0,f6ff0600,1
396,396,0,a,7cfffcff,1
397,397,0,0,f6ff0600,1
398,398,0,2,1600fcff,1
399,399,0,0,0600e6ff,1
400,400,0,2,1600fc00,1
401,401,0,2,f6fffc00,1
402,402,0,8,fc000600,1
403,403,0,0,16000600,1
404,404,0,0,e6ff0600,1
405,405,0,8,fc000600,1
406,406,0,0,f6ff0600,1
407,407,0,2,1600fcff,1
408,408,0,0,0600d6ff,1
409,409,0,2,f6fffc00,1
410,410,0,8,fc000600,1
411,411,0,8,7c000600,1
412,412,0,0,f6ff0600,1
413,413,0,0,16000600,1
414,414,0,0,f6ff0600,1
415,415,0,0,16000600,1
416,416,0,2,f6fffc00,1
417,417,0,0,f6ff1600,1
418,418,0,0,06001600,1
419,419,0,2,f6fffc00,1
420,420,0,0,06001600,1
421,421,0,2,1600fc00,1
422,422,0,0,0600e6ff,1
423,423,0,2,0600fc00,1
424,424,0,0,2600f6ff,1
425,425,0,0,16000600,1
426,426,0,0,1600f6ff,1
427,427,0,0,e6fff6ff,1
428,428,0,8,fc001600,1
429,429,0,0,0600f6ff,1
430,430,0,2,0600fc00,1
431,431,0,2,0600fc00,1
432,432,0,0,f6ff1600,1
433,433,0,0,e6ff1600,1
434,434,0,2,0600fcff,1
435,435,0,2,d6fffc00,1
436,436,0,0,e6ff2600,1
437,437,0,0,0600f6ff,1
438,438,0,8,fc001600,1
439,439,0,0,f6ff1600,1
440,440,0,2,0600fcff,1
441,441,0,8,7c001600,1
442,442,0,0,f6ff1600,1
443,443,0,2,0600fcff,1
444,444,0,0,16002600,1
445,445,0,0,26000600,1
446,446,0,0,f6ff0600,1
447,447,0,0,f6ff0600,1
448,448,0,8,fc001600,1
449,449,0,8,fcfff6ff,1
450,450,0,0,1600f6ff,1
451,451,0,0,0600f6ff,1
452,452,0,2,1600fc00,1
453,453,0,0,1600f6ff,1
454,454,0,0,f6ff0600,1
455,455,0,8,fc000600,1
456,456,0,0,06002600,1
457,457,0,0,06001600,1
458,458,0,8,fc001600,1
459,459,0,0,1600d6ff,1
460,460,0,8,fc000600,1
461,461,0,0,2600e6ff,1
462,462,0,0,26000600,1
463,463,0,0,16000600,1
464,464,0,2,0600fc00,1
465,465,0,0,0600f6ff,1
466,466,0,8,fc001600,1
467,467,0,8,fc000600,1
468,468,0,0,06001600,1
469,469,0,0,06002600,1
470,470,0,2,0600fc00,1
471,471,0,a,7c00fc00,1
472,472,0,0,f6ff0600,1
473,473,0,0,f6ff1600,1
474,474,0,0,f6ff1600,1
475,475,0,0,06001600,1
476,476,0,0,1600f6ff,1
477,477,0,2,f6fffc00,1
478,478,0,0,1600e6ff,1
479,479,0,8,fcfff6ff,1
480,480,0,0,0600f6ff,1
481,481,0,8,fcfff6ff,1
482,482,0,0,16000600,1
483,483,0,8,fcfff6ff,1
484,484,0,0,0600f6ff,1
485,485,0,8,fcfff6ff,1
486,486,0,8,7cfff6ff,1
487,487,0,0,e6ff2600,1
488,488,0,0,0600f6ff,1
489,489,0,0,e6fff6ff,1
490,490,0,0,f6ff0600,1
491,491,0,0,f6ff0600,1
492,492,0,0,e6ff1600,1
493,493,0,0,e6ff0600,1
494,494,0,0,f6ff0600,1
495,495,0,0,f6ff0600,1
496,496,0,2,0600fcff,1
497,497,0,8,fc001600,1
498,498,0,0,0600f6ff,1
499,499,0,0,0600f6ff,1
500,500,0,2,d6fffc00,1
501,501,0,0,f6ff0600,1
502,502,0,2,0600fcff,1
503,503,0,2,f6fffc00,1
504,504,0,0,16000600,1
505,505,0,8,fcffe6ff,1
506,506,0,0,16000600,1
507,507,0,0,16000600,1
508,508,0,0,16002600,1
509,509,0,0,16000600,1
510,510,0,8,fc000600,1
511,511,0,0,0600f6ff,1
512,512,0,2,e6fffc00,1
513,513,0,0,f6ff0600,1
514,514,0,0,f6ff1600,1
515,515,0,0,f6ff4c00,1
516,516,0,0,f6ff2600,1
517,517,0,0,f6ff0600,1
518,518,0,2,1600fcff,1
519,519,0,0,16000600,1
520,520,0,2,0600fc00,1
521,521,0,2,0600fc00,1
522,522,0,0,0600e6ff,1
523,523,0,0,0600f6ff,1
524,524,0,0,0600f6ff,1
525,525,0,2,1600fc00,1
526,526,0,0,e6fff6ff,1
527,527,0,0,06001600,1
528,528,0,0,06001600,1
529,529,0,0,06001600,1
530,530,0,2,1600fc00,1
531,531,0,8,7c000600,1
532,532,0,0,06001600,1
533,533,0,2,1600fc00,1
534,534,0,0,06002600,1
535,535,0,0,0600f6ff,1
536,536,0,0,3600f6ff,1
537,537,0,0,f6ff1600,1
538,538,0,0,0600e6ff,1
539,539,0,2,0600fc00,1
540,540,0,2,0600fc00,1
541,541,0,0,0600f6ff,1
542,542,0,2,f6fffc00,1
543,543,0,0,16000600,1
544,544,0,0,f6ff0600,1
545,545,0,8,fc001600,1
546,546,0,0,16000600,1
547,547,0,0,f6ff0600,1
548,548,0,8,fc000600,1
549,549,0,8,fcfff6ff,1
550,550,0,8,fc000600,1
551,551,0,0,f6ff0600,1
552,552,0,8,fc000600,1
553,553,0,0,f6ff0600,1
554,554,0,0,f6ff1600,1
555,555,0,2,f6fffcff,1
556,556,0,8,fc000600,1
557,557,0,0,06001600,1
558,558,0,0,e6ff1600,1
559,559,0,0,16000600,1
560,560,0,0,16000600,1
561,561,0,0,f6ff0600,1
562,562,0,8,fc001600,1
563,563,0,0,16000600,1
564,564,0,8,fc000600,1
565,565,0,0,06002600,1
566,566,0,0,0600e6ff,1
567,567,0,0,2600f6ff,1
568,568,0,0,f6ff1600,1
569,569,0,2,f6fffcff,1
570,570,0,0,d6ff2600,1
571,571,0,8,fc000600,1
572,572,0,0,06001600,1
573,573,0,0,e6ff4c00,1
574,574,0,0,0600f6ff,1
575,575,0,0,0600f6ff,1
576,576,0,2,f6fffc00,1
577,577,0,0,4c000600,1
578,578,0,0,1600e6ff,1
579,579,0,0,16000600,1
580,580,0,0,1600f6ff,1
581,581,0,0,0600f6ff,1
582,582,0,2,0600fc00,1
583,583,0,2,0600fc00,1
584,584,0,2,0600fc00,1
585,585,0,0,f6ff2600,1
586,586,0,0,06002600,1
587,587,0,0,0600f6ff,1
588,588,0,0,f6ff1600,1
589,589,0,2,0600fcff,1
590,590,0,0,06001600,1
591,591,0,0,f6ff1600,1
592,592,0,2,0600fcff,1
593,593,0,2,1600fc00,1
594,594,0,0,06002600,1
595,595,0,2,0600fc00,1
596,596,0,0,f6ff1600,1
597,597,0,0,f6ff0600,1
598,598,0,2,1600fcff,1
599,599,0,0,e6ff0600,1
600,600,0,0,f6ff1600,1
601,601,0,0,16000600,1
602,602,0,2,0600fc00,1
603,603,0,8,fcffe6ff,1
604,604,0,0,0600f6ff,1
605,605,0,0,f6ff1600,1
606,606,0,0,06001600,1
607,607,0,8,fcfff6ff,1
608,608,0,0,e6ff0600,1
609,609,0,2,f6fffcff,1
610,610,0,0,f6ff1600,1
611,611,0,0,16000600,1
612,612,0,0,0600f6ff,1
613,613,0,2,0600fc00,1
614,614,0,0,06002600,1
615,615,0,0,0600f6ff,1
616,616,0,2,f6fffc00,1
617,617,0,8,fc000600,1
618,618,0,8,fc000600,1
619,619,0,0,f6ff1600,1
620,620,0,0,f6ff0600,1
621,621,0,a,7cfffcff,1
622,622,0,0,0600f6ff,1
623,623,0,2,0600fc00,1
624,624,0,2,f6fffc00,1
625,625,0,0,f6ff0600,1
626,626,0,0,06001600,1
627,627,0,0,06001600,1
628,628,0,0,f6ff1600,1
629,629,0,8,fc000600,1
630,630,0,0,1600f6ff,1
631,631,0,2,0600fc00,1
632,632,0,2,1600fc00,1
633,633,0,0,16000600,1
634,634,0,0,16000600,1
635,635,0,0,26000600,1
636,636,0,0,26001600,1
637,637,0,0,f6ff1600,1
638,638,0,0,06001600,1
639,639,0,2,0600fc00,1
640,640,0,2,0600fc00,1
641,641,0,2,0600fc00,1
642,642,0,0,06001600,1
643,643,0,2,0600fc00,1
644,644,0,0,0600f6ff,1
645,645,0,8,fc002600,1
646,646,0,8,fc000600,1
647,647,0,0,16000600,1
648,648,0,0,f6ff2600,1
649,649,0,0,f6ff0600,1
650,650,0,0,f6ff0600,1
651,651,0,0,f6ff1600,1
652,652,0,0,06001600,1
653,653,0,0,f6ff2600,1
654,654,0,0,16000600,1
655,655,0,8,fcfff6ff,1
656,656,0,0,16000600,1
657,657,0,0,e6fff6ff,1
658,658,0,0,0600f6ff,1
659,659,0,0,06001600,1
660,660,0,2,1600fc00,1
661,661,0,0,16000600,1
662,662,0,8,fc000600,1
663,663,0,0,f6ff1600,1
664,664,0,0,16002600,1
665,665,0,8,fc000600,1
666,666,0,0,0600f6ff,1
667,667,0,2,f6fffc00,1
668,668,0,0,26001600,1
669,669,0,8,fc001600,1
670,670,0,0,1600f6ff,1
671,671,0,0,06002600,1
672,672,0,2,f6fffc00,1
673,673,0,0,36000600,1
674,674,0,8,fc000600,1
675,675,0,0,f6ff0600,1
