Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/time_8s_1
30,30,0,2352,1508,700,-122,-936,-1740,-2530,-3394,-4,4,4,-8,-4,20,-30,10,0
31,31,0,-4224,-5010,-5778,-6590,-7362,-8104,-8894,-9712,-4,20,20,-24,28,4,4,10,0
32,32,0,-10372,-11062,-11848,-12624,-13284,-13944,-14692,-15338,-48,4,4,42,28,36,4,26,0
33,33,0,-15922,-16538,-17166,-17792,-18342,-18958,-19458,-19960,-4,4,4,-8,-48,20,-14,10,0
34,34,0,-20442,-20974,-21502,-21956,-22254,-22670,-23076,-23454,-4,4,-14,26,-48,-14,20,-24,0
35,35,0,-23682,-23990,-24334,-24622,-24758,-24964,-25184,-25392,12,20,4,26,12,-14,-14,10,0
36,36,0,-25440,-25552,-25716,-25780,-25760,-25728,-25780,-25764,-4,4,20,10,-4,36,52,42,0
37,37,0,-25632,-25520,-25424,-25344,-25104,-24874,-24774,-24542,28,4,20,10,-4,20,20,26,0
38,38,0,-24194,-23942,-23648,-23372,-22876,-22558,-22196,-21708,28,20,20,26,-4,20,20,10,0
39,39,0,-21184,-20820,-20356,-19778,-19228,-18724,-18090,-17550,12,4,-14,26,12,-14,4,10,0
40,40,0,-16928,-16280,-15670,-15032,-14318,-13634,-12948,-12198,12,-14,20,10,12,-14,4,10,0
41,41,0,-11492,-10738,-9962,-9218,-8470,-7700,-6860,-6082,12,-30,-14,-24,-20,36,4,10,0
42,42,0,-5372,-4498,-3654,-2872,-2094,-1286,-420,376,28,-30,4,10,-4,4,4,26,0
43,43,0,1172,1982,2814,3648,4374,5212,6032,6756,12,4,4,10,28,4,20,10,0
44,44,0,7520,8282,9102,9842,10568,11184,12008,12750,12,-14,4,10,44,4,4,-8,0
45,45,0,13348,14034,14768,15398,15930,16516,17214,17770,-4,4,20,-8,12,20,4,10,0
46,46,0,18292,18836,19384,19948,20328,20844,21310,21774,28,4,-30,-40,44,-14,20,42,0
47,47,0,22076,22484,22858,23206,23440,23750,24054,24336,-4,-30,36,-24,12,-14,4,26,0
48,48,0,24536,24708,24926,25102,25198,25278,25392,25492,12,-14,-14,26,12,20,-14,-24,0
49,49,0,25438,25486,25440,25532,25358,25326,25232,25102,28,-14,-14,26,12,-14,36,10,0
50,50,0,24910,24708,24584,24354,24058,23782,23482,23186,-4,4,-14,10,-4,4,-14,26,0
51,51,0,22794,22452,22112,21726,21220,20764,20314,19852,-48,-14,-14,10,44,4,-14,10,0
52,52,0,19256,18708,18240,17658,16974,16420,15830,15154,-4,-14,4,-8,-64,4,-30,26,0
53,53,0,14474,13800,13132,12424,11688,10928,10248,9452,-4,4,4,26,44,4,4,42,0
54,54,0,8686,7930,7160,6368,5580,4792,4012,3164,-4,-30,20,26,-48,20,-14,-24,0
55,55,0,2342,1492,716,-90,-952,-1740,-2530,-3378,44,20,-14,26,12,-14,4,26,0
56,56,0,-4176,-4994,-5778,-6574,-7330,-8104,-8910,-9696,-4,20,4,26,-4,20,20,58,0
57,57,0,-10388,-11078,-11848,-12624,-13268,-13992,-14692,-15320,-4,20,20,42,12,4,-14,-8,0
58,58,0,-15906,-16554,-17150,-17840,-18310,-18958,-19426,-20008,28,20,4,26,12,-14,-14,10,0
59,59,0,-20458,-20974,-21518,-21956,-22254,-22670,-23084,-23420,12,-14,4,10,28,-14,20,10,0
60,60,0,-23650,-23990,-24286,-24622,-24774,-24906,-25152,-25376,-32,-14,20,-8,12,-14,4,42,0
61,61,0,-25456,-25600,-25678,-25812,-25760,-25728,-25780,-25780,12,4,4,10,-4,36,4,10,0
62,62,0,-25632,-25536,-25440,-25392,-25120,-24922,-24774,-24574,12,-14,4,42,-20,20,-46,-8,0
63,63,0,-24194,-23974,-23686,-23404,-22892,-22542,-22196,-21796,12,-14,4,10,12,20,-30,-8,0
64,64,0,-21200,-20820,-20388,-19762,-19212,-18740,-18090,-17582,28,20,-14,-40,28,-14,4,-8,0
65,65,0,-16928,-16264,-15638,-15016,-14302,-13634,-12964,-12214,12,20,4,26,28,-14,-14,-8,0
66,66,0,-11492,-10722,-9994,-9234,-8486,-7684,-6892,-6098,12,-14,20,10,12,20,4,26,0
67,67,0,-5324,-4530,-3654,-2888,-2110,-1302,-420,344,-4,4,-14,26,28,4,4,26,0
68,68,0,1188,1950,2798,3632,4390,5196,6032,6790,28,-14,4,10,-20,20,-14,10,0
69,69,0,7552,8298,9070,9858,10552,11232,12032,12714,-64,-14,-30,-8,28,20,20,42,0
70,70,0,13396,14098,14752,15430,15978,16600,17166,17786,-4,4,4,42,-4,-30,4,10,0
71,71,0,18306,18820,19384,19964,20312,20860,21278,21758,28,4,20,10,12,-14,4,26,0
72,72,0,22076,22484,22858,23190,23488,23766,24038,24336,12,-14,-30,10,28,20,-14,26,0
73,73,0,24536,24708,24920,25086,25166,25310,25392,25516,-4,-30,4,10,12,20,4,10,0
74,74,0,25486,25486,25472,25476,25358,25326,25184,25086,-4,4,4,-8,-48,4,4,10,0
75,75,0,24910,24692,24552,24354,24058,23818,23498,23190,28,-14,-14,10,-4,20,4,10,0
76,76,0,22762,22452,22096,21678,21220,20828,20298,19868,-4,4,4,10,-64,4,-30,10,0
77,77,0,19288,18772,18208,17642,17006,16404,15830,15138,-16,-14,4,26,12,-14,20,-24,0
78,78,0,14474,13816,13132,12456,11688,10944,10232,9452,-4,4,20,-24,-4,-14,-14,-8,0
79,79,0,8702,7946,7160,6336,5564,4808,3952,3130,-4,4,20,10,12,-14,4,10,0
80,80,0,2326,1524,668,-106,-952,-1692,-2514,-3362,-4,36,20,10,12,4,4,10,0
81,81,0,-4208,-4994,-5762,-6558,-7346,-8104,-8894,-9728,-48,-14,4,10,28,20,4,42,0
82,82,0,-10404,-11094,-11848,-12592,-13284,-13928,-14692,-15354,-4,4,4,10,28,-14,-30,10,0
83,83,0,-15922,-16506,-17198,-17824,-18310,-18958,-19442,-19992,28,4,4,10,28,-46,4,10,0
84,84,0,-20410,-20958,-21534,-21940,-22232,-22654,-23076,-23486,28,-14,-14,-24,12,36,-14,-24,0
85,85,0,-23666,-23974,-24318,-24622,-24742,-24922,-25184,-25424,12,20,20,10,-4,20,-14,26,0
86,86,0,-25424,-25552,-25700,-25796,-25712,-25712,-25812,-25764,60,20,4,-24,28,4,20,-24,0
87,87,0,-25616,-25552,-25408,-25376,-25104,-24922,-24758,-24606,12,4,4,-24,-4,-14,-14,26,0
88,88,0,-24194,-23942,-23670,-23372,-22908,-22542,-22180,-21828,12,-46,-14,-8,12,4,20,26,0
89,89,0,-21216,-20820,-20404,-19826,-19228,-18724,-18138,-17582,12,20,4,10,-4,20,4,10,0
90,90,0,-16896,-16280,-15670,-15032,-14302,-13618,-12916,-12214,12,-14,-14,26,-4,-30,20,-8,0
91,91,0,-11476,-10722,-9930,-9250,-8438,-7684,-6876,-6146,-4,4,4,26,12,-14,4,10,0
92,92,0,-5340,-4466,-3654,-2872,-2078,-1254,-436,360,-4,20,4,10,-4,4,-14,58,0
93,93,0,1142,1982,2782,3634,4428,5228,6016,6790,28,20,20,10,-4,-14,20,-8,0
94,94,0,7568,8282,9102,9762,10552,11216,12024,12714,12,4,20,-8,28,-14,-14,10,0
95,95,0,13380,14066,14784,15398,15962,16548,17214,17770,-4,-14,4,10,28,-14,4,10,0
96,96,0,18276,18852,19384,19932,20360,20844,21294,21742,12,20,4,10,12,4,20,26,0
97,97,0,22108,22452,22826,23154,23472,23782,24094,24320,-4,-14,4,42,28,20,20,26,0
98,98,0,24536,24676,24888,25054,25166,25262,25376,25476,12,-30,4,26,-4,4,-14,10,0
99,99,0,25486,25438,25488,25492,25374,25278,25232,25086,12,-14,4,-8,12,-14,-30,10,0
100,100,0,24910,24724,24536,24354,24042,23766,23482,23190,-4,-14,4,-8,28,20,4,10,0
101,101,0,22832,22452,22080,21710,21204,20812,20314,19834,-4,4,-14,26,12,4,-46,10,0
102,102,0,19288,18692,18224,17658,17022,16420,15846,15138,-48,20,4,-8,12,-14,-14,10,0
103,103,0,14474,13816,13132,12408,11704,10928,10232,9470,12,20,-14,26,-48,4,-46,-24,0
104,104,0,8702,7946,7160,6352,5564,4738,3952,3180,28,20,4,10,28,-14,36,-24,0
105,105,0,2320,1524,700,-90,-952,-1740,-2554,-3346,12,4,4,26,-4,-14,4,-8,0
106,106,0,-4192,-5010,-5778,-6574,-7346,-8104,-8862,-9644,-48,36,20,-24,28,-46,4,-8,0
107,107,0,-10436,-11062,-11832,-12608,-13300,-13944,-14692,-15304,-4,-30,4,10,-4,20,20,-8,0
108,108,0,-15922,-16506,-17166,-17808,-18374,-18958,-19474,-20008,12,-14,20,42,-4,20,4,26,0
109,109,0,-20442,-20990,-21518,-21940,-22270,-22606,-23100,-23486,12,20,20,-24,12,20,20,10,0
110,110,0,-23682,-24022,-24302,-24606,-24758,-24906,-25168,-25392,12,-14,4,-40,12,4,36,-8,0
111,111,0,-25408,-25584,-25646,-25812,-25728,-25744,-25812,-25764,-4,-30,4,-24,-4,-14,4,10,0
112,112,0,-25632,-25568,-25424,-25344,-25136,-24874,-24806,-24526,28,36,4,-8,12,4,-14,26,0
113,113,0,-24210,-23958,-23686,-23404,-22924,-22574,-22164,-21828,-48,20,4,-24,-32,4,4,58,0
114,114,0,-21216,-20772,-20324,-19778,-19228,-18740,-18122,-17566,-32,-14,20,10,-4,4,20,-24,0
115,115,0,-16928,-16280,-15654,-15048,-14302,-13602,-12932,-12230,12,36,20,-24,-4,-14,20,58,0
116,116,0,-11476,-10706,-9994,-9282,-8438,-7700,-6844,-6146,-4,36,4,26,-4,4,-14,-8,0
117,117,0,-5324,-4466,-3638,-2888,-2078,-1254,-388,344,12,4,-14,-8,12,-14,4,26,0
118,118,0,1142,1966,2814,3616,4428,5212,6064,6790,-4,4,-30,10,28,4,-14,26,0
119,119,0,7568,8330,9054,9826,10552,11266,12048,12766,28,-30,4,-24,12,4,-14,-8,0
120,120,0,13364,14082,14752,15446,15962,16600,17166,17786,28,-14,-14,-24,12,-14,-14,10,0
121,121,0,18292,18820,19384,19964,20344,20844,21262,21742,28,4,20,-8,-4,4,-14,26,0
122,122,0,22076,22468,22874,23190,23456,23782,24038,24354,12,4,4,-8,-4,-46,20,-8,0
123,123,0,24488,24708,24888,25118,25150,25294,25392,25516,44,4,20,10,-64,20,4,-8,0
124,124,0,25486,25538,25456,25532,25358,25294,25248,25070,12,4,4,26,-4,4,36,-24,0
125,125,0,24926,24724,24536,24354,24042,23798,23450,23206,-4,-14,4,10,-32,4,4,26,0
126,126,0,22816,22500,22096,21710,21220,20812,20330,19884,12,4,4,26,44,4,36,10,0
127,127,0,19288,18724,18224,17642,17006,16452,15830,15154,28,20,-14,-8,12,4,-14,26,0
128,128,0,14506,13816,13164,12488,11720,10928,10248,9452,-4,4,-14,10,-32,-14,20,10,0
129,129,0,8734,7962,7144,6368,5612,4792,3936,3164,-4,-14,20,26,-32,-14,-14,-8,0
130,130,0,2336,1540,732,-106,-968,-1724,-2530,-3362,-4,4,4,10,28,4,20,-8,0
131,131,0,-4176,-5026,-5778,-6574,-7362,-8088,-8878,-9676,-48,4,20,10,12,-14,4,10,0
132,132,0,-10404,-11094,-11848,-12624,-13284,-13976,-14660,-15370,12,-46,4,-8,-48,4,4,-8,0
133,133,0,-15922,-16538,-17182,-17824,-18326,-18958,-19458,-20008,12,-14,4,10,12,-14,4,-8,0
134,134,0,-20426,-20974,-21518,-21940,-22200,-22654,-23076,-23454,12,-14,4,10,28,-14,20,26,0
135,135,0,-23682,-23974,-24350,-24606,-24742,-24890,-25184,-25376,28,-14,-14,10,12,-14,-14,10,0
136,136,0,-25424,-25520,-25700,-25812,-25696,-25712,-25780,-25796,-20,20,4,10,-4,20,-14,-24,0
137,137,0,-25616,-25520,-25440,-25376,-25120,-24890,-24774,-24542,-48,-46,4,10,44,-14,4,26,0
138,138,0,-24194,-23926,-23718,-23356,-22924,-22526,-22196,-21812,-32,20,20,10,12,20,20,26,0
139,139,0,-21200,-20820,-20356,-19794,-19196,-18740,-18138,-17566,12,-14,20,-24,12,-30,4,10,0
140,140,0,-16912,-16280,-15702,-15032,-14270,-13634,-12988,-12198,28,-30,4,-40,-4,-14,20,26,0
141,141,0,-11476,-10722,-9994,-9234,-8422,-7700,-6908,-6146,-4,4,-14,-24,-48,-14,4,10,0
142,142,0,-5340,-4450,-3670,-2872,-2094,-1254,-436,408,12,36,4,10,12,-14,-14,-8,0
143,143,0,1188,1998,2782,3648,4406,5228,6016,6806,-4,-14,20,-8,-64,-14,20,26,0
144,144,0,7568,8250,9086,9842,10536,11216,12032,12734,12,-14,4,26,-48,-46,20,10,0
145,145,0,13364,14098,14736,15382,15994,16584,17182,17802,12,4,-14,10,12,-30,4,-8,0
146,146,0,18338,18836,19384,19948,20328,20876,21244,21774,-4,20,-14,10,12,52,4,42,0
147,147,0,22076,22468,22858,23222,23456,23766,24054,24354,12,20,20,10,28,20,4,26,0
148,148,0,24552,24708,24920,25118,25182,25310,25376,25532,28,-14,4,10,28,-14,36,-8,0
149,149,0,25486,25486,25472,25476,25358,25294,25216,25118,-4,-30,-14,10,-4,4,4,-40,0
150,150,0,24926,24708,24552,24386,24058,23818,23498,23206,-4,36,20,42,12,-14,-14,26,0
151,151,0,22794,22484,22112,21710,21220,20796,20298,19868,-4,-30,4,10,-4,-30,-14,-40,0
152,152,0,19272,18724,18208,17626,17054,16436,15814,15170,-4,4,20,-8,-4,4,20,10,0
153,153,0,14458,13832,13148,12424,11704,10896,10264,9486,28,-14,4,-8,-4,20,36,10,0
154,154,0,8750,7930,7144,6320,5564,4792,3936,3146,28,4,36,-8,-4,4,4,-24,0
155,155,0,2326,1540,684,-106,-936,-1740,-2570,-3378,-4,-30,4,10,-48,-14,52,-24,0
156,156,0,-4192,-5010,-5794,-6606,-7378,-8104,-8894,-9696,60,-14,4,42,12,-14,-14,-8,0
157,157,0,-10388,-11094,-11864,-12576,-13284,-13960,-14692,-15338,-4,-30,20,26,12,20,20,10,0
158,158,0,-15922,-16538,-17182,-17824,-18326,-18958,-19442,-20008,28,-30,4,10,28,-30,-14,26,0
159,159,0,-20410,-20990,-21486,-21940,-22254,-22638,-23100,-23454,12,-14,4,-40,12,4,-14,26,0
160,160,0,-23666,-24006,-24350,-24638,-24726,-24922,-25200,-25424,44,-14,-30,10,12,-30,4,10,0
161,161,0,-25456,-25584,-25694,-25796,-25744,-25696,-25812,-25796,-20,-30,36,-8,-4,-14,4,26,0
162,162,0,-25648,-25520,-25456,-25360,-25120,-24890,-24790,-24558,12,-14,4,10,-4,-14,4,42,0
163,163,0,-24194,-23958,-23734,-23388,-22924,-22558,-22180,-21708,12,-14,4,26,-4,-46,-14,-8,0
164,164,0,-21200,-20820,-20388,-19778,-19228,-18724,-18122,-17566,-4,4,4,10,-4,20,-14,26,0
165,165,0,-16912,-16280,-15686,-15048,-14302,-13650,-12964,-12182,-4,-14,4,-8,12,36,4,26,0
166,166,0,-11476,-10706,-9962,-9234,-8470,-7668,-6876,-6098,-48,4,-14,42,12,4,52,26,0
167,167,0,-5340,-4466,-3670,-2856,-2078,-1270,-420,344,-32,20,-14,-8,28,36,4,-8,0
168,168,0,1172,1982,2798,3632,4390,5212,5984,6774,-4,36,4,26,12,36,36,76,0
169,169,0,7536,8314,9054,9810,10552,11232,12008,12750,44,4,20,10,12,-14,52,-24,0
170,170,0,13332,14098,14752,15398,15978,16616,17182,17802,-32,4,20,26,-4,-14,20,26,0
171,171,0,18322,18820,19384,19932,20328,20844,21244,21758,12,-14,36,26,12,4,4,10,0
172,172,0,22092,22484,22842,23186,23440,23850,24070,24386,-4,4,20,26,-20,20,4,-24,0
173,173,0,24536,24708,24920,25102,25182,25310,25408,25532,28,-14,4,10,28,4,4,-8,0
174,174,0,25454,25470,25504,25516,25358,25326,25232,25118,-4,4,-14,10,-4,-14,4,26,0
175,175,0,24894,24776,24568,24354,24058,23782,23498,23206,-4,4,20,10,12,4,20,10,0
176,176,0,22816,22468,22080,21710,21252,20828,20298,19868,-4,4,20,-24,-4,20,4,10,0
177,177,0,19288,18740,18192,17626,17006,16420,15830,15154,28,-14,20,10,28,4,36,26,0
178,178,0,14474,13816,13132,12456,11656,10960,10232,9486,28,20,-14,26,28,-14,20,-8,0
179,179,0,8654,7930,7144,6352,5596,4754,3920,3130,12,-30,4,26,12,-14,4,10,0
180,180,0,2326,1540,716,-106,-952,-1740,-2554,-3346,-4,20,20,26,-32,4,-14,10,0
181,181,0,-4146,-5010,-5778,-6590,-7362,-8104,-8878,-9696,28,4,4,10,12,36,4,76,0
182,182,0,-10404,-11062,-11864,-12592,-13300,-13960,-14644,-15320,-4,4,4,-8,12,-14,20,10,0
183,183,0,-15922,-16538,-17166,-17824,-18310,-18942,-19474,-19976,-4,4,20,-8,28,-14,4,42,0
184,184,0,-20426,-20958,-21486,-21940,-22232,-22654,-23044,-23454,28,-14,4,26,28,-14,4,10,0
185,185,0,-23698,-24022,-24366,-24606,-24758,-24922,-25184,-25424,28,4,4,26,12,-14,4,10,0
186,186,0,-25440,-25552,-25716,-25796,-25728,-25744,-25812,-25796,12,-14,4,-24,-4,4,-30,-24,0
187,187,0,-25648,-25552,-25440,-25360,-25120,-24906,-24806,-24542,44,-30,20,10,44,4,20,26,0
188,188,0,-24178,-23958,-23702,-23372,-22892,-22558,-22196,-21812,-4,-14,4,42,-4,4,20,-8,0
189,189,0,-21216,-20804,-20372,-19810,-19196,-18756,-18154,-17566,12,4,-14,-24,12,4,-14,10,0
190,190,0,-16912,-16296,-15670,-15016,-14302,-13602,-12948,-12214,-4,36,20,26,28,20,4,10,0
191,191,0,-11476,-10722,-9978,-9234,-8454,-7684,-6860,-6130,28,36,4,10,12,4,4,26,0
192,192,0,-5340,-4466,-3670,-2888,-2094,-1238,-436,344,-4,-14,4,26,-48,4,4,26,0
193,193,0,1172,1998,2798,3648,4390,5260,5984,6790,12,4,20,10,-32,-14,-14,42,0
194,194,0,7552,8314,9070,9810,10536,11266,12016,12766,28,-14,4,10,28,-14,4,26,0
195,195,0,13364,14082,14768,15414,15962,16532,17182,17770,28,20,-30,10,-4,36,20,26,0
196,196,0,18260,18852,19384,19916,20360,20860,21244,21742,44,-14,36,26,28,-14,36,26,0
197,197,0,22076,22468,22842,23190,23456,23734,24038,24336,-4,4,4,-8,12,4,4,-8,0
198,198,0,24504,24708,24888,25118,25134,25294,25376,25460,-4,4,-14,10,-4,36,4,10,0
199,199,0,25438,25470,25488,25476,25374,25294,25200,25086,28,-14,20,-8,-4,-14,4,-24,0
200,200,0,24910,24776,24504,24354,24042,23782,23514,23222,12,36,-14,10,-4,36,4,10,0
201,201,0,22762,22484,22096,21710,21220,20764,20314,19852,28,20,20,42,-4,20,4,26,0
202,202,0,19288,18724,18192,17594,16958,16370,15814,15154,12,4,20,26,28,-30,20,26,0
203,203,0,14458,13848,13148,12424,11656,10960,10232,9436,-4,-14,-14,26,28,20,4,26,0
204,204,0,8654,7962,7160,6352,5564,4792,3952,3164,12,-30,36,-8,12,4,20,10,0
205,205,0,2278,1508,700,-106,-968,-1756,-2554,-3362,-4,-30,-14,-24,-48,36,-14,42,0
206,206,0,-4240,-5026,-5778,-6606,-7378,-8104,-8878,-9676,28,-30,4,10,28,-14,4,26,0
207,207,0,-10420,-11126,-11864,-12592,-13316,-13976,-14676,-15320,-4,-30,4,-24,12,-14,-14,42,0
208,208,0,-15954,-16538,-17150,-17808,-18326,-18958,-19458,-19976,-48,4,20,-8,-4,-14,4,10,0
209,209,0,-20442,-20958,-21518,-21972,-22216,-22638,-23076,-23454,28,20,4,26,12,36,20,-24,0
210,210,0,-23714,-24022,-24350,-24606,-24742,-24980,-25184,-25392,12,20,4,42,12,4,4,10,0
211,211,0,-25408,-25568,-25700,-25780,-25744,-25744,-25764,-25780,-4,36,4,42,12,-14,-14,-24,0
212,212,0,-25616,-25536,-25456,-25360,-25104,-24890,-24790,-24558,12,4,20,-8,-4,-30,4,26,0
213,213,0,-24162,-23958,-23686,-23356,-22860,-22558,-22148,-21796,-4,20,4,-40,-4,20,20,10,0
214,214,0,-21232,-20804,-20372,-19762,-19228,-18708,-18138,-17566,-20,-14,4,-8,-4,4,20,10,0
215,215,0,-16928,-16280,-15654,-15048,-14286,-13634,-12980,-12182,-48,4,36,10,12,-30,4,42,0
216,216,0,-11460,-10722,-9946,-9266,-8454,-7684,-6876,-6082,-4,4,20,10,-4,4,-14,10,0
217,217,0,-5340,-4466,-3670,-2888,-2078,-1270,-436,392,-64,4,20,10,28,20,4,10,0
218,218,0,1142,1982,2814,3632,4412,5212,6000,6806,28,4,-14,10,-4,20,20,-24,0
219,219,0,7520,8266,9118,9842,10536,11216,12024,12746,12,-14,4,10,12,4,20,-24,0
220,220,0,13348,14066,14768,15414,15994,16532,17230,17786,-4,20,-14,-8,-4,4,20,10,0
221,221,0,18338,18820,19400,19948,20344,20860,21278,21758,44,4,36,10,-32,4,-14,10,0
222,222,0,22108,22452,22826,23206,23440,23798,24094,24354,-4,-14,20,-8,-48,20,20,26,0
223,223,0,24504,24692,24904,25134,25166,25278,25408,25516,28,4,-14,10,12,4,4,10,0
224,224,0,25486,25502,25504,25476,25358,25294,25232,25102,-4,-14,4,10,-48,-14,4,10,0
225,225,0,24910,24692,24584,24418,24074,23782,23498,23222,12,4,20,-24,-4,-14,4,10,0
226,226,0,22778,22468,22112,21710,21220,20796,20330,19868,28,-14,-14,-24,-4,-30,20,10,0
227,227,0,19272,18724,18224,17642,17022,16388,15814,15138,-4,20,-14,10,-48,20,-14,10,0
228,228,0,14490,13832,13132,12440,11704,10944,10264,9452,-32,4,-14,26,12,-14,-14,-24,0
229,229,0,8654,7946,7128,6336,5564,4754,3996,3164,12,4,4,26,-48,20,-14,26,0
230,230,0,2310,1524,732,-58,-968,-1740,-2554,-3362,-48,4,4,-8,-48,4,-14,-24,0
231,231,0,-4192,-5026,-5794,-6606,-7378,-8088,-8910,-9728,12,-30,4,10,-4,-30,4,26,0
232,232,0,-10420,-11094,-11848,-12592,-13268,-14008,-14676,-15354,-4,4,-14,-8,-48,-14,20,-24,0
233,233,0,-15954,-16538,-17166,-17824,-18310,-18990,-19458,-20008,12,-14,4,10,-4,20,4,10,0
234,234,0,-20442,-20974,-21486,-21940,-22254,-22654,-23092,-23486,12,4,-14,-24,-48,4,4,-8,0
235,235,0,-23698,-23990,-24318,-24622,-24758,-24922,-25184,-25360,12,20,4,10,-4,4,-14,-24,0
236,236,0,-25456,-25568,-25678,-25812,-25728,-25744,-25780,-25740,12,4,-14,-8,12,4,-14,-8,0
237,237,0,-25632,-25568,-25440,-25360,-25120,-24890,-24742,-24542,12,-30,4,-24,-4,4,4,-24,0
238,238,0,-24210,-23958,-23686,-23340,-22908,-22542,-22180,-21812,12,4,4,10,-4,20,4,-24,0
239,239,0,-21232,-20820,-20356,-19778,-19228,-18756,-18122,-17534,-4,-14,20,-8,-64,4,-14,10,0
