Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_3_tx_aresetn
113,113,0,fb16ce3f3720313e9f28fc3afe2f453622362930e23ad228213e7020c93f3817,0,1,0,0,1
114,114,0,1bcc4dcdccc62ed4f3c22edcabc01ae502c0b5eefcc0c3f894c3ff02b8c7280d,0,1,0,0,1
115,115,0,ee3f1b15973f330b9f3d0101133ac8f60b35cceca62e4ee310278cda7a1ebfd2,0,1,0,0,1
116,116,0,d3c85a0fb4ce1119d9d5242212de562a29e77431e3f04d3700fbbb3b3e05a23e,0,1,0,0,1
117,117,0,7a1c2fd1f812d2cafa08d2c5c0fe50c28ff462c0a9ea15c04fe16bc1bed85cc4,0,1,0,0,1
118,118,0,7c070e3f8711ff3f1f1b4c3f0624fa3c002c1839da32c0336638142d803c4125,0,1,0,0,1
119,119,0,fdd636c5adcf00ca9ac92cd0ecc491d7c0c100e02dc040e93cc016f3eec140fd,0,1,0,0,1
120,120,0,333d6723673f711afb3fce10ec3ebd06413c80fc0a385af264328de8742b5adf,0,1,0,0,1
121,121,0,84c280ff23c6b7093ecbaf13b2d1251d56d9dc25f8e19b2d5eeb2f344cf56d39,0,1,0,0,1
122,122,0,c62970dd812149d560183bcea00e73c87f0417c441fa44c129f00dc079e678c0,0,1,0,0,1
123,123,0,86f7633ac001d23def0bac3fd015e43f221f793ea727753b292feb367535f930,0,1,0,0,1
124,124,0,6ce4c8c090db2ec3a3d323c7d9cc8dcc5ec748d356c328dbdcc0fae300c083ed,0,1,0,0,1
125,125,0,a9367e2f463b0b285d3e901fdc3f4716b83f6c0cf23d4002963a04f8ba35fded,0,1,0,0,1
126,126,0,08c0aeef2cc1c3f9ebc3000434c8240eebcdea17ebd4142105dd652904e6a730,0,1,0,0,1
127,127,0,7934d7ebf42d69e24326bcd9961d0bd2271486cb350a5ac6ffffa8c2caf588c0,0,1,0,0,1
128,128,0,17e81532def1cc3701fc163c3f06d53e5410f83ffd19783ffc22583d162ba539,0,1,0,0,1
129,129,0,92f348c0b7e924c06ee0a3c1f4d7bbc481d057c945ca5acf69c59cd60dc2edde,0,1,0,0,1
130,130,0,ba2ca23874332633de385c2cd33c6f24383f921b00400112243ffa07aa3cbffd,0,1,0,0,1
131,131,0,86c1e0e01cc032ea55c012f42fc241fe9ec57c088cca7e12d9d0081c5ad8d924,0,1,0,0,1
132,132,0,e83b7ffb8c375ff1c4319ee7b52a7ede8f2239d6861906cfd50f14c9bd058ac4,0,1,0,0,1
