Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/time_8s_2
157,157,0,-11126,-10332,-9534,-8874,-8026,-7282,-6500,-5714,2,-12,0,-34,-14,-28,-34,-34,0
158,158,0,-4906,-4054,-3284,-2470,-1642,-756,30,834,-46,-28,0,0,-46,-28,0,16,0
159,159,0,1626,2458,3298,4040,4858,5688,6468,7256,2,4,0,16,-30,4,-18,0,0
160,160,0,7992,8742,9554,10290,10970,11686,12466,13136,18,4,0,32,2,4,0,32,0
161,161,0,13786,14464,15152,15772,16374,16954,17600,18156,2,20,0,16,-30,-12,16,0,0
162,162,0,18644,19196,19740,20240,20644,21166,21608,22022,2,44,0,-34,-46,-12,0,-50,0
163,163,0,22362,22780,23074,23484,23678,24010,24276,24576,34,4,-34,-18,18,4,-18,16,0
164,164,0,24694,24896,25080,25272,25284,25450,25494,25618,2,-12,32,0,2,4,0,16,0
165,165,0,25546,25582,25566,25552,25396,25354,25252,25110,-30,20,0,16,-14,4,0,-34,0
166,166,0,24916,24704,24500,24292,23976,23696,23440,23108,2,-28,0,-18,-14,-28,0,16,0
167,167,0,22664,22312,21912,21522,21050,20544,20114,19598,-46,4,0,0,18,4,0,16,0
168,168,0,19002,18498,17954,17354,16740,16094,15546,14876,2,-12,0,0,-14,-12,16,16,0
169,169,0,14106,13488,12804,12102,11290,10526,9850,9082,-14,4,0,0,2,-12,-18,0,0
170,170,0,8310,7520,6768,5948,5114,4350,3522,2702,2,4,-34,0,2,-28,32,0,0
171,171,0,1896,1034,254,-570,-1386,-2204,-3014,-3840,2,4,0,0,-30,-12,-34,0,0
172,172,0,-4594,-5442,-6274,-7066,-7802,-8574,-9340,-10118,-30,4,16,-34,-30,4,16,16,0
173,173,0,-10806,-11588,-12354,-13026,-13690,-14406,-15100,-15724,18,4,16,-18,-30,20,32,-34,0
174,174,0,-16330,-16954,-17564,-18204,-18726,-19256,-19932,-20304,-30,-12,0,-18,-46,44,16,0,0
175,175,0,-20786,-21222,-21754,-22152,-22464,-22998,-23356,-23690,18,-12,0,32,-30,-12,0,0,0
176,176,0,-23900,-24288,-24528,-24796,-24920,-25174,-25410,-25532,-46,4,-18,0,18,4,16,-34,0
177,177,0,-25554,-25676,-25786,-25806,-25762,-25820,-25804,-25806,2,-28,-34,-18,-14,4,0,0,0
178,178,0,-25634,-25580,-25490,-25336,-25058,-24918,-24710,-24454,2,4,16,0,2,-12,-34,16,0
179,179,0,-24060,-23850,-23564,-23236,-22766,-22346,-22040,-21518,-14,4,0,0,2,20,-34,0,0
180,180,0,-21050,-20502,-20174,-19572,-18998,-18424,-17868,-17270,2,20,0,-50,2,4,16,-18,0
181,181,0,-16616,-15988,-15374,-14690,-13968,-13272,-12594,-11864,-14,-44,0,-34,-14,-28,-18,-50,0
182,182,0,-11094,-10368,-9582,-8842,-8058,-7282,-6500,-5730,2,4,0,16,2,-12,-34,-34,0
183,183,0,-4842,-4038,-3290,-2454,-1626,-816,14,818,-14,4,-34,-18,2,4,-18,0,0
