Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync,adc2_sync,adc3_sync,adc4_sync
57,57,0,0,1400e4ff,7f8882c8,2,e0261a34,0,0,1e6230d0,1,1,1,0
58,58,0,0,2400e4ff,88bca428,4,0436d372,0,0,cff4e1c6,1,1,1,0
59,59,0,8,fc000400,425026a2,0,17d02ffe,0,0,3154017c,1,1,1,0
60,60,0,0,f4ff0400,48222212,2,d424de66,0,0,dff01b12,1,1,1,0
61,61,0,2,f4fffcff,4b864684,0,30e4077e,0,0,04c2d046,1,1,1,0
62,62,0,2,1400fcff,f220e320,0,dbbe1480,0,0,19c2318a,1,1,1,0
63,63,0,0,1400e4ff,42082232,0,0ad6d5fc,0,0,d1f8dc3e,1,1,1,0
64,64,0,0,e4ff2400,23c02289,0,11a030b4,0,0,328807ca,1,1,1,0
65,65,0,2,f4fffcff,5f8888f2,0,d7dad9e6,0,0,da4a16b2,1,1,1,0
66,66,0,8,fc000400,88220249,0,30e20da4,0,0,0a2ad3f0,1,1,1,0
67,67,0,8,fc002400,802884f2,0,d8f20ec0,0,0,13ba32be,1,1,1,0
68,68,0,0,f4ff1400,09228822,0,1024d964,0,0,d578d8a2,1,1,1,0
69,69,0,0,04002400,607fa182,0,0bfc30a0,4,0,33d60d3a,1,1,1,0
70,70,0,2,e4fffc00,eaa28222,0,db56d6e6,0,0,d68a1012,1,1,1,0
71,71,0,0,1400f4ff,8821f232,0,30561326,0,0,10f8d6d8,1,1,1,0
72,72,0,0,14000400,a28a8122,0,d44a0980,0,0,0d1233ca,1,1,1,0
73,73,0,2,1400fc00,3222c220,4,163cddfe,0,0,d8dad476,1,1,1,0
74,74,0,8,fc000400,5baec4bb,5,06103066,0,0,33a213ce,1,1,1,0
75,75,0,8,fc000400,4022b93f,2,df66d316,0,0,d37e0a12,1,1,1,0
76,76,0,0,0400e4ff,6fbb3beb,6,2ff418a2,0,0,1620db2a,1,1,1,0
77,77,0,0,04002400,b3443b4f,a,d2000342,0,0,07c2327a,1,1,1,0
78,78,0,0,0400f4ff,88e48a98,0,1be8e166,0,0,dda2d138,1,1,1,0
79,79,0,8,fc001400,3d88ee21,0,00422eac,0,0,31ba1978,1,1,1,0
80,80,0,0,0400f4ff,9028588c,0,e486d12a,0,0,d00204d2,1,1,1,0
81,81,0,2,0400fc00,bb7de68a,0,2de41d46,0,0,1cc6df4c,1,1,1,0
82,82,0,2,1400fc00,aa972f4f,8,d006fd9a,0,0,00f23068,1,1,1,0
83,83,0,0,1400f4ff,2f8a4161,0,20e0e6c2,0,0,e26ccfd4,1,1,1,0
84,84,0,0,0400f4ff,c1ebf38b,0,fa7c2c84,0,0,2fd61e9a,1,1,1,0
85,85,0,0,0400f4ff,eeebea46,0,e912d000,0,0,ce70fdec,1,1,1,0
86,86,0,0,14002400,f85a3b9b,2,2b8a2294,0,0,2122e55e,1,1,1,0
87,87,0,8,fcfff4ff,4aeeaa24,2,cff0f61e,0,0,fa0c2f2c,1,1,1,0
88,88,0,0,04002400,2a44ee4f,0,2494ec84,0,0,e7aecd98,1,1,1,0
89,89,0,0,04001400,4fe08a8e,1,f39e29a8,0,0,2dba23e0,1,1,1,0
90,90,0,0,14003400,0af12fed,2,ef54cfe8,0,0,cd10f78e,1,1,1,0
91,91,0,0,d4ff0400,a6ca6ae6,8,27c0261c,0,0,26d2ea3e,1,1,1,0
92,92,0,0,1400f4ff,0343bb12,0,cfcaf0ae,0,0,f32e2c12,1,1,1,0
93,93,0,2,1400fc00,4f18218b,0,28f0f124,0,0,ed1ecdfa,1,1,1,0
94,94,0,0,1400f4ff,eeaa0157,4,ee10264e,0,0,2a60289e,1,1,1,0
95,95,0,0,0400e4ff,4650b9be,2,f564cf1c,0,0,cde2f056,1,1,1,0
96,96,0,0,f4ff1400,8ffbea44,0,240e2a28,0,0,2a6cf00e,1,1,1,0
97,97,0,2,1400fcff,204c0888,0,cf4eeb08,0,0,ed902846,1,1,1,0
98,98,0,2,d4fffc00,82a0225d,0,2bfef794,0,0,f30ecdce,1,1,1,0
99,99,0,8,fcffe4ff,0a43828a,0,e8ba2178,0,0,26d62b62,1,1,1,0
100,100,1,0,f4ff0400,20eaa29f,0,fb42d07e,0,0,cdf6ea32,1,1,1,0
101,101,0,0,d4ff0400,828852bc,1,1fec2c30,0,0,2de0f64e,1,1,1,0
102,102,0,0,0400e4ff,a0224898,0,d0f0e556,0,0,e832244e,1,1,1,0
103,103,0,8,fc001400,2a2822a2,0,2dfefde2,0,0,facecd10,1,1,1,0
104,104,0,0,14002400,182020ea,0,e30e1de4,0,0,21cc2e68,1,1,1,0
105,105,0,0,0400f4ff,880b8822,0,00a8d11a,0,0,ce52e5c4,1,1,1,0
106,106,0,0,0400f4ff,88f8a2f4,0,1af42efc,0,0,2f30fd7e,1,1,1,0
107,107,0,0,0400e4ff,5f5f8a5f,0,d2d4e0a8,0,0,e2461fec,1,1,1,0
108,108,0,0,24001400,a8825ddf,0,2f5004c8,0,0,003ccfca,1,1,1,0
109,109,0,0,0400e4ff,88868822,2,de161884,0,0,1ce23094,1,1,1,0
110,110,0,8,fc001400,40e65dea,0,0728d486,0,0,d0c6df98,1,1,1,0
111,111,0,0,1400f4ff,8812c85d,0,15423038,0,0,31d2034c,1,1,1,0
112,112,0,0,f4ffe4ff,22080657,0,d56edc30,0,0,ddea19a2,1,1,1,0
113,113,0,0,f4ff0400,32b85f60,0,30760aa0,0,0,077ad168,1,1,1,0
114,114,0,2,2400fcff,aa4b5d83,8,da981272,0,0,16823208,1,1,1,0
115,115,0,2,1400fc00,26bb6c41,0,0d18d788,0,0,d340dbe8,1,1,1,0
116,116,0,2,d4ff7c00,ba7ce6bb,f,0fc2304c,0,0,324e0a1a,1,1,1,0
117,117,0,8,fc001400,8e5741ae,9,d876d8fc,1,0,d92214e2,1,1,1,0
118,118,0,0,e4fff4ff,ebbbe64f,8,303210d6,0,0,0dbad41e,1,1,1,0
119,119,0,8,fcfff4ff,be9d44ba,d,d6cc0cd2,0,0,11123316,1,1,1,0
120,120,0,0,1400e4ff,bbbe8aee,b,13d8dac8,0,0,d618d72a,1,1,1,0
121,121,0,2,0400fc00,4a64bebe,1,09823008,0,0,337a108a,1,1,1,0
122,122,0,8,fc001400,eb418cbe,0,dc60d5e6,0,0,d5f60d32,1,1,1,0
123,123,0,0,d4ff1400,614144ab,1,300816fe,0,0,1358d84a,1,1,1,0
124,124,0,0,14000400,aa8a4a88,9,d3b80622,0,0,0bea320a,1,1,1,0
125,125,0,0,2400f4ff,bca12fed,8,18f6def8,0,0,da7ad30e,1,1,1,0
126,126,0,2,0400fc00,15b0ed76,1,03742f96,0,0,322a16d0,1,1,1,0
127,127,0,2,0400fc00,54fd26b5,4,e1a8d2c0,0,0,d1b807c2,1,1,1,0
128,128,0,0,f4ffe4ff,44901111,a,2e181b6a,0,0,1808dde2,1,1,1,0
129,129,0,2,0400fcff,55145396,4,d19c00e4,0,0,043232de,1,1,1,0
130,130,0,2,1400fc00,12059959,c,1d08e4b8,0,0,dfb2d0ca,1,1,1,0
131,131,0,2,04007c00,af10af24,1,fde42d7e,0,0,31d01b66,1,1,1,0
132,132,0,0,04001400,00010154,c,e6c2d0ae,0,0,cf440142,1,1,1,0
133,133,0,0,04001400,44450044,2,2c042070,0,0,1ebce19c,1,1,1,0
134,134,0,0,f4ff1400,a7441411,0,d090facc,0,0,fe1c3038,1,1,1,0
135,135,0,0,04001400,51444844,0,21aee832,0,0,e4dcce30,1,1,1,0
136,136,0,0,d4fff4ff,06110411,3,f7382bfa,0,0,2fec2092,1,1,1,0
137,137,0,0,4400f4ff,04044001,0,ebd2cf80,0,0,cd18fb0c,1,1,1,0
138,138,0,0,f4ffd4ff,11051012,d,2948249e,0,0,2350e7fe,1,1,1,0
139,139,0,0,f4ff1400,51651044,3,cf88f4fe,0,0,f7fe2d9a,1,1,1,0
140,140,0,0,14000400,45110409,1,268cee54,0,0,e95ecdc0,1,1,1,0
141,141,0,8,fc000400,50054544,4,f12e2860,0,0,2ca225e2,1,1,1,0
142,142,0,0,04001400,00049011,c,f144cfc0,0,0,cdd2f45e,1,1,1,0
143,143,0,0,04001400,f374c111,1,260e2870,0,4,27fced1e,1,1,1,0
144,144,0,0,2400e4ff,af657590,0,cfbcee60,0,0,f1862aa0,1,1,1,0
145,145,0,0,e4fff4ff,bb83f9f7,1,2978f454,0,0,efeecc72,1,1,1,0
146,146,0,0,1400f4ff,d6a41579,0,eb4824ae,0,0,28b029ec,1,1,1,0
147,147,0,0,f4ff2400,33b9b544,1,f794cfd4,0,0,cd5eeef0,1,1,1,0
148,148,0,2,e4fffcff,56a6d58d,1,221e2b40,0,0,2be2f20e,1,1,1,0
149,149,0,0,f4ff2400,bdf50133,0,d00ee91a,0,0,ebb02676,1,1,1,0
150,150,0,0,04001400,d7d7f6f9,a,2c60fa22,0,0,f64ecd96,1,1,1,0
151,151,0,2,f4fffc00,ff31a0b5,0,e604209c,0,0,240e2d22,1,1,1,0
152,152,0,8,fc000400,37ddd6f9,0,fda2d050,0,0,cd96e8c2,1,1,1,0
153,153,0,0,14000400,d5765df5,6,1de42d9e,0,0,2e56f99e,1,1,1,0
154,154,0,0,14000400,14995036,8,d108e496,0,0,e55a228c,1,1,1,0
155,155,0,0,f4ff2400,9993fd5c,2,2e7c0098,0,0,fc2eced2,1,1,1,0
156,156,0,0,0400e4ff,77995d3f,a,e1381bb4,0,0,1fcc2fb0,1,1,1,0
157,157,0,2,1400fc00,bd04afbc,4,03a8d26a,0,0,cf6ae396,1,1,1,0
158,158,0,8,fc000400,bf37ad39,4,18742f9a,0,0,30deff2c,1,1,1,0
159,159,0,0,14000400,f5fd0421,4,d316dfa6,0,0,e0481db2,1,1,1,0
160,160,0,0,04002400,bc8c464a,8,309806c8,0,0,030cd09c,1,1,1,0
161,161,0,0,04001400,ebeb5df2,0,dce81542,0,0,1a723132,1,1,1,0
162,162,0,0,04001400,9d729b4a,2,0940d5be,0,0,d108de90,1,1,1,0
163,163,0,2,0400fc00,bb412a77,0,138230b6,0,0,322a0672,1,1,1,0
164,164,0,0,0400e4ff,4a4ac44a,0,d608db18,0,0,db881772,1,1,1,0
165,165,0,8,fc001400,7dabaefa,6,30bc0cb8,0,0,09bad2d0,1,1,1,0
166,166,0,0,1400f4ff,867b7f18,0,d8521092,0,0,14e232a8,1,1,1,0
167,167,0,0,e4ffd4ff,fbebb7ee,0,0f76d8f6,0,0,d45ed9ca,1,1,1,0
168,168,0,0,24001400,8aa34182,4,0da23074,0,0,33760c6a,1,1,1,0
169,169,0,2,1400fc00,8a8a8f8b,4,da28d74c,0,0,d7ba1152,1,1,1,0
170,170,0,2,2400fc00,ef86fa99,b,30781288,0,0,0f2ad698,1,1,1,0
171,171,0,0,2400e4ff,708a41aa,1,d5660aa2,0,0,0e423394,1,1,1,0
172,172,0,8,fc001400,f76e4a9c,0,155edcb0,0,0,d89ad5a4,1,1,1,0
173,173,0,8,fcfff4ff,ba6a5db3,9,07323060,0,0,32aa1238,1,1,1,0
174,174,0,0,e4ff1400,bfc48f8c,0,de20d428,0,0,d4ce0bea,1,1,1,0
175,175,0,0,0400f4ff,98f3585a,4,2fd61786,0,0,151ada12,1,1,1,0
176,176,0,0,1400f4ff,f8e38903,0,d26004e2,0,0,08f232aa,1,1,1,0
177,177,0,0,2400e4ff,4a06c000,0,1ae4e0e8,0,0,dc4ad2d8,1,1,1,0
178,178,0,0,0400f4ff,a05dea88,0,01e42eb8,0,0,318e18a8,1,1,1,0
179,179,0,0,1400e4ff,8c82227d,0,e3c8d142,0,0,d15a05d2,1,1,1,0
180,180,0,0,1400d4ff,2288a009,0,2e2e1d1a,0,0,1b98de02,1,1,1,0
181,181,0,2,1400fc00,2272808a,0,d05efe14,0,0,02523160,1,1,1,0
182,182,0,0,0400f4ff,a22288e6,0,1fe0e5e2,0,0,e1cccf32,1,1,1,0
183,183,0,0,e4fff4ff,28200822,1,faec2c56,0,0,30081e2c,1,1,1,0
184,184,0,0,04001400,c2228822,0,e842d0f0,0,0,ceeefe82,1,1,1,0
185,185,0,0,14002400,88f222f2,0,2bca216e,0,0,201ae4dc,1,1,1,0
186,186,0,0,14000400,28302888,0,cffef7b4,0,0,fb7c2f46,1,1,1,0
187,187,0,0,f4ff0400,a2eac888,0,241eebc2,0,0,e6eecda8,1,1,1,0
188,188,0,8,fc000400,88824822,9,f51e2a18,0,0,2d1a23d0,1,1,1,0
189,189,0,0,f4ff0400,30f22212,0,ed64cf08,0,0,cd40f8ee,1,1,1,0
190,190,0,0,f4ff0400,8aa27888,0,280026fc,0,0,25b0e9ae,1,1,1,0
191,191,0,0,f4ff0400,198a9a6a,0,cf00f27e,0,0,f59e2c12,1,1,1,0
192,192,0,0,04001400,5226e328,0,27caf024,0,0,ec1ecd62,1,1,1,0
193,193,0,8,fcffe4ff,fac78e6f,1,efb026ae,0,0,2b50278e,1,1,1,0
194,194,0,8,fc001400,bab34399,d,f344cf4c,0,0,cd32f226,1,1,1,0
195,195,0,8,fcfff4ff,4a3bbb9e,3,247e29a0,0,0,295cef0e,1,1,1,0
196,196,0,0,14003400,bb442f86,0,cf64ecd8,0,0,ee502970,1,1,1,0
197,197,0,2,1400fc00,41a9468b,4,2bb0f694,0,0,f20ecdfc,1,1,1,0
198,198,0,0,0400f4ff,db5abac9,a,e98a220e,0,0,27662b42,1,1,1,0
199,199,0,2,1400fc00,bb248b1a,0,f902d0a4,0,0,cd16ec20,1,1,1,0
200,200,0,8,fc000400,beab404a,4,205c2cc4,0,0,2cb2f52e,1,1,1,0
201,201,0,0,e4fff4ff,bbbb838a,4,d000e774,0,0,e91225ce,1,1,1,0
202,202,0,0,d4ff1400,eeeb8aba,1,2df6fcb2,0,0,f88ecd50,1,1,1,0
203,203,0,8,fcffe4ff,abaaaeeb,e,e4f61d7c,0,0,223e2ee6,1,1,1,0
204,204,0,8,fcfff4ff,efefefba,1,ff98d188,0,0,ce42e6ea,1,1,1,0
205,205,0,0,0400e4ff,fe21efbb,2,1b842edc,0,0,2fe8fb1e,1,1,1,0
206,206,0,8,fc001400,ef4f52be,1,d2eae1be,0,0,e3f61f6c,1,1,1,0
207,207,0,0,04002400,8ababebb,7,2ff20268,0,0,fffcceba,1,1,1,0
208,208,0,2,0400fc00,ee6caaf2,2,df4c1964,0,0,1d92303e,1,1,1,0
209,209,0,2,2400fc00,47fbaffa,6,0698d3a4,0,0,d0fce098,1,1,1,0
210,210,0,0,1400f4ff,2112225d,2,16023018,0,0,3192020c,1,1,1,0
211,211,0,2,0400fc00,8a2a5f57,0,d54edd58,0,0,de101b42,1,1,1,0
212,212,0,0,e4fff4ff,2a4aa28c,0,30f60810,0,0,050ad188,1,1,1,0
213,213,0,0,e4ff1400,fa220a88,4,dbe01362,0,0,1772329a,1,1,1,0
214,214,0,0,04001400,ea226204,0,0bb8d648,0,0,d220dcf8,1,1,1,0
215,215,0,0,1400f4ff,124aa2f2,0,10a230f8,0,0,32f8086a,1,1,1,0
216,216,0,0,f4ff0400,bb8a285f,2,d86cd9b2,0,0,d92a15d2,1,1,1,0
217,217,0,0,24001400,37a2c44b,0,30f40e06,0,0,0c02d4ce,1,1,1,0
218,218,0,0,f4ff1400,080428ea,0,d7040ee2,0,0,12323326,1,1,1,0
219,219,0,2,f4fffcff,9f8808c8,0,120cda58,0,0,d5e8d74a,1,1,1,0
220,220,0,8,fc000400,c0a20cc8,0,0ab23018,0,0,33140fca,1,1,1,0
221,221,0,0,0400f4ff,099d128a,0,db28d6e6,0,0,d5540f52,1,1,1,0
222,222,0,0,0400e4ff,8ae3a824,0,309014fe,0,0,1198d7fa,1,1,1,0
223,223,0,0,24001400,e9188890,0,d4060862,0,0,0c1233da,1,1,1,0
224,224,0,0,1400f4ff,3d42228c,0,1736de70,0,0,d932d476,1,1,1,0
225,225,0,8,fcffe4ff,820a2277,8,05e22f58,0,0,320a15ce,1,1,1,0
226,226,0,8,fc000400,90c85782,0,e018d300,0,0,d24809e2,1,1,1,0
227,227,0,8,fc000400,0b224aa2,0,2f181a84,0,0,1710dcaa,1,1,1,0
228,228,0,0,1400e4ff,12eaa28a,0,d1c20104,0,0,059232e8,1,1,1,0
229,229,0,8,fcfff4ff,8ac25dc1,0,1caae2f8,0,0,de52d1fa,1,1,1,0
230,230,0,0,f4ff2400,e100f2c8,0,fe342e7e,0,0,31f01a38,1,1,1,0
231,231,0,0,04001400,ea9f82a8,2,e512d19e,0,0,cf020372,1,1,1,0
232,232,0,2,e4fffc00,4a28ea57,0,2de61e28,0,0,1dcce0ec,1,1,1,0
233,233,0,0,14000400,504aa2a0,0,d0b0fb0c,0,0,ffc23048,1,1,1,0
234,234,0,0,e4fff4ff,305a885d,0,21cee772,0,0,e32ccf8e,1,1,1,0
235,235,0,0,04001400,c242284a,0,f80c2c6a,0,0,2fd61f9a,1,1,1,0
236,236,0,2,f4ff7c00,42080a22,0,ead2cfae,0,0,ce50fc8c,1,1,1,0
237,237,0,0,e4ff1400,2a888a28,4,2ab823be,0,0,2222e61e,1,1,1,0
238,238,0,0,14000400,ebe1ee4b,0,cf78f54e,0,0,f93e2e9a,1,1,1,0
239,239,0,0,1400f4ff,a6e12cfd,9,2544ed64,0,0,e96ecd06,1,1,1,0
240,240,0,2,2400fc00,eebbeeee,1,f2ae2878,0,0,2cf22440,1,1,1,0
241,241,0,2,0400fc00,fbeb4621,0,f024cfa0,0,0,cdd2f5fe,1,1,1,0
242,242,0,0,04003400,efbbeeee,9,267e274a,0,0,26e6eb2e,1,1,1,0
243,243,0,0,f4ff1400,ba9b8c44,c,cfeaeff0,0,0,f2762bf0,1,1,1,0
244,244,0,8,fc001400,eeab8af6,4,2950f334,0,0,eedeccb2,1,1,1,0
245,245,0,0,0400e4ff,eb4961ac,1,ec282524,0,0,2910299e,1,1,1,0
246,246,0,2,e4fffc00,eb3b8a3b,0,f684cff4,0,0,cc7cefa0,1,1,1,0
247,247,0,8,fc002400,528aea58,0,239e2a40,0,0,2ad2f1fe,1,1,1,0
248,248,0,0,0400e4ff,ae9b41bb,c,cf2eea12,0,0,ec8027f6,1,1,1,0
249,249,0,0,0400f4ff,e92abb8b,2,2c1ef9b4,0,0,f42ecdee,1,1,1,0
250,250,0,8,fcfff4ff,41ae0aa6,5,e7c4203c,0,0,256e2cf2,1,1,1,0
251,251,0,2,14007cff,28e9ee9b,5,fc92d08e,0,0,cde0e962,1,1,1,0
252,252,0,2,0400fc00,8888f25f,8,1e5c2d56,0,0,2d20f88e,1,1,1,0
253,253,0,0,0400f4ff,4a248a4a,0,d118e5b6,0,0,e64a23de,1,1,1,0
254,254,0,2,e4fffc00,5fe0285d,0,2e3eff52,0,0,fb1ecef0,1,1,1,0
255,255,0,0,04002400,8a888857,0,e27e1c64,0,0,203c2f58,1,1,1,0
256,256,0,0,1400f4ff,5fa2228c,0,0228d27a,0,0,ce0ae4cc,1,1,1,0
257,257,0,0,f4ffe4ff,88880828,0,19342f82,0,0,3070feec,1,1,1,0
258,258,0,2,f4fffcff,88f9a242,0,d304e0c8,0,0,e1181e62,1,1,1,0
259,259,0,8,fc001400,478222a2,0,2f500558,0,0,01accf7c,1,1,1,0
260,260,0,8,fc000400,8c245f4a,0,dd0817e2,0,0,1b2231dc,1,1,1,0
261,261,0,0,04001400,470a4a88,0,08a0d4f6,0,0,d0f6de90,1,1,1,0
262,262,0,0,04001400,2857221a,8,14623086,0,0,32fa04d2,1,1,1,0
263,263,0,2,0400fc00,8822a8a8,4,d6cedb70,0,0,dc8e1842,1,1,1,0
264,264,0,0,04001400,28c82822,9,30480b28,0,0,081ad298,1,1,1,0
265,265,0,2,1400fc00,227d225f,a,d96811c2,0,0,15c23218,1,1,1,0
266,266,0,0,1400f4ff,e48a2857,0,0ed6d79c,0,0,d390dada,1,1,1,0
267,267,0,0,f4ff3400,f7a20c08,8,0ed23074,0,0,326e0b9a,1,1,1,0
268,268,0,0,0400e4ff,2c722888,0,d9f6d774,0,0,d8aa12ca,1,1,1,0
269,269,0,2,f4fffc00,482c5382,0,3068119c,0,0,0e7ad548,1,1,1,0
270,270,0,0,14002400,1822a91b,2,d6a80bc2,0,0,0f223366,1,1,1,0
271,271,0,0,04002400,82030888,0,14b8db28,0,0,d75ad6d4,1,1,1,0
272,272,0,8,fc001400,22e32857,0,08623060,0,0,334a1158,1,1,1,0
273,273,0,0,e4ff1400,8a805d06,1,dee0d4b6,0,0,d4e60c52,1,1,1,0
274,274,0,0,04001400,2422dd20,0,2fe81606,0,0,140ed98a,1,1,1,0
275,275,0,2,e4fffc00,92c80200,0,d3b805f2,0,0,0aca329a,1,1,1,0
276,276,0,0,f4ff0400,88222222,4,1904e048,0,0,dbcad22e,1,1,1,0
277,277,0,2,0400fcff,9722e940,0,02442fa8,0,0,32381760,1,1,1,0
278,278,0,0,2400f4ff,9f4a8b4f,0,e258d282,0,0,d15a0682,1,1,1,0
