Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac4_int/tx_tdata[255:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac2_int/tx_tdata[255:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac3_int/tx_tdata[255:0],int_dac_top/top_dac4_int/syncb_buf,int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac2_int/syncb_buf,int_dac_top/top_dac3_int/syncb_buf,int_dac_top/top_dac3_int/syncb_logic,int_dac_top/top_dac4_int/syncb_logic,int_dac_top/top_dac1_int/syncb_logic,int_dac_top/top_dac2_int/syncb_logic,sysref_logic,sysref_o,int_dac_top/top_dac1_int/tx_aresetn,int_dac_top/top_dac3_int/tx_aresetn,int_dac_top/top_dac2_int/tx_aresetn,int_dac_top/top_dac4_int/tx_aresetn
20,20,0,0,ca3f7acf,b821bc04e030c9f0403b53ded43f28cf293ec5c469362dc05729d4c1391890c9,0,e12f45f2,49fa1f2a420e2c19d620c3053430caf1da3a35dfbe3fd5cf663e2bc5f23643c0,0,30c0b730,08de8ffbf0ce800fa4c4ed2127c00831e9c1573bbfc9d83fe3d61a3e0de84836,f,bcbcbcbc,dc28de3a32301b364b36f52f013b9628343e2c20cf3fef16c83f1c0d1e3ef302,0,0,0,1,0,1,1,1,0,0,1,1,1,1
21,21,0,0,96185cc9,233ebcc45c362cc04429dac122189dc9a304b3d6b1f0d3e73ede50fb18cf430f,0,26374dc0,e43a1fdfc03fc4cf603e21c5e53641c00c2a9dc1151914c9aa05ebd5b1f1dfe6,0,b0e77d36,efc1613bccc9da3ff6d6143e24e83b36a8fb1329980fe71702226504183174f0,f,bcbcbcbc,dcc270dca0c061e503c001ef0ac111f9aec34d03ddc7750d7dcd441767d47a20,0,0,0,1,0,1,1,1,0,0,1,1,1,1
22,22,0,0,59cfe10e,8a04c6d698f0eae728de69fb08cf5b0fb2c4cd212ac0f030e0c1493babc9d53f,0,14f283e6,f929a3c1fe1821c99105fed599f1f6e609df62fab4cf5b0e17c5ec203fc04430,0,d830d5f0,c1fb0029b10fd01718224c0428315bf06a3bf3dddb3fe0ce0e3e9bc42d3625c0,f,bcbcbcbc,8a3db200f2397bf6de3481ec702e08e3d2264cda341e88d2d114eecbe50aa9c6,0,0,0,1,0,1,1,1,0,0,1,1,1,1
23,23,0,0,76c9ce3f,a9c4e22128c00031e6c1533bb8c9d73fd9d61d3e01e84f3682fb3029740f0a18,0,48c00230,f4de7bfaa3cf730e0ec501213cc05530a8c1ee3a2ec9c23f11d65a3e0de7d836,0,63362cc0,733bdedddd3fd0ce073e91c4203624c0ed28f6c1b917d9c9320409d743f03ce8,f,bcbcbcbc,14d6662254de912a71e7a5312ff174374ffbd73b8d05b23ea60ff13f59198e3f,0,0,0,1,0,1,1,1,0,0,1,1,1,1
24,24,0,0,120f6718,edd6173e19e841369bfb1d298c0ff317f8217104103180f05c3b13ded93ff8ce,0,b1e60c37,aec1f73a3bc9c53f24d6553e25e7cc3694fae6298c0ee71817217805653081f1,0,a5f0dee7,da28fcc1a117e7c919041dd72bf053e8c9dddafbbfcec90f88c42d2222c03831,f,bcbcbcbc,ac08b2c572fe3bc242f45ac05fea19c00ae17cc180d878c4fad0fbc8a7cae7ce,0,0,1,1,0,1,1,0,0,0,1,1,1,1
25,25,0,0,d23f39cf,0d225804203168f0653bfedddb3fe8ce113e9fc4343626c00a29ecc1dc17c5c9,0,2330e2f1,adfad329a40ed0182c215f05763068f1013bdedec73f93cf4f3e04c5bf363ac0,0,29c0f830,b3ddf3fbafcee10f7fc4422220c0493102c27d3bf4c9df3f30d7013e6ae81336,f,bcbcbcbc,661b403f4624e23c392cf438093391338b38dc2c9a3c01251c3f331c0040ad12,0,0,0,1,0,1,1,1,0,0,1,1,1,1
26,26,0,0,391890c9,0a3e96c4273625c0f728f2c1c417d3c93f0400d74ff030e8e8ddb4fbd8cea50f,0,f23643c0,0b3bc9dec93f82cf493efac4b13638c0c029b4c1b91848c9460537d650f13ce7,0,0de84836,08c2863b02cae03f44d7fb3d82e805360cfcc628fa0f8a1757220004593112f0,f,bcbcbcbc,71c960d0cdc4ced7aec144e028c08ae943c063f301c28efd55c5ca072acad311,0,0,0,1,0,1,1,1,0,0,1,1,1,1
27,27,0,0,18cf430f,260413d737f047e8d3ddcefbc8cebd0f8dc4222223c03031f9c16f3be0c9dc3f,0,b1f1dfe6,ad29bac1a11855c92d054ad637f153e7b3dec6fa72cfbd0ef0c4422136c08630,0,183174f0,25fcb328121073176c22e7036931faef8f3b9edde23f9fcef53d76c4f8351fc0,f,bcbcbcbc,f93f8310de3e6f06263c32fce4370df2343244e83a2b17df2523c1d62a1a7acf,0,0,0,1,0,1,1,1,0,0,1,1,1,1
28,28,0,0,abc9d53f,83c4372221c04131ffc1783bedc9de3f26d7043e5fe81936e7fbe328d50fad17,0,3fc04430,9ededffa61cfd50ee7c4572134c09630c0c1143b62c9cb3f5dd6433e6ae7a436,0,2d3625c0,983b89dde33f8fceee3d6cc4ea351dc09f280fc25b170fcace0357d7e2ef99e8,f,bcbcbcbc,6bcbf913e9d16b1d95d91c263de2d22da9eb5d349af59039cfff4a3d050a723f,0,0,0,1,0,1,1,1,0,0,1,1,1,1
29,29,0,0,740f0a18,3ad7fe3d76e80c3600fcd028ee0f96174d220d0451311ff0813bbedde03fb7ce,0,0de7d836,c5c11e3b6fc9cd3f70d63e3e81e79736f8fa9a29ee0e8a186d211405a7301ff1,0,43f03ce8,8c2815c244171dcab5036ad7c9efb0e874dd3efc80ce2a1063c482221cc07931,f,bcbcbcbc,17180ace530e4cc83104fcc3f3f935c1ddef0ac031e682c02edd9ac20fd545c6,0,0,0,1,0,1,1,1,0,0,1,1,1,1
