Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txcharisk[3:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn
52,52,0,bcbcbcbc,bcbcbcbc,f,f,97e099c119d8a9c4a0d03fc95eca3ccf7cc578d619c2c5de4cc0ebe721c0b0f1,0,1,0,0,1
53,53,0,bcbcbcbc,bcbcbcbc,f,f,c8387e2cc43c9524313fbd1b00402e122b3f2908b83ceefdb838c1f34333e3e9,0,1,0,0,1
54,54,0,bcbcbcbc,bcbcbcbc,f,f,50c0e4f322c212fe8bc54d0872ca5112b9d0dd1b35d8b324b7e0982c05ea5833,0,1,0,0,1
55,55,0,bcbcbcbc,bcbcbcbc,f,f,e131cae7d82aa6deb6225dd6b11924cf03102cc9ec059cc4aefb91c18df11fc0,0,1,0,0,1
56,56,0,bcbcbcbc,bcbcbcbc,f,f,26eca8341cf6c93952006f3d870a823f7614f53fe01dc53e8526f93b2e2ea337,0,1,0,0,1
57,57,0,bcbcbcbc,bcbcbcbc,f,f,5eef06c0b8e593c0bfdcc0c2aed47fc6b8cdb6cb0cc845d2cec3ffd91cc1b2e2,0,1,0,0,1
58,58,0,bcbcbcbc,bcbcbcbc,f,f,b62f7e36e7357030b83a2629073ecd20c03f9d17d63fd20d4a3ead03263b70f9,0,1,0,0,1
59,59,0,bcbcbcbc,bcbcbcbc,f,f,bbc0b8e401c04deeeac057f871c3930285c7be0c0bcd9516dfd3d91fd5db4b28,0,1,0,0,1
60,60,0,bcbcbcbc,bcbcbcbc,f,f,403a34f7473534edf02eafe36627e4dad91e0cd382155bcc9d0bfdc66d0114c3,0,1,0,0,1
61,61,0,bcbcbcbc,bcbcbcbc,f,f,b6dd052ac5e62e317af0163794fa943bd2048b3ef10ee93fad18a33fc821bc3d,0,1,0,0,1
62,62,0,bcbcbcbc,bcbcbcbc,f,f,2dff6dc2faf46ec010eb10c0afe155c114d935c479d19dc80fcb70ce00c688d5,0,1,0,0,1
63,63,0,bcbcbcbc,bcbcbcbc,f,f,ac231a3db12b48399732ff333238612d5d3c9925fb3edb1cfd3f5f135b3f6509,0,1,0,0,1
64,64,0,bcbcbcbc,bcbcbcbc,f,f,16c53dd7dac1a2df36c0dbe834c0abf2d4c1d3fc0cc51007c6c91f11e4cfbd1a,0,1,0,0,1
65,65,0,bcbcbcbc,bcbcbcbc,f,f,003f2907653cedfc3e38c4f2a732f2e8c32bb8dfc12351d7d41af5cf3711d4c9,0,1,0,0,1
66,66,0,bcbcbcbc,bcbcbcbc,f,f,68d1c41c00d9852598e14f2df8eaf033e1f43d3914ff133d4c09583f4713fe3f,0,1,0,0,1
