Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac4_int/tx_tdata[255:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac2_int/tx_tdata[255:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac3_int/tx_tdata[255:0],int_dac_top/top_dac4_int/syncb_buf,int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac2_int/syncb_buf,int_dac_top/top_dac3_int/syncb_buf,int_dac_top/top_dac3_int/syncb_logic,int_dac_top/top_dac4_int/syncb_logic,int_dac_top/top_dac1_int/syncb_logic,int_dac_top/top_dac2_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn,u_ila_2_tx_aresetn_1,u_ila_2_tx_aresetn_2,u_ila_2_tx_aresetn_3
27,27,0,0,bb0c83c7,60ca3112a3d0c01b1bd898249ae0802ce6e94533c4f3b938f1fdb93c2c082c3f,0,a83b3927,a8e672c09bdd76c270d50dc65cce21cb8dc88fd12ac42dd94fc1cae10fc02deb,0,a22d0638,f6ffa5c2c0f587c0ceeb08c060e22dc1b5d9eec304d239c881cbf1cd56c6f2d4,f,bcbcbcbc,a2c531d631c274de56c094e71bc054f184c174fb86c4b2050ec9cb0fffce7c19,0,0,0,1,0,1,1,1,0,0,1,1,1,1
28,28,0,0,a017bf3f,cf193acf23103dc90d06a8c4cffb98c1adf121c0e9e74dc0c2de1ac276d67dc5,0,60c1cdfa,58351a314d3aed29c43dad21a63f9018e73fd20e843eb304883b75fa06375bf0,0,42c100e2,0423553d1d2ba1391b327334d137ee2d193c3b26d73e8e1df83f1f14773f2c0a,f,bcbcbcbc,3a3f8608d63c4cfee3381df47b333ceac12ce9e0e22463d8121ce0d0891292ca,0,0,0,1,0,1,1,1,0,0,1,1,1,1
29,29,0,0,b4cbbacd,660a7e3f5714f63fc31dcb3e6b26043c172eb4379534f631bb39f12a663dd222,0,392d7de1,00c052edc0c053f71ec38d010bc7bc0b6ecc9f1523d3f41efeda7e27cbe3052f,0,723b38fa,65c5a3d60bc2f5de47c020e825c0e7f1a5c10bfcbfc448065cc95d1060cf061a,f,bcbcbcbc,79d0881becd7652465e0542cade9203387f39c38b4fda63cef07223ff7110040,0,0,0,1,0,1,1,1,0,0,1,1,1,1
30,30,0,0,f53f7314,c6d470c6cccda3cb1cc82ed2dac3e4d922c195e207c007ec8ec0fbf5b6c23100,0,e3f24d38,d7352feea12f9be43328bbdbbd1fc8d37816f8cc9f0c76c7730267c338f8e5c0,0,30dbae27,223ff107a63cb5fd9d3889f32133aee9552c66e06724edd78a1b7ad0f81140ca,f,bcbcbcbc,5e105dc94a06bfc40cfca6c1e9f125c021e847c0f7de0bc2a4d665c561cf3fca,0,0,0,1,0,1,1,1,0,0,1,1,1,1
31,31,0,0,2ec90610,ff3de920bd3fbc17d83ff30d523ece03333b91f98f367def8630d6e53f29dbdc,0,bee838c0,d5e585307cef8e368ff9323bcd03513ef10dd83fba17bd3fe820ff3d3e29ab3a,0,360253c3,dfd0101c62d8e124e8e0c02c3aea7a331cf4e2384bfed53c85083a3f87120040,f,bcbcbcbc,1d14f83f8c1dd73e3a261938ed2dd23772341c32a0391e2b543d0623763f071a,0,0,0,1,0,1,1,1,0,0,1,1,1,1
32,32,0,0,da1bb7d0,66c3720275c79d0cf7cc7616c7d3bc1fbadb32289ae4a02f2deed63536f8ab3a,0,11348432,fdf58fc008ec06c097e222c1e6d9d9c32fd21bc8a4cbcbcd71c6c5d4b7c2dadc,0,1c21f03d,cc0f0fc9b40587c476fb84c156f11cc096e756c076de31c232d6a2c500cf91ca,f,bcbcbcbc,f2cd80cb3ac803d2efc3b3d92ec15fe208c0cdeb87c0bff5a5c2f4ff55c62a0a,0,0,0,1,0,1,1,1,0,0,1,1,1,1
33,33,0,8,fc082c3f,8027ffdaf61e24d3a1156fccbe0b0cc78e011ec354f7c0c053ed00c0cde3e4c0,0,0fc02deb,f02abc39f5319634b337182e043c6c26cb3ec41df63f59147e3f680a663d3300,0,56c6f2d4,ac14f33f121eba3eb226e53b552e8737c834be31e139ae2a7f3d8722893f7d19,f,bcbcbcbc,b73ff417dd3f2e0e603e0b044a3bcef9af36b9efae300ee66e290edd1e21f3d4,0,0,0,1,0,1,1,1,0,0,1,1,1,1
34,34,0,0,76d67dc5,73fa883bb104843ed10ee73f8f18a63fac21c53dec294e3a193159350537062f,0,06375bf0,1ac2c1de4dc0e7e721c0abf198c1cefba8c40b063dc9211039cfce1975d6d122,0,773f2c0a,95cdd7cbf0c76cd2bbc32dda12c1e5e204c05cec9ac054f6d0c28b0097c6bf0a,f,bcbcbcbc,59c7610cd2cc3d169bd3871f87db022862e4772ff3edb435f9f7923a3502ef3d,0,0,0,1,0,1,1,1,0,0,1,1,1,1
35,35,0,0,663dd222,cce14ec12ed929c490d18cc822cb5bce0ec66fd576c29add72c0a7e60fc05af0,0,cbe3052f,ba3cf3fdba38c5f34633e8e9812c9be099241dd8c11ba4d0331261ca2e087ec5,0,60cf061a,c43f6817d23f9b0d3d3e7503103b38f9603627ef4b3085e5fa2890dc9c2084d4,f,bcbcbcbc,2b1f4fd3da1593ccfa0b28c7cb0131c391f7c9c08eed00c004e4dac031db52c3,0,0,0,1,0,1,1,1,0,0,1,1,1,1
36,36,0,0,b6c23100,2338782d523cb425f63ef81cfd3f7f13603f8509243d4eff57391bf512342feb,0,38f8e5c0,32d8af24b3e0942c01ea5533dff3c6380dfec23c4808303f4d120040d91b2c3f,0,f81140ca,9fc7f50c2dcdca1608d40a2003dc7728ebe4db2f84ee06368ff8ce3acb02153e,f,bcbcbcbc,7404773e950ee33f5618ad3f7721d53dbe29673af2307b35e536302f713bb027,0,0,0,1,0,1,1,1,0,0,1,1,1,1
